,who,were,two,of,the,founders,of,the,united,methodist,church,?
although,0.3003382384777069,0.29094749689102173,0.2593730390071869,0.3024747669696808,0.3265823423862457,0.19607798755168915,0.3024747669696808,0.3265823423862457,0.20197845995426178,0.15575763583183289,0.1689356565475464,0.15541206300258636
united,0.21193812787532806,0.21928317844867706,0.23953400552272797,0.3187655806541443,0.34367692470550537,0.21974869072437286,0.3187655806541443,0.34367692470550537,1.0000001192092896,0.3283560872077942,0.19284281134605408,0.17266890406608582
methodist,0.21443013846874237,0.20431527495384216,0.13993379473686218,0.28458893299102783,0.21922016143798828,0.324021577835083,0.28458893299102783,0.21922016143798828,0.3283560872077942,1.0,0.6119816899299622,0.1436992734670639
practices,0.3157578706741333,0.2807314693927765,0.1482744961977005,0.25354546308517456,0.24007414281368256,0.2936554551124573,0.25354546308517456,0.24007414281368256,0.18876075744628906,0.3636583089828491,0.27973902225494385,0.18974241614341736
and,0.41279885172843933,0.42175528407096863,0.4671151638031006,0.5116966962814331,0.5171257257461548,0.2665466368198395,0.5116966962814331,0.5171257257461548,0.28213179111480713,0.2376793771982193,0.1976170688867569,0.20544172823429108
interpretation,0.22267675399780273,0.19103160500526428,0.2205290049314499,0.25918829441070557,0.2766321003437042,0.2497418373823166,0.25918829441070557,0.2766321003437042,0.19332027435302734,0.21567939221858978,0.21256981790065765,0.2162649929523468
of,0.2827862501144409,0.34038281440734863,0.37726253271102905,1.0,0.733189046382904,0.24859850108623505,1.0,0.733189046382904,0.3187655806541443,0.28458893299102783,0.3079429268836975,0.1826142966747284
beliefs,0.34122297167778015,0.314157634973526,0.2052973508834839,0.2516281008720398,0.2159741371870041,0.272512286901474,0.2516281008720398,0.2159741371870041,0.11190486699342728,0.42840805649757385,0.3714022934436798,0.254576712846756
have,0.39246654510498047,0.5193349123001099,0.4498785734176636,0.3802283704280853,0.40389683842658997,0.11998099833726883,0.3802283704280853,0.40389683842658997,0.17950676381587982,0.17623618245124817,0.14373023808002472,0.32991164922714233
evolved,0.1203862875699997,0.23115894198417664,0.2638993561267853,0.2530018985271454,0.28945574164390564,0.19902494549751282,0.2530018985271454,0.28945574164390564,0.0951046347618103,0.1483588069677353,0.1613326221704483,0.1599971204996109
