,whose,activities,were,the,french,able,to,gain,knowledge,of,?
the,0.38253846764564514,0.2626894414424896,0.3906462490558624,1.0,0.2555147111415863,0.3435857892036438,0.535392165184021,0.2682225704193115,0.22194717824459076,0.733189046382904,0.22068053483963013
french,0.20107154548168182,0.1360020935535431,0.22002479434013367,0.2555147111415863,1.0000001192092896,0.1365334391593933,0.1713797152042389,0.15564171969890594,0.1356579214334488,0.19450366497039795,0.1386883556842804
acquired,0.10690086334943771,0.18652696907520294,0.16298405826091766,0.22202405333518982,0.15426896512508392,0.28347501158714294,0.1683000773191452,0.2738845646381378,0.20536689460277557,0.20385384559631348,0.09366346150636673
a,0.3225097060203552,0.2222801148891449,0.17203083634376526,0.5829201340675354,0.24285779893398285,0.2874686121940613,0.45503583550453186,0.26759546995162964,0.1995188295841217,0.5052502155303955,0.23916715383529663
copy,0.1673506498336792,0.1254419982433319,0.1567956656217575,0.256201833486557,0.04958568140864372,0.24170279502868652,0.28106242418289185,0.16689927875995636,0.2856813371181488,0.21871109306812286,0.256973534822464
of,0.37058958411216736,0.23520112037658691,0.34038281440734863,0.733189046382904,0.19450366497039795,0.23883962631225586,0.41548454761505127,0.27324017882347107,0.25563913583755493,1.0,0.1826142966747284
the,0.38253846764564514,0.2626894414424896,0.3906462490558624,1.0,0.2555147111415863,0.3435857892036438,0.535392165184021,0.2682225704193115,0.22194717824459076,0.733189046382904,0.22068053483963013
british,0.174232617020607,0.08224426209926605,0.27742838859558105,0.28973397612571716,0.43574923276901245,0.20578287541866302,0.22690963745117188,0.14298120141029358,0.12844888865947723,0.23701532185077667,0.09711728990077972
war,0.11892953515052795,0.19994798302650452,0.3151806890964508,0.366199791431427,0.2536753714084625,0.23422591388225555,0.2610234022140503,0.22844846546649933,0.20843835175037384,0.31680163741111755,0.15510529279708862
plans,0.19064155220985413,0.3408685326576233,0.22639396786689758,0.30240729451179504,0.11504318565130234,0.29712972044944763,0.367337167263031,0.1963663399219513,0.23664775490760803,0.2635323703289032,0.13513131439685822
",",0.25601375102996826,0.19959557056427002,0.36755475401878357,0.4933079481124878,0.28806620836257935,0.28725793957710266,0.44245919585227966,0.2041122019290924,0.23054014146327972,0.4946078956127167,0.31091248989105225
including,0.25118395686149597,0.24771054089069366,0.41511550545692444,0.3738902807235718,0.19837699830532074,0.11154308915138245,0.24006329476833344,0.16175194084644318,0.21443095803260803,0.44195112586021423,0.1633303165435791
the,0.38253846764564514,0.2626894414424896,0.3906462490558624,1.0,0.2555147111415863,0.3435857892036438,0.535392165184021,0.2682225704193115,0.22194717824459076,0.733189046382904,0.22068053483963013
activities,0.1408030241727829,1.0000001192092896,0.22301995754241943,0.2626894414424896,0.1360020935535431,0.19719518721103668,0.2740468382835388,0.20989331603050232,0.3522179126739502,0.23520112037658691,0.11289679259061813
of,0.37058958411216736,0.23520112037658691,0.34038281440734863,0.733189046382904,0.19450366497039795,0.23883962631225586,0.41548454761505127,0.27324017882347107,0.25563913583755493,1.0,0.1826142966747284
shirley,0.16520598530769348,0.1727370321750641,0.17218805849552155,0.15386177599430084,0.06706204265356064,0.12601056694984436,0.14755064249038696,0.15558205544948578,0.15591900050640106,0.11547418683767319,0.127523273229599
and,0.3339773118495941,0.26621901988983154,0.42175528407096863,0.5171257257461548,0.32751965522766113,0.3303895890712738,0.48971283435821533,0.2497105896472931,0.2927071154117584,0.5116966962814331,0.20544172823429108
johnson,0.04787328466773033,0.1639467030763626,0.1583571434020996,0.2214501053094864,0.15063291788101196,0.15244977176189423,0.18891119956970215,0.19278274476528168,0.12233512848615646,0.2041160613298416,0.1463736891746521
.,0.2718997597694397,0.1808198243379593,0.3378238379955292,0.5934505462646484,0.2480926215648651,0.34544092416763306,0.4645031690597534,0.20901274681091309,0.17996740341186523,0.5352458953857422,0.4130953550338745
