,what,is,the,average,discharge,of,the,moselle,to,the,rhine,?
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.25883322954177856,0.16424249112606049,0.38761502504348755,0.6251175999641418,0.27119484543800354,0.513711154460907,0.6251175999641418,0.17693428695201874,0.25732165575027466
is,0.28837618231773376,1.0,0.5823672413825989,0.2669461667537689,0.17916791141033173,0.4854315221309662,0.5823672413825989,0.24190545082092285,0.42745086550712585,0.5823672413825989,0.15617261826992035,0.22961433231830597
here,0.5220553874969482,0.3368209898471832,0.37885698676109314,0.23592355847358704,0.18622653186321259,0.29118096828460693,0.37885698676109314,0.2268262505531311,0.4292696416378021,0.37885698676109314,0.20670028030872345,0.5686008334159851
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.2513456642627716,0.1927764117717743,0.41498205065727234,0.5473989248275757,0.21891190111637115,0.5436353087425232,0.5473989248275757,0.16362759470939636,0.32716336846351624
the,0.42745697498321533,0.5823672413825989,1.0,0.27058175206184387,0.2714732885360718,0.733189046382904,1.0,0.3138047158718109,0.535392165184021,1.0,0.30735138058662415,0.22068053483963013
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.13968418538570404,0.22111549973487854,0.2548927664756775,0.30735138058662415,0.5697820782661438,0.1736302673816681,0.30735138058662415,1.0,0.13754533231258392
encounters,0.17956624925136566,0.2323472648859024,0.2514905333518982,0.17843078076839447,0.16088992357254028,0.19994959235191345,0.2514905333518982,0.14819636940956116,0.31278693675994873,0.2514905333518982,0.12986300885677338,0.12401029467582703
some,0.4491020441055298,0.3038453459739685,0.4566698372364044,0.24927785992622375,0.18195660412311554,0.4300730526447296,0.4566698372364044,0.17176900804042816,0.4636894166469574,0.4566698372364044,0.1162128895521164,0.2562315762042999
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.28232842683792114,0.1590767800807953,0.30478984117507935,0.39758381247520447,0.1418178230524063,0.47084665298461914,0.39758381247520447,0.14227862656116486,0.27894994616508484
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.23717734217643738,0.24374468624591827,1.0,0.733189046382904,0.2758548855781555,0.41548454761505127,0.733189046382904,0.2548927664756775,0.1826142966747284
its,0.30393704771995544,0.4447362422943115,0.559237003326416,0.28813406825065613,0.19381092488765717,0.48690423369407654,0.559237003326416,0.26517701148986816,0.3691340684890747,0.559237003326416,0.17144687473773956,0.15103481709957123
main,0.2344268560409546,0.3009335994720459,0.38631999492645264,0.18120092153549194,0.1588529348373413,0.3177044689655304,0.38631999492645264,0.2621283531188965,0.26116618514060974,0.38631999492645264,0.23040270805358887,0.1665669083595276
tributaries,0.16278833150863647,0.1916106641292572,0.26380863785743713,0.16728758811950684,0.3416854441165924,0.22692303359508514,0.26380863785743713,0.4871028661727905,0.1109408363699913,0.26380863785743713,0.375956654548645,0.1795038878917694
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.23098047077655792,0.1608646810054779,0.4946078956127167,0.4933079481124878,0.273513525724411,0.44245919585227966,0.4933079481124878,0.167837992310524,0.31091248989105225
such,0.23989605903625488,0.23545363545417786,0.3575236201286316,0.09905410557985306,0.15166431665420532,0.3209529519081116,0.3575236201286316,0.07748214155435562,0.2871878743171692,0.3575236201286316,0.12275618314743042,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.1320570707321167,0.1726997345685959,0.3886612355709076,0.48381632566452026,0.18101820349693298,0.42092081904411316,0.48381632566452026,0.18380387127399445,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,1.0,0.27058175206184387,0.2714732885360718,0.733189046382904,1.0,0.3138047158718109,0.535392165184021,1.0,0.30735138058662415,0.22068053483963013
