,when,did,the,steven,spielberg,movie,duel,first,debut,?
the,0.5091903209686279,0.34736719727516174,1.0,0.21446210145950317,0.27378904819488525,0.2636405825614929,0.20376726984977722,0.49448907375335693,0.2226441204547882,0.22068053483963013
movie,0.21972014009952545,0.2057092785835266,0.2636405825614929,0.415337473154068,0.5566684603691101,1.0,0.23283149302005768,0.236066535115242,0.3172503709793091,0.18408656120300293
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.20107577741146088,0.21589519083499908,0.2027330845594406,0.1622297614812851,0.3536086082458496,0.12960465252399445,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,1.0,0.21446210145950317,0.27378904819488525,0.2636405825614929,0.20376726984977722,0.49448907375335693,0.2226441204547882,0.22068053483963013
week,0.2546107769012451,0.2459598332643509,0.28402599692344666,0.13630351424217224,0.16591736674308777,0.20578457415103912,0.1325744092464447,0.24834974110126495,0.1860220730304718,0.25105318427085876
broadcast,0.2190258502960205,0.17054221034049988,0.2713715434074402,0.20716676115989685,0.2462363988161087,0.31659966707229614,0.10296902805566788,0.2604263722896576,0.2850082814693451,0.15760008990764618
feature-length,0.18123255670070648,0.21251137554645538,0.33669623732566833,0.20501430332660675,0.2605436444282532,0.30069369077682495,0.19961616396903992,0.284355491399765,0.2758398652076721,0.2911895215511322
dramatic,0.1910586655139923,0.17696766555309296,0.23786477744579315,0.14817635715007782,0.2460257112979889,0.3681364357471466,0.25738784670829773,0.1251210868358612,0.23219163715839386,0.12461373209953308
films,0.16035419702529907,0.14824813604354858,0.23072484135627747,0.325454980134964,0.4291548430919647,0.6075599193572998,0.17098407447338104,0.14928264915943146,0.22077135741710663,0.20618696510791779
directed,0.20789676904678345,0.17765580117702484,0.21284286677837372,0.4140210449695587,0.536359429359436,0.6641361117362976,0.19914895296096802,0.2241877317428589,0.24976566433906555,0.1359327733516693
by,0.4376842677593231,0.18574509024620056,0.4408751428127289,0.2449449598789215,0.31090784072875977,0.2365020364522934,0.18647275865077972,0.3877052962779999,0.20036622881889343,0.17966607213020325
such,0.27679547667503357,0.24497397243976593,0.3575236201286316,0.1281137615442276,0.1303674727678299,0.1562555581331253,0.15039564669132233,0.18129806220531464,0.08963887393474579,0.17851735651493073
talented,0.24461029469966888,0.33974888920783997,0.17804895341396332,0.22507894039154053,0.30067992210388184,0.2786638140678406,0.30212950706481934,0.22939851880073547,0.2564019560813904,0.1643860936164856
