,besides,the,bondage,of,the,will,",",what,other,work,did,luther,view,as,a,book,of,his,?
for,0.3905259370803833,0.4739971458911896,0.24275518953800201,0.4185989499092102,0.4739971458911896,0.3647450804710388,0.4464869201183319,0.3017193675041199,0.3273986279964447,0.4087657630443573,0.318512886762619,0.12958186864852905,0.1212775781750679,0.44774648547172546,0.44038116931915283,0.22091296315193176,0.4185989499092102,0.39312878251075745,0.264628142118454
i,0.3011736571788788,0.26687872409820557,0.12075585871934891,0.25849398970603943,0.26687872409820557,0.34662628173828125,0.3467482030391693,0.4411132335662842,0.24405211210250854,0.2618224024772644,0.32301032543182373,0.232476145029068,0.16843385994434357,0.28558287024497986,0.3155658543109894,0.18450389802455902,0.25849398970603943,0.2764712870121002,0.4695145785808563
acknowledge,0.2112940549850464,0.25937798619270325,0.24349229037761688,0.2865595519542694,0.25937798619270325,0.2590823769569397,0.2611771821975708,0.35690340399742126,0.1994565725326538,0.2912026345729828,0.3169863522052765,0.196632519364357,0.2749024033546448,0.28280210494995117,0.16485175490379333,0.30125692486763,0.2865595519542694,0.3196873068809509,0.2421250194311142
none,0.26990455389022827,0.2426847517490387,0.19942404329776764,0.2225583791732788,0.2426847517490387,0.28668931126594543,0.23781466484069824,0.2637794017791748,0.3271162211894989,0.22703950107097626,0.27973365783691406,0.1308264136314392,0.07299027591943741,0.2366623878479004,0.13734477758407593,0.1325080543756485,0.2225583791732788,0.15526911616325378,0.23397447168827057
of,0.3665722906589508,0.733189046382904,0.2042742222547531,1.0,0.733189046382904,0.2473582625389099,0.4946078956127167,0.33290785551071167,0.38583824038505554,0.23473061621189117,0.2513895630836487,0.1719115972518921,0.21446028351783752,0.3886612355709076,0.5052502155303955,0.22602593898773193,1.0,0.38364991545677185,0.1826142966747284
them,0.40207844972610474,0.4788833558559418,0.2731291353702545,0.34503093361854553,0.4788833558559418,0.40494900941848755,0.3985835015773773,0.4994642734527588,0.5832898020744324,0.4014419913291931,0.44189682602882385,0.1940135955810547,0.20249441266059875,0.33716270327568054,0.3151612877845764,0.19023513793945312,0.34503093361854553,0.4171713590621948,0.35435691475868225
to,0.3272998631000519,0.535392165184021,0.23080803453922272,0.41548454761505127,0.535392165184021,0.5091033577919006,0.44245919585227966,0.455847829580307,0.4193183183670044,0.3482864499092102,0.4452643394470215,0.18029534816741943,0.229315847158432,0.42092081904411316,0.45503583550453186,0.20275522768497467,0.41548454761505127,0.3715193271636963,0.29463258385658264
be,0.3185574412345886,0.4248143136501312,0.24877433478832245,0.33904364705085754,0.4248143136501312,0.4925616979598999,0.39254459738731384,0.3929833769798279,0.4629868268966675,0.34449198842048645,0.22657383978366852,0.15299063920974731,0.23513229191303253,0.5230465531349182,0.39883795380592346,0.21336250007152557,0.33904364705085754,0.21738691627979279,0.3324260413646698
really,0.4425499439239502,0.3639739453792572,0.2196386158466339,0.28025540709495544,0.3639739453792572,0.4165196716785431,0.31353938579559326,0.635226309299469,0.3360823094844818,0.35719627141952515,0.40362080931663513,0.1260203868150711,0.16343137621879578,0.3674069046974182,0.4043869972229004,0.23534397780895233,0.28025540709495544,0.2915784418582916,0.5184177756309509
a,0.26277080178260803,0.5829201340675354,0.2716759741306305,0.5052502155303955,0.5829201340675354,0.3401327431201935,0.427140474319458,0.3320399522781372,0.2806335389614105,0.266241192817688,0.2552328109741211,0.17967689037322998,0.22168859839439392,0.39550232887268066,1.0,0.19186489284038544,0.5052502155303955,0.3497250974178314,0.23916715383529663
book,0.15074333548545837,0.2652374505996704,0.2906801402568817,0.22602593898773193,0.2652374505996704,0.18480820953845978,0.23644568026065826,0.2872225046157837,0.20864468812942505,0.3574301302433014,0.17269964516162872,0.2606102228164673,0.18177255988121033,0.23037776350975037,0.19186489284038544,1.0,0.22602593898773193,0.2672714293003082,0.20572158694267273
of,0.3665722906589508,0.733189046382904,0.2042742222547531,1.0,0.733189046382904,0.2473582625389099,0.4946078956127167,0.33290785551071167,0.38583824038505554,0.23473061621189117,0.2513895630836487,0.1719115972518921,0.21446028351783752,0.3886612355709076,0.5052502155303955,0.22602593898773193,1.0,0.38364991545677185,0.1826142966747284
mine,0.19245173037052155,0.22275936603546143,0.1317366361618042,0.20516973733901978,0.22275936603546143,0.2207529991865158,0.2596069574356079,0.27901384234428406,0.18819862604141235,0.18636906147003174,0.1395113468170166,0.09505860507488251,0.16211457550525665,0.16260376572608948,0.2397979497909546,0.08866684883832932,0.20516973733901978,0.1637669950723648,0.22904449701309204
