,how,long,is,the,section,of,the,rhine,near,chur,?
this,0.45272302627563477,0.3617446720600128,0.480927973985672,0.6274310946464539,0.338134229183197,0.45148900151252747,0.6274310946464539,0.16867555677890778,0.18316566944122314,0.14943695068359375,0.3155723512172699
section,0.22074809670448303,0.22918614745140076,0.22237545251846313,0.3365345895290375,0.9999998807907104,0.21215301752090454,0.3365345895290375,0.15145494043827057,0.12206024676561356,0.12946376204490662,0.2733710706233978
is,0.22544461488723755,0.28473302721977234,1.0,0.5823672413825989,0.22237545251846313,0.4854315221309662,0.5823672413825989,0.15617261826992035,0.25453904271125793,0.22743676602840424,0.22961433231830597
nearly,0.23273618519306183,0.3263060450553894,0.268917441368103,0.3409946858882904,0.15477250516414642,0.3455437123775482,0.3409946858882904,0.2093522697687149,0.36269626021385193,0.16863922774791718,0.11670064926147461
86,0.10609403997659683,-0.07065252959728241,0.036284711211919785,0.10089810192584991,0.12091575562953949,0.17001870274543762,0.10089810192584991,0.01013562735170126,-0.06501902639865875,0.19128549098968506,0.10934870690107346
km,0.10687907040119171,0.26957154273986816,0.24258680641651154,0.21376769244670868,0.14644518494606018,0.2376161366701126,0.21376769244670868,0.22496221959590912,0.40472859144210815,0.2512969374656677,0.08180338144302368
long,0.2615325152873993,1.0,0.28473302721977234,0.3075225353240967,0.22918614745140076,0.2567519545555115,0.3075225353240967,0.1596824824810028,0.21566927433013916,0.051924414932727814,0.19699987769126892
",",0.22659391164779663,0.3431144952774048,0.4691906273365021,0.4933079481124878,0.2615945339202881,0.4946078956127167,0.4933079481124878,0.167837992310524,0.3141826391220093,0.26662328839302063,0.31091248989105225
and,0.33647966384887695,0.3395216166973114,0.3859752118587494,0.5171257257461548,0.262373685836792,0.5116966962814331,0.5171257257461548,0.22029656171798706,0.25046437978744507,0.232059046626091,0.20544172823429108
descends,0.18510639667510986,0.11038600653409958,0.21271087229251862,0.30480852723121643,0.12386327981948853,0.2948897182941437,0.30480852723121643,0.10400070995092392,0.22357045114040375,0.04084744304418564,0.1150875836610794
from,0.22939439117908478,0.3109167516231537,0.27355384826660156,0.40150508284568787,0.19169776141643524,0.4249346852302551,0.40150508284568787,0.2181936800479889,0.2486431896686554,0.1865546852350235,0.19969791173934937
a,0.29312583804130554,0.3795371353626251,0.658733606338501,0.5829201340675354,0.29094603657722473,0.5052502155303955,0.5829201340675354,0.1823403388261795,0.25033900141716003,0.20532819628715515,0.23916715383529663
height,0.19309629499912262,0.28678929805755615,0.19831733405590057,0.2694929540157318,0.232002392411232,0.23672480881214142,0.2694929540157318,0.20244354009628296,0.19314920902252197,0.14078709483146667,0.1599798947572708
of,0.2480744868516922,0.2567519545555115,0.4854315221309662,0.733189046382904,0.21215301752090454,1.0,0.733189046382904,0.2548927664756775,0.2651676535606384,0.3130875527858734,0.1826142966747284
599,0.21432732045650482,0.05688042566180229,0.13035725057125092,0.15995720028877258,0.13664330542087555,0.14903956651687622,0.15995720028877258,0.06591647863388062,0.06222854182124138,0.13855504989624023,0.198044091463089
m,0.17182649672031403,0.2667013108730316,0.22669823467731476,0.15156042575836182,0.15298180282115936,0.14254631102085114,0.15156042575836182,0.1758568435907364,0.13620121777057648,0.12801797688007355,0.2618667185306549
to,0.44169697165489197,0.30218687653541565,0.42745086550712585,0.535392165184021,0.28596532344818115,0.41548454761505127,0.535392165184021,0.1736302673816681,0.2456841915845871,0.20567215979099274,0.29463258385658264
396,-0.09114819020032883,-0.018206816166639328,-0.09864754229784012,-0.028713300824165344,0.06070723012089729,-0.015376653522253036,-0.028713300824165344,-0.04578840732574463,-0.031169122084975243,-0.016857340931892395,-0.0029854411259293556
m.,-0.12873266637325287,-0.06333046406507492,-0.06526678055524826,0.11779511719942093,-0.04013506695628166,0.15378065407276154,0.11779511719942093,0.10418839007616043,0.0484958253800869,0.1915402114391327,-0.0002856669598259032
it,0.36714982986450195,0.34568047523498535,0.6328473687171936,0.6251175999641418,0.3210811913013458,0.38761502504348755,0.6251175999641418,0.17693428695201874,0.27285236120224,0.23763985931873322,0.25732165575027466
flows,0.12961691617965698,0.1851889044046402,0.3137552738189697,0.32405155897140503,0.18790024518966675,0.25574392080307007,0.32405155897140503,0.2871347963809967,0.39984533190727234,0.2493821084499359,0.11636040359735489
through,0.2704794108867645,0.27183258533477783,0.27805060148239136,0.44071322679519653,0.24739643931388855,0.3647414743900299,0.44071322679519653,0.23343999683856964,0.24184252321720123,0.14892245829105377,0.16913433372974396
a,0.29312583804130554,0.3795371353626251,0.658733606338501,0.5829201340675354,0.29094603657722473,0.5052502155303955,0.5829201340675354,0.1823403388261795,0.25033900141716003,0.20532819628715515,0.23916715383529663
wide,0.2094327211380005,0.476868212223053,0.22456400096416473,0.28078147768974304,0.1736477017402649,0.23687250912189484,0.28078147768974304,0.11839058250188828,0.168962761759758,0.15346784889698029,0.12719376385211945
glacial,0.10841327905654907,0.26544007658958435,0.18735899031162262,0.23225238919258118,0.18290415406227112,0.2019510567188263,0.23225238919258118,0.20400404930114746,0.2849898338317871,0.203748881816864,0.09140896797180176
alpine,0.09780821949243546,0.17545558512210846,0.1825626790523529,0.25914666056632996,0.2007877677679062,0.22056277096271515,0.25914666056632996,0.18429382145404816,0.1711803823709488,0.15779778361320496,0.08546924591064453
valley,0.16011130809783936,0.18953363597393036,0.21787452697753906,0.2923165559768677,0.12257915735244751,0.23914365470409393,0.2923165559768677,0.28803977370262146,0.3095538318157196,0.27165403962135315,0.11486150324344635
known,0.16194356977939606,0.24638257920742035,0.41921812295913696,0.3624623417854309,0.10096953809261322,0.35814476013183594,0.3624623417854309,0.12647588551044464,0.15307265520095825,0.11041737347841263,0.18314571678638458
as,0.33782753348350525,0.23432248830795288,0.43216490745544434,0.48381632566452026,0.21584227681159973,0.3886612355709076,0.48381632566452026,0.18380387127399445,0.15445628762245178,0.19109366834163666,0.27043893933296204
the,0.33890387415885925,0.3075225353240967,0.5823672413825989,1.0,0.3365345895290375,0.733189046382904,1.0,0.30735138058662415,0.2879819869995117,0.2933478355407715,0.22068053483963013
rhine,0.09285783767700195,0.1596824824810028,0.15617261826992035,0.30735138058662415,0.15145494043827057,0.2548927664756775,0.30735138058662415,1.0,0.2615382969379425,0.26268666982650757,0.13754533231258392
valley,0.16011130809783936,0.18953363597393036,0.21787452697753906,0.2923165559768677,0.12257915735244751,0.23914365470409393,0.2923165559768677,0.28803977370262146,0.3095538318157196,0.27165403962135315,0.11486150324344635
(,0.1676948219537735,0.2487790733575821,0.35393038392066956,0.33289089798927307,0.22324657440185547,0.35032153129577637,0.33289089798927307,0.12381801009178162,0.16812613606452942,0.190532386302948,0.40561532974243164
german,0.17899556457996368,0.13117992877960205,0.19231973588466644,0.256483793258667,0.15850061178207397,0.2122138887643814,0.256483793258667,0.49305370450019836,0.09651383757591248,0.19771865010261536,0.13978645205497742
:,-0.11215605586767197,-0.0983700081706047,-0.07222653180360794,-0.03403344005346298,-0.023922888562083244,-0.08807745575904846,-0.03403344005346298,0.011925304308533669,-0.07276036590337753,0.005507569294422865,-0.07156077772378922
rheintal,0.15185150504112244,0.19777598977088928,0.24463233351707458,0.3660815358161926,0.19897937774658203,0.35073333978652954,0.3660815358161926,0.5984150767326355,0.2581922709941864,0.32457178831100464,0.2123950719833374
),0.17939934134483337,0.23425164818763733,0.37732169032096863,0.3456730246543884,0.23834258317947388,0.3680361211299896,0.3456730246543884,0.12686386704444885,0.1572476029396057,0.22104597091674805,0.42300865054130554
.,0.3287222981452942,0.3247973620891571,0.4569662809371948,0.5934505462646484,0.26206159591674805,0.5352458953857422,0.5934505462646484,0.2089352011680603,0.2532462477684021,0.30415210127830505,0.4130953550338745
