,what,doctor,who,mini-episode,was,shown,during,the,prom,?
it,0.45803478360176086,0.24568085372447968,0.2868398427963257,0.24769684672355652,0.4577186405658722,0.27352818846702576,0.26678937673568726,0.6251175999641418,0.11632896959781647,0.25732165575027466
also,0.42747777700424194,0.2990783452987671,0.47919341921806335,0.29663020372390747,0.4032125174999237,0.3308436870574951,0.4275238513946533,0.6021018624305725,0.24108459055423737,0.21848613023757935
featured,0.20330384373664856,0.16105584800243378,0.25015440583229065,0.405355304479599,0.3064519464969635,0.3668791353702545,0.2333056926727295,0.28660184144973755,0.32388290762901306,0.2944096624851227
the,0.42745697498321533,0.2820442318916321,0.3733934462070465,0.29159799218177795,0.48711544275283813,0.3387985825538635,0.4838213622570038,1.0,0.2048463672399521,0.22068053483963013
specially,0.27000024914741516,0.09303737431764603,0.31079158186912537,0.2543967664241791,0.2932540476322174,0.20979908108711243,0.26135367155075073,0.3267272412776947,0.1911245733499527,0.22324217855930328
filmed,0.16028854250907898,0.25387242436408997,0.1369626671075821,0.38948675990104675,0.28656771779060364,0.35941267013549805,0.2726205587387085,0.2799699008464813,0.2647459805011749,0.12269312888383865
mini-episode,0.24535569548606873,0.28662043809890747,0.21152600646018982,1.0,0.2067740261554718,0.35613977909088135,0.2493925541639328,0.29159799218177795,0.31319111585617065,0.2965864837169647
``,0.008517155423760414,0.03718610852956772,0.02397952415049076,-0.02882395312190056,-0.012679691426455975,-0.016919268295168877,0.007871326059103012,0.029072100296616554,-0.052601493895053864,0.0685480609536171
music,0.23070453107357025,0.19428947567939758,0.20470726490020752,0.18237046897411346,0.2583621144294739,0.12807905673980713,0.19340822100639343,0.2714049816131592,0.3682788014411926,0.18264494836330414
of,0.33290785551071167,0.16895952820777893,0.2827862501144409,0.24568025767803192,0.4069072902202606,0.24332952499389648,0.3869180977344513,0.733189046382904,0.12190516293048859,0.1826142966747284
the,0.42745697498321533,0.2820442318916321,0.3733934462070465,0.29159799218177795,0.48711544275283813,0.3387985825538635,0.4838213622570038,1.0,0.2048463672399521,0.22068053483963013
spheres,0.19068695604801178,0.106266550719738,0.11563374847173691,0.17228621244430542,0.14027372002601624,0.23440678417682648,0.11934536695480347,0.19499123096466064,0.009922732599079609,0.14280365407466888
'',0.08143015950918198,0.06782495975494385,0.024401003494858742,-0.011618238873779774,0.04456103965640068,0.08044599741697311,-0.08359146863222122,0.041273195296525955,-0.13205398619174957,0.018684765323996544
",",0.3087472915649414,0.20407600700855255,0.3365725874900818,0.25281158089637756,0.45456063747406006,0.25911012291908264,0.3225448727607727,0.4933079481124878,0.24324853718280792,0.31091248989105225
written,0.25412634015083313,0.1692265123128891,0.26459524035453796,0.1813136339187622,0.25575822591781616,0.27185145020484924,0.0841146782040596,0.2582438886165619,0.16284477710723877,0.21451954543590546
by,0.2455483376979828,0.13681447505950928,0.39727845788002014,0.1550915390253067,0.4752357602119446,0.2900676429271698,0.3220438063144684,0.4408751428127289,0.1537560224533081,0.17966607213020325
russell,0.16743159294128418,0.12072563916444778,0.2708354890346527,0.2156699001789093,0.2758617401123047,0.15076175332069397,0.15075498819351196,0.2413037121295929,0.06786596029996872,0.11642709374427795
t,0.37454068660736084,0.17748232185840607,0.23457348346710205,0.23681707680225372,0.19807380437850952,0.16582843661308289,0.10036247968673706,0.2083338052034378,0.15936198830604553,0.4954066574573517
davies,0.14111879467964172,0.2710629403591156,0.24405889213085175,0.28842735290527344,0.2509008049964905,0.18345455825328827,0.09119297564029694,0.22865624725818634,0.2375974953174591,0.12641099095344543
and,0.31309178471565247,0.21673844754695892,0.41279885172843933,0.2659161686897278,0.3740963041782379,0.28805026412010193,0.36462149024009705,0.5171257257461548,0.26416558027267456,0.20544172823429108
starring,0.1384143829345703,0.23973064124584198,0.22658158838748932,0.3884357511997223,0.24644622206687927,0.23601002991199493,0.22785039246082306,0.2360517829656601,0.22497957944869995,0.13022364675998688
david,0.1299152821302414,0.2051917463541031,0.26544609665870667,0.18464384973049164,0.2655363976955414,0.11171934753656387,0.17609624564647675,0.2237231284379959,0.15492337942123413,0.04158485680818558
tennant,0.17013365030288696,0.3680565059185028,0.2995700240135193,0.32951977849006653,0.310945063829422,0.20035617053508759,0.24696432054042816,0.28644976019859314,0.2184247076511383,0.09592169523239136
.,0.3567904531955719,0.22361043095588684,0.3541337847709656,0.2948088049888611,0.40146201848983765,0.3143177330493927,0.3485563397407532,0.5934505462646484,0.17251326143741608,0.4130953550338745
