,in,what,year,did,tesla,graduate,from,the,higher,real,gymnasium,?
he,0.41690486669540405,0.3114890456199646,0.2827935814857483,0.3292143940925598,0.12373391538858414,0.280520498752594,0.3314535319805145,0.4571082592010498,0.21176837384700775,0.2144354283809662,0.2286210060119629,0.2089974731206894
finished,0.2933714687824249,0.2113480567932129,0.20776933431625366,0.34182655811309814,0.11797337234020233,0.25319287180900574,0.20742684602737427,0.2754973769187927,0.11774171143770218,0.14521242678165436,0.255275160074234,0.14789283275604248
a,0.539380669593811,0.3320399522781372,0.29350247979164124,0.2552328109741211,0.2211925983428955,0.21107926964759827,0.322764128446579,0.5829201340675354,0.2608921229839325,0.269746869802475,0.20263612270355225,0.23916715383529663
four-year,0.358539879322052,0.2053402066230774,0.5822171568870544,0.1687355935573578,0.24603495001792908,0.26919275522232056,0.2829475700855255,0.39077791571617126,0.25367504358291626,0.15896940231323242,0.19591228663921356,0.3371509909629822
term,0.27866655588150024,0.25282326340675354,0.2334945797920227,0.18552188575267792,0.13398443162441254,0.1701977252960205,0.25269290804862976,0.2740369141101837,0.16960616409778595,0.15392974019050598,0.17129959166049957,0.1901002675294876
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.17097744345664978,0.2576194703578949,0.4274188280105591,0.6662389636039734,0.23285751044750214,0.1725122183561325,0.23880107700824738,0.20430970191955566
three,0.34828072786331177,0.24888746440410614,0.2806354761123657,0.2043166607618332,0.12387315183877945,0.18890143930912018,0.22603893280029297,0.43452659249305725,0.2124238908290863,0.11349864304065704,0.14247925579547882,0.20928427577018738
years,0.33554986119270325,0.1981470286846161,0.5195499062538147,0.2695724070072174,0.11282773315906525,0.18950819969177246,0.31063511967658997,0.2912273406982422,0.13711678981781006,0.1674010008573532,0.2273864895105362,0.1914375126361847
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.20599327981472015,0.2738925516605377,0.39760664105415344,0.4933079481124878,0.251458078622818,0.2110464870929718,0.20646251738071442,0.31091248989105225
graduating,0.33616530895233154,0.19444580376148224,0.22034955024719238,0.22833351790905,0.18950283527374268,0.7892334461212158,0.27894774079322815,0.265004962682724,0.2656400203704834,0.14606161415576935,0.3693183958530426,0.08642052114009857
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.17097744345664978,0.2576194703578949,0.4274188280105591,0.6662389636039734,0.23285751044750214,0.1725122183561325,0.23880107700824738,0.20430970191955566
1873.:33,0.1808212399482727,0.006952805910259485,0.06690127402544022,-0.002473202534019947,-0.030847860500216484,0.0460219644010067,0.06789939105510712,0.08533766120672226,0.07926283776760101,-0.06802497059106827,-0.030165962874889374,-0.09563573449850082
