,how,are,packets,normally,forwarded
packets,0.32003575563430786,0.3438490629196167,1.0,0.3322341740131378,0.3051725924015045
are,0.311818927526474,1.0,0.3438490629196167,0.5100492835044861,0.24132861196994781
normally,0.3486819565296173,0.5100492835044861,0.3322341740131378,1.0,0.2278723120689392
forwarded,0.21210208535194397,0.24132861196994781,0.3051725924015045,0.2278723120689392,1.0
by,0.34370526671409607,0.37842893600463867,0.16324447095394135,0.349295049905777,0.21561820805072784
intermediate,0.19318947196006775,0.29586729407310486,0.24220380187034607,0.2971532940864563,0.17891529202461243
network,0.22464405000209808,0.2036537528038025,0.30937790870666504,0.19812901318073273,0.18307848274707794
nodes,0.19597436487674713,0.320565789937973,0.3472890853881836,0.28753018379211426,0.2149084359407425
asynchronously,0.30437996983528137,0.2595553398132324,0.4023331105709076,0.4226589798927307,0.4271165728569031
using,0.39886897802352905,0.3385874032974243,0.3395044207572937,0.38521239161491394,0.27537861466407776
first-in,0.17508651316165924,0.23253405094146729,0.2060241997241974,0.24879027903079987,0.24688652157783508
",",0.22659391164779663,0.4062570035457611,0.16014494001865387,0.28092333674430847,0.2583516240119934
first-out,0.26827552914619446,0.2432975023984909,0.2798517644405365,0.27984240651130676,0.2747288644313812
buffering,0.22503599524497986,0.26066142320632935,0.29692962765693665,0.27743780612945557,0.28261375427246094
",",0.22659391164779663,0.4062570035457611,0.16014494001865387,0.28092333674430847,0.2583516240119934
but,0.43101516366004944,0.47990062832832336,0.241428405046463,0.41471943259239197,0.27342501282691956
may,0.22490409016609192,0.3162533640861511,0.2051231861114502,0.3052147328853607,0.2367042899131775
be,0.4158933162689209,0.5556803941726685,0.3062763512134552,0.4979165494441986,0.31388771533966064
forwarded,0.21210208535194397,0.24132861196994781,0.3051725924015045,0.2278723120689392,1.0
according,0.29424387216567993,0.22847512364387512,0.10159969329833984,0.15399855375289917,0.19083139300346375
to,0.44169697165489197,0.3504326641559601,0.30273526906967163,0.3993734121322632,0.33755698800086975
some,0.4180530905723572,0.6331475377082825,0.3544863164424896,0.48062968254089355,0.2104984074831009
scheduling,0.28367090225219727,0.2401135116815567,0.24823597073554993,0.20623259246349335,0.2219192385673523
discipline,0.2309175431728363,0.12893009185791016,0.21780480444431305,0.13690954446792603,0.2450600117444992
for,0.3308170735836029,0.3895993232727051,0.30846530199050903,0.37580928206443787,0.3315584659576416
fair,0.19913963973522186,0.1471424102783203,0.15756237506866455,0.17552049458026886,0.17192566394805908
queuing,0.29696884751319885,0.30584627389907837,0.4000018537044525,0.31728896498680115,0.33222439885139465
",",0.22659391164779663,0.4062570035457611,0.16014494001865387,0.28092333674430847,0.2583516240119934
traffic,0.19900892674922943,0.21212369203567505,0.20839956402778625,0.20161770284175873,0.21734018623828888
shaping,0.35785070061683655,0.23727701604366302,0.22045673429965973,0.21778497099876404,0.23627927899360657
",",0.22659391164779663,0.4062570035457611,0.16014494001865387,0.28092333674430847,0.2583516240119934
or,0.3378981947898865,0.5374364256858826,0.32945671677589417,0.5445803999900818,0.2727647125720978
for,0.3308170735836029,0.3895993232727051,0.30846530199050903,0.37580928206443787,0.3315584659576416
differentiated,0.2962629497051239,0.3882990777492523,0.23826175928115845,0.3030429184436798,0.2457585632801056
or,0.3378981947898865,0.5374364256858826,0.32945671677589417,0.5445803999900818,0.2727647125720978
guaranteed,0.2717660665512085,0.22862955927848816,0.21717005968093872,0.29359865188598633,0.29523032903671265
quality,0.36220911145210266,0.27905720472335815,0.2755047380924225,0.27629876136779785,0.17862631380558014
of,0.2480744868516922,0.39081433415412903,0.13157235085964203,0.25552743673324585,0.23034362494945526
service,0.12199638783931732,0.14771409332752228,0.24622613191604614,0.2189783900976181,0.21517924964427948
",",0.22659391164779663,0.4062570035457611,0.16014494001865387,0.28092333674430847,0.2583516240119934
such,0.307365357875824,0.4654397666454315,0.2369707077741623,0.39229393005371094,0.1774386167526245
as,0.33782753348350525,0.3826591968536377,0.19360511004924774,0.3794248700141907,0.24914264678955078
weighted,0.3481440842151642,0.21582578122615814,0.24017773568630219,0.29624462127685547,0.24314916133880615
fair,0.19913963973522186,0.1471424102783203,0.15756237506866455,0.17552049458026886,0.17192566394805908
queuing,0.29696884751319885,0.30584627389907837,0.4000018537044525,0.31728896498680115,0.33222439885139465
or,0.3378981947898865,0.5374364256858826,0.32945671677589417,0.5445803999900818,0.2727647125720978
leaky,0.21517300605773926,0.16838768124580383,0.21762683987617493,0.20984521508216858,0.14222821593284607
bucket,0.28078651428222656,0.1675519049167633,0.3586229085922241,0.2611945867538452,0.21005785465240479
.,0.3287222981452942,0.3452940285205841,0.1963910162448883,0.33750930428504944,0.27712681889533997
