,what,does,the,urban,education,institute,help,run,?
it,0.45803478360176086,0.34188351035118103,0.6251175999641418,0.15219467878341675,0.209109365940094,0.20836961269378662,0.23227837681770325,0.28241392970085144,0.25732165575027466
operates,0.17323419451713562,0.25847193598747253,0.2663705050945282,0.14658832550048828,0.21021471917629242,0.18906086683273315,0.16952764987945557,0.36285755038261414,0.12270797789096832
the,0.42745697498321533,0.35928019881248474,1.0,0.1482323557138443,0.23982903361320496,0.24399729073047638,0.30064165592193604,0.27883726358413696,0.22068053483963013
university,0.20256435871124268,0.09909145534038544,0.263973206281662,0.168852299451828,0.503289520740509,0.5763126611709595,0.11970726400613785,0.1579725593328476,0.11887256056070328
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.26017457246780396,0.3015166223049164,0.2977932393550873,0.22745388746261597,0.2272813767194748,0.1826142966747284
chicago,0.1521448791027069,0.17240707576274872,0.27360326051712036,0.17414137721061707,0.17451082170009613,0.2349669337272644,0.1282460242509842,0.16510172188282013,0.16446958482265472
laboratory,0.20190474390983582,0.0983743742108345,0.19762322306632996,0.09208222478628159,0.3169623911380768,0.4038229286670685,0.16586759686470032,0.09070311486721039,0.07445509731769562
schools,0.1820785105228424,0.19430282711982727,0.22905772924423218,0.19893118739128113,0.6035618185997009,0.2961669862270355,0.2060146927833557,0.20951882004737854,0.18349280953407288
(,0.2411840260028839,0.2728188931941986,0.33289089798927307,0.17009884119033813,0.1691931039094925,0.17226308584213257,0.23475761711597443,0.1844223588705063,0.40561532974243164
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.16482499241828918,0.21779850125312805,0.15834029018878937,0.23381464183330536,0.2607046067714691,0.23916715383529663
private,0.16778090596199036,0.1316513568162918,0.18291357159614563,0.19678755104541779,0.34071704745292664,0.266602098941803,0.14327706396579742,0.14252924919128418,0.14389030635356903
day,0.2990210950374603,0.12629863619804382,0.3062323033809662,0.03621941804885864,0.16219562292099,0.1437099426984787,0.22374975681304932,0.20886877179145813,0.2141837179660797
school,0.18774057924747467,0.1536676436662674,0.22953221201896667,0.1526504009962082,0.5861870050430298,0.3705218434333801,0.15813985466957092,0.14213740825653076,0.15091250836849213
for,0.3017193675041199,0.35159170627593994,0.4739971458911896,0.17206937074661255,0.27265021204948425,0.23579588532447815,0.33200904726982117,0.27206581830978394,0.264628142118454
k-12,0.33679550886154175,0.36293137073516846,0.40333887934684753,0.2037477046251297,0.15184511244297028,0.10208503901958466,0.1688416749238968,0.16334694623947144,0.31244829297065735
students,0.2380729615688324,0.18956486880779266,0.25268980860710144,0.19214047491550446,0.5498206615447998,0.36565592885017395,0.2723594009876251,0.17367467284202576,0.18017297983169556
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.25797802209854126,0.308173805475235,0.24076776206493378,0.34926167130470276,0.2711782455444336,0.20544172823429108
day,0.2990210950374603,0.12629863619804382,0.3062323033809662,0.03621941804885864,0.16219562292099,0.1437099426984787,0.22374975681304932,0.20886877179145813,0.2141837179660797
care,0.2973911762237549,0.2256620228290558,0.1663842648267746,0.2197614163160324,0.3578152656555176,0.19698868691921234,0.3546063005924225,0.20453958213329315,0.24279968440532684
),0.26259949803352356,0.2575884759426117,0.3456730246543884,0.17458201944828033,0.19257274270057678,0.18211983144283295,0.24308834969997406,0.1813306212425232,0.42300865054130554
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.21443712711334229,0.2718683183193207,0.25896888971328735,0.2855570912361145,0.2309936285018921,0.31091248989105225
the,0.42745697498321533,0.35928019881248474,1.0,0.1482323557138443,0.23982903361320496,0.24399729073047638,0.30064165592193604,0.27883726358413696,0.22068053483963013
sonia,0.21704235672950745,0.1195923238992691,0.1256113201379776,0.014400781132280827,0.14461767673492432,0.10465618222951889,0.14951489865779877,0.1624099761247635,0.3330424427986145
shankman,0.18826283514499664,0.1719873696565628,0.2773568332195282,0.1747620552778244,0.20845824480056763,0.2956525981426239,0.18361498415470123,0.15872275829315186,0.21789847314357758
orthogenic,0.24467846751213074,0.295919269323349,0.26043862104415894,0.13612300157546997,0.17305989563465118,0.20128101110458374,0.25045666098594666,0.10590435564517975,0.23043052852153778
school,0.18774057924747467,0.1536676436662674,0.22953221201896667,0.1526504009962082,0.5861870050430298,0.3705218434333801,0.15813985466957092,0.14213740825653076,0.15091250836849213
(,0.2411840260028839,0.2728188931941986,0.33289089798927307,0.17009884119033813,0.1691931039094925,0.17226308584213257,0.23475761711597443,0.1844223588705063,0.40561532974243164
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.16482499241828918,0.21779850125312805,0.15834029018878937,0.23381464183330536,0.2607046067714691,0.23916715383529663
residential,0.09814727306365967,0.16988180577754974,0.25597885251045227,0.3042309284210205,0.2563299238681793,0.2576080858707428,0.1124027669429779,0.25830239057540894,0.08603290468454361
treatment,0.27640530467033386,0.22439263761043549,0.2350214421749115,0.13239715993404388,0.2991722822189331,0.2423854023218155,0.3073904514312744,0.16892793774604797,0.20314443111419678
program,0.25047802925109863,0.1997261941432953,0.22986935079097748,0.13520722091197968,0.27628833055496216,0.2743299901485443,0.21536695957183838,0.36022239923477173,0.1440187245607376
