,how,many,total,touchdowns,did,cam,newton,score,?
pro,0.18713277578353882,0.13571034371852875,0.11986707150936127,0.199878990650177,0.14497412741184235,0.11789428442716599,0.10714779049158096,0.1160372942686081,0.17645101249217987
bowl,0.1720007210969925,0.17932994663715363,0.13796210289001465,0.432915598154068,0.18569406867027283,0.147389754652977,0.1892489492893219,0.18485401570796967,0.21118052303791046
quarterback,0.10935026407241821,0.09331715106964111,0.14724460244178772,0.6703263521194458,0.13718701899051666,0.25592461228370667,0.29465755820274353,0.2516149878501892,0.13221268355846405
cam,0.14944414794445038,0.13726761937141418,0.14158141613006592,0.2751055061817169,0.15223097801208496,1.0000001192092896,0.32548287510871887,0.11817726492881775,0.1622646003961563
newton,0.2514588236808777,0.1828424632549286,0.1840561330318451,0.31141117215156555,0.23863376677036285,0.32548287510871887,1.0000001192092896,0.12628361582756042,0.09645649790763855
had,0.2549138069152832,0.40130746364593506,0.24812166392803192,0.26631444692611694,0.540525496006012,0.04911038279533386,0.17341329157352448,0.12216859310865402,0.20728366076946259
one,0.3213292360305786,0.4223630726337433,0.2843787372112274,0.2601357400417328,0.27659472823143005,0.19543564319610596,0.20534484088420868,0.2255811244249344,0.2673267424106598
of,0.2480744868516922,0.37253960967063904,0.29045331478118896,0.18799830973148346,0.2513895630836487,0.18242581188678741,0.18479612469673157,0.1790168732404709,0.1826142966747284
his,0.24614305794239044,0.3188176155090332,0.11309853941202164,0.3102671802043915,0.3546801507472992,0.17229199409484863,0.2519145607948303,0.17714694142341614,0.18075084686279297
best,0.25441184639930725,0.2589998245239258,0.18864211440086365,0.2284936010837555,0.25550925731658936,0.12398269772529602,0.20502272248268127,0.2503221333026886,0.2799045741558075
seasons,0.12353117763996124,0.1946718841791153,0.19476458430290222,0.39493125677108765,0.18920958042144775,0.15167202055454254,0.10007040947675705,0.20375172793865204,0.13766995072364807
",",0.22659391164779663,0.40610817074775696,0.25815486907958984,0.23933975398540497,0.3015086054801941,0.22727563977241516,0.2648763358592987,0.16025088727474213,0.31091248989105225
