,what,is,the,best,qb,ranking,that,cam,newton,holds,?
pro,0.18814358115196228,0.11078593879938126,0.2149612456560135,0.14932318031787872,0.2819584608078003,0.1185663565993309,0.14073680341243744,0.11789428442716599,0.10714779049158096,0.17423510551452637,0.17645101249217987
bowl,0.15942467749118805,0.14233897626399994,0.21576224267482758,0.15184210240840912,0.32663026452064514,0.1691018044948578,0.10987387597560883,0.147389754652977,0.1892489492893219,0.19522249698638916,0.21118052303791046
quarterback,0.15767325460910797,0.19901543855667114,0.23757418990135193,0.23861365020275116,0.6065801978111267,0.18681688606739044,0.17249047756195068,0.25592461228370667,0.29465755820274353,0.14085519313812256,0.13221268355846405
cam,0.15654346346855164,0.20740602910518646,0.18275147676467896,0.12398269772529602,0.28762632608413696,0.07040005177259445,0.1850440800189972,1.0000001192092896,0.32548287510871887,0.0705060064792633,0.1622646003961563
newton,0.20841743052005768,0.21921560168266296,0.1876603662967682,0.20502272248268127,0.2839559316635132,0.13279736042022705,0.22769790887832642,0.32548287510871887,1.0000001192092896,0.10289584845304489,0.09645649790763855
had,0.23849567770957947,0.2932159900665283,0.3875846862792969,0.19722113013267517,0.2295212745666504,0.2049030214548111,0.4407361149787903,0.04911038279533386,0.17341329157352448,0.23032638430595398,0.20728366076946259
one,0.376489520072937,0.4544198513031006,0.5514441132545471,0.3874412178993225,0.11772904545068741,0.33081817626953125,0.5133185982704163,0.19543564319610596,0.20534484088420868,0.28645166754722595,0.2673267424106598
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.23660683631896973,0.11856603622436523,0.2959146499633789,0.41498205065727234,0.18242581188678741,0.18479612469673157,0.2644946873188019,0.1826142966747284
his,0.26976513862609863,0.24372583627700806,0.4394008219242096,0.30248576402664185,0.18489612638950348,0.19638791680335999,0.3173833191394806,0.17229199409484863,0.2519145607948303,0.19396445155143738,0.18075084686279297
best,0.3036847710609436,0.30476391315460205,0.3134109377861023,0.9999999403953552,0.21964681148529053,0.27596256136894226,0.24222435057163239,0.12398269772529602,0.20502272248268127,0.15374189615249634,0.2799045741558075
seasons,0.13544028997421265,0.18750202655792236,0.24226845800876617,0.20981858670711517,0.32958072423934937,0.1476280838251114,0.16050273180007935,0.15167202055454254,0.10007040947675705,0.17454388737678528,0.13766995072364807
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3461092710494995,0.27485910058021545,0.2863360047340393,0.4137537479400635,0.22727563977241516,0.2648763358592987,0.2214498221874237,0.31091248989105225
throwing,0.19878846406936646,0.18297499418258667,0.2748998701572418,0.1683572679758072,0.2851013243198395,0.1775273084640503,0.3298308253288269,0.1537315845489502,0.1744842380285263,0.26295092701911926,0.15241092443466187
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.45128104090690613,0.2542049288749695,0.22423076629638672,0.4137635827064514,0.22685806453227997,0.18168501555919647,0.28103771805763245,0.264628142118454
"3,837",-0.0031408751383423805,0.15312577784061432,0.14094862341880798,0.01798912324011326,-0.05688685551285744,0.024296730756759644,0.019570622593164444,-0.01648758351802826,0.021701980382204056,0.10220233350992203,-0.03566814586520195
yards,0.1304803043603897,0.08262171596288681,0.16070343554019928,0.1580885648727417,0.492667555809021,0.14458158612251282,0.12126293778419495,0.18628010153770447,0.29241275787353516,0.23485927283763885,0.12453813850879669
