,what,field,of,computer,science,is,primarily,concerned,with,determining,the,likelihood,of,whether,or,not,a,problem,can,ultimately,be,solved,using,algorithms,?
closely,0.24221673607826233,0.1369253247976303,0.21746549010276794,0.19147305190563202,0.1772604137659073,0.23299719393253326,0.3083510100841522,0.3395138680934906,0.30844801664352417,0.23285122215747833,0.2750711441040039,0.18410618603229523,0.21746549010276794,0.2307625412940979,0.2434776872396469,0.25779932737350464,0.18793180584907532,0.09878598898649216,0.20527610182762146,0.1859104186296463,0.27273544669151306,0.15931804478168488,0.12748631834983826,0.1863168179988861,0.08341413736343384
related,0.258600115776062,0.13062630593776703,0.2691357135772705,0.21132060885429382,0.261396199464798,0.20549555122852325,0.30562397837638855,0.3626386523246765,0.2701440453529358,0.22945506870746613,0.26962998509407043,0.25115275382995605,0.2691357135772705,0.21559982001781464,0.2758271098136902,0.2465992122888565,0.21209308505058289,0.20168086886405945,0.19034971296787262,0.17529064416885376,0.24775327742099762,0.15982188284397125,0.2240643948316574,0.15783648192882538,0.17689068615436554
fields,0.14054246246814728,0.6935226917266846,0.19633589684963226,0.23774030804634094,0.29741722345352173,0.1549985706806183,0.1868777573108673,0.22915181517601013,0.20983147621154785,0.1949520707130432,0.16397054493427277,0.2103683054447174,0.19633589684963226,0.17735308408737183,0.25209224224090576,0.23707135021686554,0.1733706295490265,0.18512989580631256,0.19597917795181274,0.08233163505792618,0.25505945086479187,0.23628653585910797,0.19008098542690277,0.20422397553920746,0.1411406248807907
in,0.30808621644973755,0.20553018152713776,0.5696388483047485,0.18321871757507324,0.269875705242157,0.5394441485404968,0.32119396328926086,0.27584534883499146,0.4080928862094879,0.2913265824317932,0.6662389636039734,0.2647380828857422,0.5696388483047485,0.24645471572875977,0.3586423695087433,0.3403114080429077,0.539380669593811,0.16969570517539978,0.26527702808380127,0.2386224865913391,0.3481820821762085,0.17707815766334534,0.2717311978340149,0.19189399480819702,0.20430970191955566
theoretical,0.3012935221195221,0.36831822991371155,0.2684490382671356,0.42270705103874207,0.51285719871521,0.22241048514842987,0.20426930487155914,0.3337618112564087,0.15722839534282684,0.417201966047287,0.21045458316802979,0.31095507740974426,0.2684490382671356,0.27265864610671997,0.19120998680591583,0.20530955493450165,0.252067893743515,0.26836568117141724,0.17708274722099304,0.13543535768985748,0.21655568480491638,0.3412168622016907,0.19424320757389069,0.44784000515937805,0.14929188787937164
computer,0.26911869645118713,0.25012052059173584,0.18559479713439941,0.9999999403953552,0.4366786777973175,0.2406304031610489,0.18313567340373993,0.2749682664871216,0.15518860518932343,0.24273760616779327,0.19781450927257538,0.295996755361557,0.18559479713439941,0.22242410480976105,0.24157440662384033,0.2020653933286667,0.2548043727874756,0.3380638659000397,0.3359983265399933,0.11865352839231491,0.25427141785621643,0.25392085313796997,0.32233551144599915,0.5081132054328918,0.20203553140163422
science,0.2612018585205078,0.2556006610393524,0.2616958022117615,0.4366786777973175,1.0,0.2747138440608978,0.21745990216732025,0.3022514283657074,0.16571007668972015,0.25313663482666016,0.24037593603134155,0.21956658363342285,0.2616958022117615,0.20042242109775543,0.1796393245458603,0.18160535395145416,0.2378881424665451,0.23451323807239532,0.1744820475578308,0.16316378116607666,0.18448032438755035,0.22528448700904846,0.19909895956516266,0.3461097776889801,0.17974960803985596
are,0.29724663496017456,0.14102037250995636,0.39081433415412903,0.21593840420246124,0.214688241481781,0.5330929756164551,0.29938802123069763,0.32258060574531555,0.38996943831443787,0.30304640531539917,0.40399202704429626,0.3616584837436676,0.39081433415412903,0.3003474473953247,0.5374364256858826,0.46186959743499756,0.265255331993103,0.2619974911212921,0.5408529043197632,0.2003585696220398,0.5556803941726685,0.17527443170547485,0.3385874032974243,0.2718161344528198,0.24591213464736938
analysis,0.2842639982700348,0.1618751436471939,0.24679350852966309,0.28493639826774597,0.30590203404426575,0.23970499634742737,0.21972079575061798,0.3592129945755005,0.17961592972278595,0.44669637084007263,0.24241644144058228,0.33327314257621765,0.24679350852966309,0.2942332923412323,0.18851448595523834,0.19924885034561157,0.26785340905189514,0.2806376516819,0.2159404158592224,0.21182644367218018,0.26080402731895447,0.2954734265804291,0.2362208068370819,0.34604814648628235,0.15352053940296173
of,0.33290785551071167,0.20410659909248352,1.0,0.18559479713439941,0.2616958022117615,0.4854315221309662,0.2761906683444977,0.3373318910598755,0.41827285289764404,0.3374442756175995,0.733189046382904,0.3448318541049957,1.0,0.24392437934875488,0.3792596757411957,0.3307090103626251,0.5052502155303955,0.20464475452899933,0.2603091299533844,0.2608107626438141,0.33904364705085754,0.17960071563720703,0.24298200011253357,0.22317801415920258,0.1826142966747284
