,how,much,was,nasa,'s,procured,spending,on,the,apollo,project,estimated,to,be,at,in,2005,after,inflation,?
in,0.2601168751716614,0.2725222110748291,0.45514053106307983,0.15705716609954834,-0.037580832839012146,0.21343176066875458,0.24553866684436798,0.46853652596473694,0.6662389636039734,0.1461767554283142,0.16277937591075897,0.2508986294269562,0.45010748505592346,0.3481820821762085,0.4374977946281433,1.0,0.009931974112987518,0.44050168991088867,0.2035607099533081,0.20430970191955566
2009,-0.20996622741222382,-0.24969856441020966,-0.17510849237442017,-0.20006024837493896,-0.02547297812998295,-0.15580791234970093,-0.20856814086437225,-0.13349726796150208,-0.23935742676258087,-0.10851902514696121,-0.15713562071323395,-0.21893548965454102,-0.3018359839916229,-0.2188660204410553,-0.29079753160476685,-0.28531888127326965,0.15981486439704895,-0.19329868257045746,-0.2323383390903473,-0.2287932187318802
",",0.22659391164779663,0.36182254552841187,0.45456063747406006,0.18665438890457153,-0.0016132977325469255,0.24072766304016113,0.2879842221736908,0.49057599902153015,0.4933079481124878,0.19808128476142883,0.24875426292419434,0.2654368579387665,0.44245919585227966,0.39254459738731384,0.38314947485923767,0.5201468467712402,0.11050146818161011,0.38860568404197693,0.17428693175315857,0.31091248989105225
nasa,0.20395343005657196,0.21932558715343475,0.19417528808116913,1.0000001192092896,-0.09383333474397659,0.12879320979118347,0.21236935257911682,0.18220403790473938,0.19786997139453888,0.4747956395149231,0.32825255393981934,0.23055031895637512,0.21193136274814606,0.22388871014118195,0.19164150953292847,0.15705716609954834,-0.07221532613039017,0.1796136051416397,0.2546737790107727,0.1809994876384735
held,0.06776752322912216,0.10934467613697052,0.30231067538261414,0.016929134726524353,0.02657921425998211,0.31373077630996704,0.19641269743442535,0.2410694807767868,0.32185450196266174,0.11020197719335556,0.10067577660083771,0.20619621872901917,0.22177374362945557,0.18061767518520355,0.3822793960571289,0.3127288818359375,-0.043364785611629486,0.22166801989078522,0.10746560245752335,0.14103956520557404
a,0.29312583804130554,0.2958075702190399,0.4508470594882965,0.19403119385242462,0.04866964742541313,0.22993095219135284,0.26904135942459106,0.3848365545272827,0.5829201340675354,0.19996169209480286,0.2328382134437561,0.23459957540035248,0.45503583550453186,0.39883795380592346,0.3095070421695709,0.539380669593811,-0.044396962970495224,0.3831600844860077,0.20021790266036987,0.23916715383529663
symposium,0.202046737074852,0.14365868270397186,0.226090207695961,0.2509859800338745,0.01531638577580452,0.1098698154091835,0.18774351477622986,0.2558846175670624,0.20559418201446533,0.184933602809906,0.2533780038356781,0.16313359141349792,0.1854190081357956,0.12056194245815277,0.25675860047340393,0.22913138568401337,-0.03334235027432442,0.0812160074710846,0.24419251084327698,0.13577209413051605
on,0.32655060291290283,0.2834896147251129,0.3909217119216919,0.18220403790473938,0.0026888418942689896,0.20570652186870575,0.2815145254135132,0.9999999403953552,0.5107308030128479,0.16069947183132172,0.25128498673439026,0.1954394280910492,0.41031414270401,0.37900757789611816,0.4806317389011383,0.46853652596473694,0.018048860132694244,0.39330315589904785,0.18194924294948578,0.2714994251728058
project,0.24153687059879303,0.26269108057022095,0.17915812134742737,0.32825255393981934,0.07063660025596619,0.14695967733860016,0.2604297995567322,0.25128498673439026,0.2027820199728012,0.27027878165245056,1.0,0.1527320295572281,0.28750085830688477,0.2489052563905716,0.2461380660533905,0.16277937591075897,-0.026615802198648453,0.13865147531032562,0.25067138671875,0.30569031834602356
costs,0.28816989064216614,0.362651526927948,0.22159133851528168,0.16653411090373993,0.08472989499568939,0.3285733759403229,0.5159697532653809,0.15592291951179504,0.2180386483669281,0.16310636699199677,0.2864971160888672,0.3103395998477936,0.30544713139533997,0.25660941004753113,0.2630307376384735,0.1732029914855957,-0.11723484098911285,0.1488324999809265,0.3922971785068512,0.19150719046592712
which,0.4852597713470459,0.4274604916572571,0.2830964922904968,0.1350456178188324,0.03856118768453598,0.2882513403892517,0.26202890276908875,0.4245251417160034,0.6521818041801453,0.19047300517559052,0.21453826129436493,0.2514267563819885,0.5345056653022766,0.476310670375824,0.3286694884300232,0.4840516746044159,-0.03712547942996025,0.3217443823814392,0.24309149384498596,0.25814583897590637
presented,0.24352394044399261,0.11849802732467651,0.2883085608482361,0.15972314774990082,0.016211573034524918,0.2871839702129364,0.2131054401397705,0.2615085244178772,0.3251480758190155,0.16802553832530975,0.1310064196586609,0.1807059496641159,0.24592746794223785,0.23645514249801636,0.25958916544914246,0.3047972023487091,-0.012836858630180359,0.18658553063869476,0.14878198504447937,0.17025142908096313
an,0.2520636022090912,0.2866077721118927,0.3694365322589874,0.17511004209518433,0.025255560874938965,0.15859723091125488,0.16079100966453552,0.3192969560623169,0.4207492768764496,0.1602039784193039,0.1355700045824051,0.19258958101272583,0.3138085603713989,0.33041056990623474,0.2446778565645218,0.2605783939361572,0.013713877648115158,0.20180045068264008,0.09155368059873581,0.19793890416622162
estimate,0.25648319721221924,0.30357876420021057,0.19240602850914001,0.2327589988708496,0.002696389565244317,0.17426979541778564,0.2330189198255539,0.19825346767902374,0.24080884456634521,0.2006433755159378,0.1658116579055786,0.8224406242370605,0.21965038776397705,0.20115716755390167,0.25229182839393616,0.20146653056144714,0.11799495667219162,0.1342071145772934,0.3597904443740845,0.2405346781015396
of,0.2480744868516922,0.2671096920967102,0.4069072902202606,0.17935146391391754,-0.03817026689648628,0.256035178899765,0.3114427626132965,0.3966929316520691,0.733189046382904,0.1786269098520279,0.17578177154064178,0.30473583936691284,0.41548454761505127,0.33904364705085754,0.42558613419532776,0.5696388483047485,0.017815761268138885,0.3867455720901489,0.22237291932106018,0.1826142966747284
the,0.33890387415885925,0.35023224353790283,0.48711544275283813,0.19786997139453888,-0.01540423184633255,0.2619149684906006,0.30911970138549805,0.5107308030128479,1.0,0.2169172167778015,0.2027820199728012,0.29184040427207947,0.535392165184021,0.4248143136501312,0.457212895154953,0.6662389636039734,0.037273142486810684,0.4565047025680542,0.23142045736312866,0.22068053483963013
apollo,0.13699254393577576,0.19292719662189484,0.2306441366672516,0.4747956395149231,-0.020172206684947014,0.27718469500541687,0.1346798837184906,0.16069947183132172,0.2169172167778015,0.9999999403953552,0.27027878165245056,0.18501105904579163,0.23190522193908691,0.1851431280374527,0.16096128523349762,0.1461767554283142,0.008938119746744633,0.18112117052078247,0.12881457805633545,0.191528782248497
program,0.29295584559440613,0.18983019888401031,0.1849333792924881,0.3442091643810272,0.0445902980864048,0.18211141228675842,0.2930588126182556,0.23327119648456573,0.22986935079097748,0.3344622850418091,0.361106812953949,0.15782007575035095,0.23681028187274933,0.23601801693439484,0.20947590470314026,0.1994907110929489,-0.054890573024749756,0.20372994244098663,0.1757967621088028,0.1440187245607376
costs,0.28816989064216614,0.362651526927948,0.22159133851528168,0.16653411090373993,0.08472989499568939,0.3285733759403229,0.5159697532653809,0.15592291951179504,0.2180386483669281,0.16310636699199677,0.2864971160888672,0.3103395998477936,0.30544713139533997,0.25660941004753113,0.2630307376384735,0.1732029914855957,-0.11723484098911285,0.1488324999809265,0.3922971785068512,0.19150719046592712
