,in,newton,'s,second,law,",",what,are,the,units,of,mass,and,force,in,relation,to,microscales,?
with,0.4080928862094879,0.1584642082452774,-0.04624466598033905,0.272382527589798,0.12950056791305542,0.4120737314224243,0.2464839518070221,0.38996943831443787,0.4223487675189972,0.17477291822433472,0.41827285289764404,0.15513640642166138,0.5477725267410278,0.15703244507312775,0.4080928862094879,0.29346004128456116,0.4239959120750427,0.2355307936668396,0.2433311939239502
some,0.4010399878025055,0.16742441058158875,0.056411296129226685,0.17522670328617096,0.19280415773391724,0.42400437593460083,0.4491020441055298,0.6331475377082825,0.4566698372364044,0.2387147694826126,0.4300730526447296,0.20424754917621613,0.5337774157524109,0.1627577245235443,0.4010399878025055,0.2180004119873047,0.4636894166469574,0.3403761684894562,0.2562315762042999
justification,0.18786969780921936,0.13044215738773346,0.0015965171623975039,0.14217539131641388,0.26649001240730286,0.28414639830589294,0.41217631101608276,0.26144611835479736,0.26831284165382385,0.23660364747047424,0.2991276681423187,0.25839048624038696,0.22579629719257355,0.18008899688720703,0.18786969780921936,0.32789936661720276,0.23092837631702423,0.26382976770401,0.4005378186702728
",",0.5201468467712402,0.2648763358592987,-0.0016132977325469255,0.29927265644073486,0.24953721463680267,1.0000001192092896,0.3087472915649414,0.4062570035457611,0.4933079481124878,0.20803093910217285,0.4946078956127167,0.2439754158258438,0.6633074283599854,0.22091743350028992,0.5201468467712402,0.2668071985244751,0.44245919585227966,0.28316330909729004,0.31091248989105225
newton,0.23639483749866486,1.0000001192092896,0.027833467349410057,0.22137822210788727,0.34055307507514954,0.2648763358592987,0.20841743052005768,0.12608709931373596,0.1876603662967682,0.25670307874679565,0.18479612469673157,0.3224262297153473,0.22255054116249084,0.28017669916152954,0.23639483749866486,0.21852971613407135,0.2176830768585205,0.26033079624176025,0.09645649790763855
's,-0.037580832839012146,0.027833467349410057,0.9999999403953552,-0.060212843120098114,-0.06109188124537468,-0.0016132977325469255,0.02692362666130066,-0.008927806280553341,-0.01540423184633255,0.01876489631831646,-0.03817026689648628,0.022538112476468086,0.06895173341035843,0.020782919600605965,-0.037580832839012146,-0.07036784291267395,0.03782717138528824,-0.018611382693052292,-0.023395681753754616
second,0.34510284662246704,0.22137822210788727,-0.060212843120098114,1.0,0.17866025865077972,0.29927265644073486,0.19948028028011322,0.13331100344657898,0.4620301127433777,0.23113682866096497,0.353416383266449,0.18355771899223328,0.2743909955024719,0.2222973257303238,0.34510284662246704,0.1711689829826355,0.3098561465740204,0.11939606815576553,0.17239587008953094
law,0.24850773811340332,0.34055307507514954,-0.06109188124537468,0.17866025865077972,1.0000001192092896,0.24953721463680267,0.2145031988620758,0.13009320199489594,0.24548950791358948,0.20128698647022247,0.2816956341266632,0.17222243547439575,0.254730761051178,0.23490524291992188,0.24850773811340332,0.3281363844871521,0.259207159280777,0.16713157296180725,0.1528988480567932
can,0.26527702808380127,0.1585981845855713,-0.02075597457587719,0.18343794345855713,0.13600260019302368,0.3139454126358032,0.34502777457237244,0.5408529043197632,0.312528520822525,0.19262604415416718,0.2603091299533844,0.181753471493721,0.3675691485404968,0.18594154715538025,0.26527702808380127,0.2000260055065155,0.4979398250579834,0.35858920216560364,0.3226337134838104
be,0.3481820821762085,0.14867404103279114,0.025217169895768166,0.22983969748020172,0.18454892933368683,0.39254459738731384,0.3929833769798279,0.5556803941726685,0.4248143136501312,0.21380656957626343,0.33904364705085754,0.2344316840171814,0.41766801476478577,0.16664405167102814,0.3481820821762085,0.28023120760917664,0.4972836375236511,0.30219873785972595,0.3324260413646698
taken,0.2500644326210022,0.0979926586151123,0.00031501424382440746,0.15772493183612823,0.18859824538230896,0.28904372453689575,0.26014965772628784,0.20997759699821472,0.3309854567050934,0.16369302570819855,0.2889742851257324,0.17123286426067352,0.2680969834327698,0.09439639747142792,0.2500644326210022,0.1379597783088684,0.2772596478462219,0.18284903466701508,0.17662954330444336
as,0.3887844979763031,0.18695951998233795,-0.05775856226682663,0.25569814443588257,0.2346976399421692,0.48816442489624023,0.31749409437179565,0.3826591968536377,0.48381632566452026,0.20228685438632965,0.3886612355709076,0.20994383096694946,0.49487000703811646,0.19216643273830414,0.3887844979763031,0.2677114009857178,0.42092081904411316,0.25840336084365845,0.27043893933296204
a,0.539380669593811,0.1884482353925705,0.04866964742541313,0.3655064105987549,0.2212858349084854,0.427140474319458,0.3320399522781372,0.265255331993103,0.5829201340675354,0.2457057684659958,0.5052502155303955,0.21558082103729248,0.3739250600337982,0.2451154738664627,0.539380669593811,0.3077252209186554,0.45503583550453186,0.27191728353500366,0.23916715383529663
quantitative,0.19619323313236237,0.2854442298412323,-0.019332190975546837,0.1416759341955185,0.276040643453598,0.23551496863365173,0.3184710144996643,0.30706730484962463,0.18140308558940887,0.3498946726322174,0.31673023104667664,0.3210225999355316,0.25455793738365173,0.22507689893245697,0.19619323313236237,0.40004435181617737,0.2402993142604828,0.45467180013656616,0.23438139259815216
definition,0.20306213200092316,0.2249860316514969,-0.07552970945835114,0.2139745056629181,0.2550851106643677,0.24771931767463684,0.330344021320343,0.2561403512954712,0.23176956176757812,0.31277039647102356,0.24912455677986145,0.2770869731903076,0.1981266289949417,0.19155029952526093,0.20306213200092316,0.4171013832092285,0.2924377918243408,0.3243292272090912,0.2796523869037628
of,0.5696388483047485,0.18479612469673157,-0.03817026689648628,0.353416383266449,0.2816956341266632,0.4946078956127167,0.33290785551071167,0.39081433415412903,0.733189046382904,0.2597769498825073,1.0,0.26915112137794495,0.5116966962814331,0.27094775438308716,0.5696388483047485,0.29761821031570435,0.41548454761505127,0.29896658658981323,0.1826142966747284
mass,0.1766357719898224,0.3224262297153473,0.022538112476468086,0.18355771899223328,0.17222243547439575,0.2439754158258438,0.23905135691165924,0.19478152692317963,0.2284930944442749,0.29772695899009705,0.26915112137794495,1.0000001192092896,0.21843883395195007,0.26299312710762024,0.1766357719898224,0.31467849016189575,0.20907121896743774,0.25945591926574707,0.2076406031847
by,0.370934396982193,0.19122301042079926,-0.010884488001465797,0.2977677285671234,0.1977037936449051,0.3680937886238098,0.2455483376979828,0.37842893600463867,0.4408751428127289,0.19799064099788666,0.3646814823150635,0.21824167668819427,0.4289871156215668,0.24997374415397644,0.370934396982193,0.2065373957157135,0.33534231781959534,0.19408942759037018,0.17966607213020325
