,what,is,located,on,the,site,of,the,weaving,house,currently,?
(,0.2411840260028839,0.35393038392066956,0.21025894582271576,0.28656116127967834,0.33289089798927307,0.19636771082878113,0.35032153129577637,0.33289089798927307,0.12934929132461548,0.16532687842845917,0.25274062156677246,0.40561532974243164
it,0.45803478360176086,0.6328473687171936,0.34368759393692017,0.4529881477355957,0.6251175999641418,0.25816595554351807,0.38761502504348755,0.6251175999641418,0.2011464536190033,0.2162649929523468,0.2645350694656372,0.25732165575027466
has,0.20338068902492523,0.5668748617172241,0.2580956220626831,0.34604379534721375,0.4177538752555847,0.20146331191062927,0.3909035325050354,0.4177538752555847,0.20412379503250122,0.1341986507177353,0.3354577422142029,0.15994466841220856
been,0.2567804455757141,0.39566612243652344,0.13127942383289337,0.29937630891799927,0.3563927710056305,0.3156470060348511,0.31685134768486023,0.3563927710056305,0.22829924523830414,0.17722159624099731,0.39931994676589966,0.24354910850524902
adapted,0.16136768460273743,0.1406916081905365,0.14403820037841797,0.20326195657253265,0.2189546525478363,0.15803934633731842,0.14981709420681,0.2189546525478363,0.23672789335250854,0.08880257606506348,0.10190164297819138,0.13878031075000763
as,0.31749409437179565,0.43216490745544434,0.20928777754306793,0.36047765612602234,0.48381632566452026,0.21358512341976166,0.3886612355709076,0.48381632566452026,0.26023587584495544,0.18534636497497559,0.32914450764656067,0.27043893933296204
a,0.3320399522781372,0.658733606338501,0.2605401277542114,0.3848365545272827,0.5829201340675354,0.21085289120674133,0.5052502155303955,0.5829201340675354,0.23751506209373474,0.26758551597595215,0.2612716257572174,0.23916715383529663
restaurant—see,0.19534838199615479,0.23983542621135712,0.34536802768707275,0.2211414873600006,0.2823403775691986,0.1316807121038437,0.24743440747261047,0.2823403775691986,0.16963371634483337,0.2895282804965973,0.21247054636478424,0.2319292575120926
illustration,0.22580258548259735,0.21240580081939697,0.12308881431818008,0.23568850755691528,0.257904052734375,0.10381128638982773,0.24327659606933594,0.257904052734375,0.2815287709236145,0.17731934785842896,0.10630094259977341,0.1417175829410553
above,0.32341626286506653,0.3090769648551941,0.21401570737361908,0.3177962899208069,0.33988961577415466,0.05818082392215729,0.24890293180942535,0.33988961577415466,0.1723138839006424,0.07931066304445267,0.15914200246334076,0.2521739900112152
.,0.3567904531955719,0.4569662809371948,0.28226932883262634,0.49257001280784607,0.5934505462646484,0.22011229395866394,0.5352458953857422,0.5934505462646484,0.2503241002559662,0.2607949376106262,0.29744869470596313,0.4130953550338745
