,how,much,did,silas,b.,cobb,pledge,to,the,university,?
the,0.33890387415885925,0.35023224353790283,0.34736719727516174,0.19015543162822723,-0.008502916432917118,0.20319372415542603,0.2515122890472412,0.535392165184021,1.0,0.263973206281662,0.22068053483963013
original,0.18727099895477295,0.22213539481163025,0.2664784789085388,0.10347587615251541,0.02501315250992775,0.21610791981220245,0.10999354720115662,0.30182456970214844,0.4037000238895416,0.16472165286540985,0.17256900668144226
physical,0.3465515077114105,0.22967685759067535,0.20982125401496887,0.07028934359550476,-0.11487099528312683,0.04923190921545029,0.11087892204523087,0.24461913108825684,0.20230218768119812,0.16045011579990387,0.11781801283359528
campus,0.049072764813899994,0.11584357917308807,0.08698362857103348,0.14259067177772522,0.02585100196301937,0.22091950476169586,0.13842083513736725,0.11795692890882492,0.20087170600891113,0.557883620262146,0.06952692568302155
was,0.16678167879581451,0.2580166161060333,0.41399896144866943,0.21535325050354004,0.025299180299043655,0.23393583297729492,0.1939704269170761,0.3636345863342285,0.48711544275283813,0.290752112865448,0.18412111699581146
financed,0.18613779544830322,0.16843220591545105,0.23731818795204163,0.21326634287834167,-0.03409453108906746,0.21669025719165802,0.3099600374698639,0.2341109663248062,0.27420926094055176,0.3224113881587982,0.1003001257777214
by,0.34370526671409607,0.24959969520568848,0.18574509024620056,0.14669637382030487,0.005187185946851969,0.17167194187641144,0.20117369294166565,0.33534231781959534,0.4408751428127289,0.1929011344909668,0.17966607213020325
donations,0.2726060748100281,0.29078125953674316,0.26724353432655334,0.09850279986858368,-0.013501107692718506,0.16962802410125732,0.3774174749851227,0.3280722200870514,0.2718135714530945,0.2610985040664673,0.2354247123003006
from,0.22939439117908478,0.24480824172496796,0.20248863101005554,0.14216773211956024,-0.043322592973709106,0.19634771347045898,0.15754295885562897,0.4069952368736267,0.40150508284568787,0.2771088182926178,0.19969791173934937
wealthy,0.1840127855539322,0.23519593477249146,0.24587464332580566,0.23013518750667572,-0.042400747537612915,0.23832353949546814,0.21713215112686157,0.2669115960597992,0.2220325618982315,0.21385237574577332,0.07667969912290573
chicagoans,0.28964683413505554,0.2585856318473816,0.25929996371269226,0.19472219049930573,-0.049661099910736084,0.3326393663883209,0.2358216941356659,0.2912888526916504,0.35022440552711487,0.3032775819301605,0.24607542157173157
like,0.4663832485675812,0.45346811413764954,0.40502431988716125,0.16806660592556,-0.0743570551276207,0.1436309516429901,0.10983332991600037,0.35482415556907654,0.32912567257881165,0.11473323404788971,0.3268813192844391
silas,0.0633053332567215,0.08507996797561646,0.11892036348581314,0.9999998807907104,-0.03742116689682007,0.2715331017971039,0.19649046659469604,0.1376265436410904,0.19015543162822723,0.17634569108486176,0.07920616120100021
b.,-0.15904293954372406,-0.018242936581373215,0.05412197485566139,-0.03742116689682007,1.0,-0.04397232457995415,0.09140855818986893,-0.025171726942062378,-0.008502916432917118,0.012780464254319668,-0.032647255808115005
cobb,0.15404072403907776,0.13752542436122894,0.14266707003116608,0.2715331017971039,-0.04397232457995415,1.0,0.15489986538887024,0.17389927804470062,0.20319372415542603,0.18019737303256989,0.19696582853794098
