,who,was,announced,as,the,lem,contractor,in,november,1962,?
nasa,0.1536933034658432,0.19417528808116913,0.22979891300201416,0.1753126084804535,0.19786997139453888,0.08434861898422241,0.21032315492630005,0.15705716609954834,0.14787356555461884,0.0048394580371677876,0.1809994876384735
announced,0.11685211956501007,0.34205326437950134,1.0,0.2025703489780426,0.2277132272720337,0.15896925330162048,0.2950783371925354,0.2528248429298401,0.3003930151462555,-0.05176236107945442,0.17416009306907654
the,0.3733934462070465,0.48711544275283813,0.2277132272720337,0.48381632566452026,1.0,0.07303371280431747,0.21471422910690308,0.6662389636039734,0.25734350085258484,-0.023296929895877838,0.22068053483963013
selection,0.2101881206035614,0.18640951812267303,0.2282649129629135,0.23735636472702026,0.26173123717308044,0.08893994987010956,0.23110483586788177,0.20567981898784637,0.1099383607506752,-0.06446388363838196,0.24161170423030853
of,0.2827862501144409,0.4069072902202606,0.22339491546154022,0.3886612355709076,0.733189046382904,0.14127174019813538,0.189218208193779,0.5696388483047485,0.19941139221191406,0.01980927400290966,0.1826142966747284
grumman,0.17863982915878296,0.28294193744659424,0.18858906626701355,0.2433924525976181,0.2515086531639099,0.1953662484884262,0.36562126874923706,0.20246104896068573,0.14031217992305756,-0.053678929805755615,0.23828771710395813
as,0.3923053741455078,0.3677520453929901,0.2025703489780426,1.0,0.48381632566452026,0.156929150223732,0.211790531873703,0.3887844979763031,0.24004536867141724,-0.04405030980706215,0.27043893933296204
the,0.3733934462070465,0.48711544275283813,0.2277132272720337,0.48381632566452026,1.0,0.07303371280431747,0.21471422910690308,0.6662389636039734,0.25734350085258484,-0.023296929895877838,0.22068053483963013
lem,0.11405854672193527,0.14247772097587585,0.15896925330162048,0.156929150223732,0.07303371280431747,1.0,0.1545170247554779,0.12062229216098785,0.1621628850698471,-0.024415450170636177,0.15837547183036804
contractor,0.2322247177362442,0.2588261663913727,0.2950783371925354,0.211790531873703,0.21471422910690308,0.1545170247554779,0.9999999403953552,0.2124609500169754,0.14255377650260925,-0.08374262601137161,0.07686037570238113
in,0.2792111933231354,0.45514053106307983,0.2528248429298401,0.3887844979763031,0.6662389636039734,0.12062229216098785,0.2124609500169754,1.0,0.27148663997650146,-0.0651141032576561,0.20430970191955566
november,0.2615586519241333,0.4240739941596985,0.3003930151462555,0.24004536867141724,0.25734350085258484,0.1621628850698471,0.14255377650260925,0.27148663997650146,1.0,-0.0729740634560585,0.3159552216529846
1962,0.06345117837190628,-0.03281155601143837,-0.05176236107945442,-0.04405030980706215,-0.023296929895877838,-0.024415450170636177,-0.08374262601137161,-0.0651141032576561,-0.0729740634560585,1.0000001192092896,-0.008269774727523327
.,0.3541337847709656,0.40146201848983765,0.20513638854026794,0.515582263469696,0.5934505462646484,0.17697420716285706,0.19221588969230652,0.5591574311256409,0.3957616984844208,-0.12549011409282684,0.4130953550338745
