,who,did,the,mongols,give,control,of,korea,?
when,0.48282691836357117,0.3228907287120819,0.5091903209686279,0.20358523726463318,0.3518797755241394,0.3260348439216614,0.3757161796092987,0.2024589329957962,0.22841128706932068
the,0.3733934462070465,0.34736719727516174,1.0,0.310281366109848,0.29086416959762573,0.32841500639915466,0.733189046382904,0.2667161226272583,0.22068053483963013
mongols,0.2709572911262512,0.21908389031887054,0.310281366109848,0.9999999403953552,0.14034011960029602,0.2699570655822754,0.23517343401908875,0.2714029848575592,0.11517509818077087
placed,0.1622145026922226,0.20626646280288696,0.38702741265296936,0.15580667555332184,0.21695846319198608,0.13014757633209229,0.2962164878845215,0.16925419867038727,0.18964257836341858
the,0.3733934462070465,0.34736719727516174,1.0,0.310281366109848,0.29086416959762573,0.32841500639915466,0.733189046382904,0.2667161226272583,0.22068053483963013
uighurs,0.20429787039756775,0.17369377613067627,0.3033442199230194,0.35289567708969116,0.14049032330513,0.18705642223358154,0.23551470041275024,0.3162086009979248,0.17329514026641846
of,0.2827862501144409,0.2513895630836487,0.733189046382904,0.23517343401908875,0.33489471673965454,0.2817542552947998,1.0,0.2644958198070526,0.1826142966747284
the,0.3733934462070465,0.34736719727516174,1.0,0.310281366109848,0.29086416959762573,0.32841500639915466,0.733189046382904,0.2667161226272583,0.22068053483963013
kingdom,0.15265370905399323,0.15448923408985138,0.3143408000469208,0.24654613435268402,0.2270509898662567,0.2187635898590088,0.3218171298503876,0.2514397203922272,0.12927088141441345
of,0.2827862501144409,0.2513895630836487,0.733189046382904,0.23517343401908875,0.33489471673965454,0.2817542552947998,1.0,0.2644958198070526,0.1826142966747284
qocho,0.1683555245399475,0.18618051707744598,0.30962467193603516,0.2715598940849304,0.1419995278120041,0.1521812230348587,0.2404760718345642,0.24148182570934296,0.1867162138223648
over,0.316001296043396,0.2535076439380646,0.39856547117233276,0.23878483474254608,0.22749505937099457,0.3525603711605072,0.36136594414711,0.1896238625049591,0.25742942094802856
the,0.3733934462070465,0.34736719727516174,1.0,0.310281366109848,0.29086416959762573,0.32841500639915466,0.733189046382904,0.2667161226272583,0.22068053483963013
koreans,0.30688464641571045,0.2591695487499237,0.2526109516620636,0.3299066424369812,0.17117753624916077,0.14381738007068634,0.22756856679916382,0.7334049344062805,0.22291037440299988
at,0.22096660733222961,0.28390252590179443,0.457212895154953,0.12352439761161804,0.2186196744441986,0.1741713136434555,0.42558613419532776,0.13212543725967407,0.21978627145290375
the,0.3733934462070465,0.34736719727516174,1.0,0.310281366109848,0.29086416959762573,0.32841500639915466,0.733189046382904,0.2667161226272583,0.22068053483963013
court,0.24532970786094666,0.23020441830158234,0.2812081575393677,0.16050246357917786,0.16322870552539825,0.16803088784217834,0.28835242986679077,0.15621548891067505,0.17100423574447632
the,0.3733934462070465,0.34736719727516174,1.0,0.310281366109848,0.29086416959762573,0.32841500639915466,0.733189046382904,0.2667161226272583,0.22068053483963013
korean,0.19757816195487976,0.17729751765727997,0.2349277287721634,0.22479528188705444,0.09831179678440094,0.08717591315507889,0.21011142432689667,0.7458873391151428,0.1996629685163498
king,0.24555552005767822,0.24472618103027344,0.25887003540992737,0.23180559277534485,0.1920946091413498,0.17772836983203888,0.2938710153102875,0.18057844042778015,0.19130074977874756
objected,0.29762837290763855,0.3025481104850769,0.23751474916934967,0.12569136917591095,0.22575438022613525,0.22617749869823456,0.2466960996389389,0.12712565064430237,0.23257127404212952
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.26664721965789795,0.2844066619873047,0.20811550319194794,0.4946078956127167,0.22335247695446014,0.31091248989105225
then,0.29952746629714966,0.303744375705719,0.4297412931919098,0.2029491811990738,0.3026631474494934,0.276220440864563,0.2937326431274414,0.18224817514419556,0.2884598970413208
