,in,what,two,serials,was,the,number,of,regenerations,set,?
the,0.6662389636039734,0.42745697498321533,0.43858039379119873,0.23020225763320923,0.48711544275283813,1.0,0.35145696997642517,0.733189046382904,0.3302875757217407,0.2927955985069275,0.22068053483963013
serials,0.2872835695743561,0.18016576766967773,0.24130713939666748,0.9999999403953552,0.2294309437274933,0.23020225763320923,0.20049405097961426,0.17553187906742096,0.1773289293050766,0.2636089026927948,0.14029279351234436
the,0.6662389636039734,0.42745697498321533,0.43858039379119873,0.23020225763320923,0.48711544275283813,1.0,0.35145696997642517,0.733189046382904,0.3302875757217407,0.2927955985069275,0.22068053483963013
deadly,0.2245185375213623,0.21675419807434082,0.21558208763599396,0.24591225385665894,0.23998954892158508,0.25301113724708557,0.2192876935005188,0.20615553855895996,0.24572104215621948,0.14580532908439636,0.1889878809452057
assassin,0.08187278360128403,0.1553346812725067,0.1861652135848999,0.22974328696727753,0.16237597167491913,0.1594233363866806,0.06878960132598877,0.1787603348493576,0.10115673393011093,0.12702350318431854,0.19931939244270325
and,0.4954058527946472,0.31309178471565247,0.4671151638031006,0.3022730350494385,0.3740963041782379,0.5171257257461548,0.28545793890953064,0.5116966962814331,0.31724977493286133,0.27649927139282227,0.20544172823429108
mawdryn,0.283925861120224,0.22286103665828705,0.20345766842365265,0.2593061029911041,0.282783180475235,0.25922632217407227,0.13382254540920258,0.22615480422973633,0.29879894852638245,0.1849445402622223,0.2520046532154083
undead,0.20383943617343903,0.2384863644838333,0.21385984122753143,0.18997448682785034,0.12888887524604797,0.2520720362663269,0.19069328904151917,0.22918927669525146,0.33888906240463257,0.1581476926803589,0.1811600774526596
and,0.4954058527946472,0.31309178471565247,0.4671151638031006,0.3022730350494385,0.3740963041782379,0.5171257257461548,0.28545793890953064,0.5116966962814331,0.31724977493286133,0.27649927139282227,0.20544172823429108
the,0.6662389636039734,0.42745697498321533,0.43858039379119873,0.23020225763320923,0.48711544275283813,1.0,0.35145696997642517,0.733189046382904,0.3302875757217407,0.2927955985069275,0.22068053483963013
1996,0.07233931124210358,0.1822642683982849,0.005733142141252756,-0.03342220559716225,0.16684161126613617,0.10029517859220505,-0.010043860413134098,0.08521515130996704,-0.05274873599410057,0.006411795504391193,0.18022380769252777
tv,0.17989183962345123,0.20700684189796448,0.14826756715774536,0.35259848833084106,0.1889979988336563,0.20034731924533844,0.08087913691997528,0.19364769756793976,0.24446921050548553,0.13865630328655243,0.20290863513946533
film,0.22183799743652344,0.17437689006328583,0.14766688644886017,0.2820010483264923,0.25235438346862793,0.2824619710445404,0.07672103494405746,0.22166931629180908,0.08606720715761185,0.15934208035469055,0.16369038820266724
would,0.30461156368255615,0.45766422152519226,0.2872341275215149,0.17596955597400665,0.41663143038749695,0.4133751392364502,0.22908863425254822,0.3353942930698395,0.28367215394973755,0.2767912447452545,0.37178951501846313
later,0.40857815742492676,0.2517229914665222,0.39221060276031494,0.25316736102104187,0.5684447288513184,0.4060266613960266,0.18204212188720703,0.3458743393421173,0.2909773290157318,0.21558620035648346,0.1417175978422165
establish,0.25682297348976135,0.24999600648880005,0.14135417342185974,0.0927143394947052,0.1769464761018753,0.31343501806259155,0.14076146483421326,0.210533007979393,0.17922474443912506,0.24350492656230927,0.21678102016448975
that,0.435920387506485,0.6297725439071655,0.3858162462711334,0.22464706003665924,0.33670201897621155,0.5473989248275757,0.32951247692108154,0.41498205065727234,0.28256961703300476,0.2916346788406372,0.32716336846351624
a,0.539380669593811,0.3320399522781372,0.3289857804775238,0.21007418632507324,0.4508470594882965,0.5829201340675354,0.2992287278175354,0.5052502155303955,0.20678666234016418,0.2540091574192047,0.23916715383529663
time,0.3431483507156372,0.36319252848625183,0.33960169553756714,0.27723366022109985,0.3641340136528015,0.43061500787734985,0.26802247762680054,0.35127586126327515,0.3121628165245056,0.258029967546463,0.27391523122787476
lord,0.18930333852767944,0.15077504515647888,0.12803688645362854,0.12546874582767487,0.19920654594898224,0.2489406019449234,0.09737809747457504,0.20127125084400177,0.2030353844165802,0.15653124451637268,0.09544310718774796
can,0.26527702808380127,0.34502777457237244,0.282000333070755,0.21258525550365448,0.23099195957183838,0.312528520822525,0.33886176347732544,0.2603091299533844,0.3053550124168396,0.21309934556484222,0.3226337134838104
only,0.42992329597473145,0.41415658593177795,0.481845498085022,0.17819124460220337,0.36249664425849915,0.5497692227363586,0.39694860577583313,0.49632513523101807,0.31871023774147034,0.26687708497047424,0.2767370045185089
regenerate,0.19567370414733887,0.23099561035633087,0.1557314395904541,0.14170494675636292,0.102642722427845,0.2977958917617798,0.186406210064888,0.29200416803359985,0.7566235661506653,0.12906251847743988,0.17953330278396606
12,0.18516430258750916,0.1696145385503769,0.13613325357437134,-0.037623580545186996,0.13560841977596283,0.28907760977745056,0.09167207777500153,0.2886716425418854,0.12261300534009933,0.026227440685033798,0.10021790862083435
times,0.2427823841571808,0.21414996683597565,0.3192688524723053,0.263159841299057,0.2859917879104614,0.29093852639198303,0.2729065418243408,0.24352745711803436,0.22389602661132812,0.20934361219406128,0.18880689144134521
",",0.5201468467712402,0.3087472915649414,0.35859420895576477,0.24283795058727264,0.45456063747406006,0.4933079481124878,0.2535701394081116,0.4946078956127167,0.22595244646072388,0.24912182986736298,0.31091248989105225
for,0.4322226941585541,0.3017193675041199,0.34734001755714417,0.2581978440284729,0.3863949179649353,0.4739971458911896,0.2861633002758026,0.4185989499092102,0.18750834465026855,0.30194196105003357,0.264628142118454
a,0.539380669593811,0.3320399522781372,0.3289857804775238,0.21007418632507324,0.4508470594882965,0.5829201340675354,0.2992287278175354,0.5052502155303955,0.20678666234016418,0.2540091574192047,0.23916715383529663
total,0.27667245268821716,0.19850242137908936,0.31595906615257263,0.17410671710968018,0.14069223403930664,0.27068960666656494,0.42508429288864136,0.29045331478118896,0.16712024807929993,0.14822183549404144,0.14396025240421295
of,0.5696388483047485,0.33290785551071167,0.37726253271102905,0.17553187906742096,0.4069072902202606,0.733189046382904,0.2778518795967102,1.0,0.31925347447395325,0.20671486854553223,0.1826142966747284
