,how,high,are,many,of,the,buildings,with,turrets,?
these,0.41104358434677124,0.2742219567298889,0.7107698917388916,0.7077717185020447,0.42684608697891235,0.49086877703666687,0.28242290019989014,0.37595367431640625,0.3220674693584442,0.2571668326854706
buildings,0.15449079871177673,0.21258452534675598,0.27261707186698914,0.323274701833725,0.2829168736934662,0.25566717982292175,1.0,0.16776278614997864,0.36539146304130554,0.11192528158426285
are,0.311818927526474,0.21708175539970398,1.0,0.5655534863471985,0.39081433415412903,0.40399202704429626,0.27261707186698914,0.38996943831443787,0.36905184388160706,0.24591213464736938
predominantly,0.13580434024333954,0.2077237069606781,0.3642140030860901,0.37066450715065,0.2868182361125946,0.3429192900657654,0.18954163789749146,0.2597690522670746,0.19843648374080658,0.06528439372777939
four,0.1955733299255371,0.16133670508861542,0.3568944036960602,0.4139232039451599,0.36293646693229675,0.40344667434692383,0.16622543334960938,0.32876577973365784,0.22203373908996582,0.14532537758350372
stories,0.2475135177373886,0.15089301764965057,0.29618650674819946,0.34049203991889954,0.2577437460422516,0.2397296130657196,0.2575536072254181,0.20523279905319214,0.24261155724525452,0.20536305010318756
high,0.16700881719589233,1.0,0.21708175539970398,0.27441489696502686,0.2803038954734802,0.28034812211990356,0.21258452534675598,0.19851811230182648,0.17518536746501923,0.11137914657592773
",",0.22659391164779663,0.27938312292099,0.4062570035457611,0.40610817074775696,0.4946078956127167,0.4933079481124878,0.272444486618042,0.4120737314224243,0.2371464967727661,0.31091248989105225
with,0.3525622487068176,0.19851811230182648,0.38996943831443787,0.35744401812553406,0.41827285289764404,0.4223487675189972,0.16776278614997864,0.9999999403953552,0.22038380801677704,0.2433311939239502
vertical,0.20892123878002167,0.2111903429031372,0.19253449141979218,0.13325655460357666,0.2439207136631012,0.2582685053348541,0.2113819420337677,0.23681820929050446,0.30226829648017883,0.18911753594875336
dormers,0.17235428094863892,0.20236198604106903,0.3341825306415558,0.34602707624435425,0.20618772506713867,0.2542479634284973,0.24365204572677612,0.15971434116363525,0.2935152053833008,0.1662226915359497
",",0.22659391164779663,0.27938312292099,0.4062570035457611,0.40610817074775696,0.4946078956127167,0.4933079481124878,0.272444486618042,0.4120737314224243,0.2371464967727661,0.31091248989105225
domes,0.1365819126367569,0.18251052498817444,0.2908252775669098,0.2385334074497223,0.2273896038532257,0.2820517122745514,0.4384860396385193,0.2593020796775818,0.37804797291755676,0.13956885039806366
",",0.22659391164779663,0.27938312292099,0.4062570035457611,0.40610817074775696,0.4946078956127167,0.4933079481124878,0.272444486618042,0.4120737314224243,0.2371464967727661,0.31091248989105225
turrets,0.19101186096668243,0.17518536746501923,0.36905184388160706,0.24391821026802063,0.22094643115997314,0.27053722739219666,0.36539146304130554,0.22038380801677704,0.9999999403953552,0.06603001803159714
and,0.33647966384887695,0.2911888659000397,0.48576638102531433,0.5296266674995422,0.5116966962814331,0.5171257257461548,0.3477250337600708,0.5477725267410278,0.2811947762966156,0.20544172823429108
spikes,0.21164871752262115,0.23474691808223724,0.2642148435115814,0.2616870403289795,0.21831157803535461,0.3013862073421478,0.24945709109306335,0.3179393708705902,0.4263453781604767,0.12543761730194092
.,0.3287222981452942,0.24301011860370636,0.3452940285205841,0.3974229395389557,0.5352458953857422,0.5934505462646484,0.2799520492553711,0.4446153938770294,0.21355384588241577,0.4130953550338745
