,what,was,one,of,the,norman,'s,major,exports,?
most,0.3219912350177765,0.29933857917785645,0.5404669642448425,0.4178851246833801,0.47635307908058167,0.1615052968263626,0.024445664137601852,0.28731590509414673,0.24355140328407288,0.2107497900724411
norman,0.12319435924291611,0.21643765270709991,0.13529229164123535,0.15827171504497528,0.23459704220294952,1.0000001192092896,-0.10612574219703674,0.08119045943021774,0.07150906324386597,0.12243545055389404
knights,0.17915302515029907,0.20692671835422516,0.22147171199321747,0.2095343917608261,0.26901957392692566,0.2503288984298706,-0.054414764046669006,0.14496175944805145,0.15959997475147247,0.09199640899896622
remained,0.1733817607164383,0.49345076084136963,0.3122726380825043,0.35287612676620483,0.3492392301559448,0.2257506102323532,0.03340933844447136,0.15894977748394012,0.18797211349010468,0.08263323456048965
poor,0.2570318877696991,0.23301246762275696,0.19565436244010925,0.23458099365234375,0.21093174815177917,0.16107286512851715,0.07552039623260498,0.132668137550354,0.21542924642562866,0.12937016785144806
and,0.31309178471565247,0.3740963041782379,0.42438167333602905,0.5116966962814331,0.5171257257461548,0.21611377596855164,0.06895173341035843,0.29795366525650024,0.277469277381897,0.20544172823429108
land-hungry,0.3235437870025635,0.26804518699645996,0.21904143691062927,0.2612990140914917,0.28037309646606445,0.1804332435131073,0.11242233961820602,0.20460987091064453,0.20636866986751556,0.30052098631858826
",",0.3087472915649414,0.45456063747406006,0.3696635365486145,0.4946078956127167,0.4933079481124878,0.20281735062599182,-0.0016132977325469255,0.29355156421661377,0.2839256227016449,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.42438167333602905,0.5116966962814331,0.5171257257461548,0.21611377596855164,0.06895173341035843,0.29795366525650024,0.277469277381897,0.20544172823429108
by,0.2455483376979828,0.4752357602119446,0.29445651173591614,0.3646814823150635,0.4408751428127289,0.20111693441867828,-0.010884488001465797,0.19764594733715057,0.14464028179645538,0.17966607213020325
1066,-0.04025020822882652,-0.020357411354780197,-0.03642567992210388,0.08387073129415512,0.07050292938947678,0.06139236316084862,0.053036898374557495,0.06923875212669373,0.08733192086219788,-0.048521675169467926
normandy,0.2290361374616623,0.22792497277259827,0.18875791132450104,0.23562048375606537,0.30340051651000977,0.6433278918266296,-0.03129563853144646,0.10510556399822235,0.1498718112707138,0.1584552675485611
had,0.23849567770957947,0.5927209258079529,0.3595404326915741,0.37755560874938965,0.3875846862792969,0.23290006816387177,-0.004401352722197771,0.21882961690425873,0.1441345065832138,0.20728366076946259
been,0.2567804455757141,0.518218457698822,0.3407197892665863,0.31685134768486023,0.3563927710056305,0.15426310896873474,-0.10734795778989792,0.20505735278129578,0.2285316288471222,0.24354910850524902
exporting,0.14678195118904114,0.15526878833770752,0.20392414927482605,0.23712995648384094,0.252695232629776,0.09061656892299652,-0.04186585918068886,0.2462826818227768,0.82203608751297,0.17864851653575897
fighting,0.24901722371578217,0.2350539267063141,0.27317574620246887,0.26037532091140747,0.29008734226226807,0.17843301594257355,0.001394858700223267,0.1561598777770996,0.16211453080177307,0.15496447682380676
horsemen,0.17003528773784637,0.22275425493717194,0.2924760580062866,0.19530902802944183,0.2678966224193573,0.20552901923656464,0.04637829214334488,0.1346520036458969,0.14855486154556274,0.10425395518541336
for,0.3017193675041199,0.3863949179649353,0.384836345911026,0.4185989499092102,0.4739971458911896,0.1822807788848877,-0.07241261005401611,0.23592928051948547,0.22753041982650757,0.264628142118454
more,0.3484537899494171,0.21525104343891144,0.42017561197280884,0.30478984117507935,0.39758381247520447,0.12227179110050201,0.032942235469818115,0.193817600607872,0.20104990899562836,0.27894994616508484
than,0.29388150572776794,0.1872616857290268,0.43810948729515076,0.33036211133003235,0.3227543234825134,0.1374482363462448,0.0585811510682106,0.15025296807289124,0.244426891207695,0.24917294085025787
a,0.3320399522781372,0.4508470594882965,0.4910551905632019,0.5052502155303955,0.5829201340675354,0.16633400321006775,0.04866964742541313,0.22990699112415314,0.15400569140911102,0.23916715383529663
generation,0.1869358867406845,0.2064366340637207,0.2955457270145416,0.23948384821414948,0.26573610305786133,0.07971851527690887,-0.09954780340194702,0.1661687195301056,0.2087870091199875,0.18250396847724915
.,0.3567904531955719,0.40146201848983765,0.4123194217681885,0.5352458953857422,0.5934505462646484,0.24800069630146027,-0.003708066651597619,0.3054012954235077,0.2549143433570862,0.4130953550338745
