,on,what,date,was,series,two,first,shown,by,the,cbc,?
cbc,0.22740131616592407,0.2115887850522995,0.1150485947728157,0.216846764087677,0.3228771388530731,0.15267008543014526,0.21519820392131805,0.3084370195865631,0.16857478022575378,0.2067898064851761,0.9999999403953552,0.22130805253982544
began,0.29460400342941284,0.1665823757648468,0.1676202267408371,0.4683617055416107,0.2237756997346878,0.2356717586517334,0.3549816310405731,0.20710508525371552,0.2443893402814865,0.3059147596359253,0.24744850397109985,0.1370266228914261
airing,0.37249085307121277,0.19145789742469788,0.19096842408180237,0.22454959154129028,0.4863269627094269,0.21489813923835754,0.2651696503162384,0.40134453773498535,0.148124098777771,0.26751524209976196,0.46112558245658875,0.20769737660884857
series,0.23828625679016113,0.17328087985515594,0.1100047156214714,0.2261398285627365,1.0000001192092896,0.27629992365837097,0.3264976441860199,0.3483121395111084,0.267352432012558,0.31376904249191284,0.3228771388530731,0.1709602326154709
two,0.3205535411834717,0.23363454639911652,0.15590354800224304,0.27166637778282166,0.27629992365837097,1.0000001192092896,0.3794230818748474,0.25581416487693787,0.33852577209472656,0.43858039379119873,0.15267008543014526,0.19645625352859497
on,0.9999999403953552,0.34226128458976746,0.21806180477142334,0.3909217119216919,0.23828625679016113,0.3205535411834717,0.3120559751987457,0.33996689319610596,0.33887791633605957,0.5107308030128479,0.22740131616592407,0.2714994251728058
9,0.06739495694637299,-0.048040688037872314,0.06257680803537369,0.07464917749166489,0.007671303115785122,0.048241645097732544,0.14117105305194855,0.14081117510795593,0.03968615457415581,0.023652536794543266,0.0952148362994194,-0.026682810857892036
october,0.3742676079273224,0.24927909672260284,0.2298436164855957,0.4627581834793091,0.1431715339422226,0.16536399722099304,0.2989882230758667,0.11509475857019424,0.17728064954280853,0.2621108889579773,0.18476714193820953,0.29706719517707825
2006,-0.04389945790171623,-0.0008085015579126775,-0.06065982207655907,-0.08876620978116989,0.036084845662117004,0.08497541397809982,-0.004530367907136679,0.15235428512096405,0.0743151530623436,0.11294147372245789,-0.05061369389295578,-0.1194092258810997
at,0.4806317389011383,0.2838611304759979,0.24779295921325684,0.36707764863967896,0.1310107558965683,0.32178381085395813,0.3138778805732727,0.27937185764312744,0.2368064820766449,0.457212895154953,0.15184065699577332,0.21978627145290375
20:00,0.2008923441171646,0.14187829196453094,0.048776835203170776,0.20865033566951752,0.14434590935707092,0.07473676651716232,0.20415718853473663,0.10191032290458679,0.23003855347633362,0.1283389925956726,0.006913278717547655,0.05485418811440468
e/p,0.3445669412612915,0.4043779671192169,0.2584804594516754,0.25944751501083374,0.2454231232404709,0.29366010427474976,0.2728789448738098,0.34025272727012634,0.2704193890094757,0.326734334230423,0.3473944664001465,0.41635575890541077
(,0.28656116127967834,0.2411840260028839,0.248662531375885,0.2980341613292694,0.21145714819431305,0.2169162482023239,0.2450505793094635,0.17931321263313293,0.20696312189102173,0.33289089798927307,0.18643862009048462,0.40561532974243164
20:30,-0.014278480783104897,0.04507564753293991,-0.08691266924142838,0.012204544618725777,-0.021333634853363037,0.036181624978780746,-0.0879945382475853,0.016476228833198547,0.05248768627643585,0.07718881219625473,-0.13083559274673462,-0.026044314727187157
in,0.46853652596473694,0.30808621644973755,0.21362407505512238,0.45514053106307983,0.2914260923862457,0.36463531851768494,0.4127444326877594,0.2988935708999634,0.370934396982193,0.6662389636039734,0.10762260854244232,0.20430970191955566
newfoundland,0.19787855446338654,0.19349335134029388,0.16452176868915558,0.25614580512046814,0.14621995389461517,0.19084753096103668,0.22066526114940643,0.14313814043998718,0.2128925323486328,0.2759992182254791,0.29408252239227295,0.12898945808410645
and,0.4077630043029785,0.31309178471565247,0.21585220098495483,0.3740963041782379,0.26972857117652893,0.4671151638031006,0.3167642652988434,0.28805026412010193,0.4289871156215668,0.5171257257461548,0.13670051097869873,0.20544172823429108
