,what,was,abu,hamaz,al-masri,charged,with,when,he,was,arrested,?
following,0.2506418824195862,0.16493390500545502,0.13185076415538788,0.12353058159351349,0.1664491593837738,0.08641190826892853,0.30096235871315,0.3263498842716217,0.1977444440126419,0.16493390500545502,0.17215734720230103,0.1555173695087433
the,0.42745697498321533,0.48711544275283813,0.18975532054901123,0.19078928232192993,0.2711332440376282,0.2047804892063141,0.4223487675189972,0.5091903209686279,0.4571082592010498,0.48711544275283813,0.18817131221294403,0.22068053483963013
9/11,0.0893675833940506,0.0001057071058312431,0.06277159601449966,0.11449802666902542,0.1201167106628418,-0.08053901791572571,-0.02173873968422413,0.001056746463291347,-0.009587614797055721,0.0001057071058312431,-0.012835361063480377,0.06211625784635544
attacks,0.19946885108947754,0.19397582113742828,0.1342015266418457,0.18076737225055695,0.2613639235496521,0.19965724647045135,0.23502978682518005,0.27656251192092896,0.22715699672698975,0.19397582113742828,0.2717336118221283,0.14532065391540527
",",0.3087472915649414,0.45456063747406006,0.18195876479148865,0.2869681417942047,0.3171159327030182,0.21726356446743011,0.4120737314224243,0.36674630641937256,0.40251094102859497,0.45456063747406006,0.274812251329422,0.31091248989105225
however,0.4480680823326111,0.37327632308006287,0.17857855558395386,0.19980353116989136,0.2421875149011612,0.2616457939147949,0.44603243470191956,0.5574322938919067,0.3323216438293457,0.37327632308006287,0.21913431584835052,0.2152075469493866
",",0.3087472915649414,0.45456063747406006,0.18195876479148865,0.2869681417942047,0.3171159327030182,0.21726356446743011,0.4120737314224243,0.36674630641937256,0.40251094102859497,0.45456063747406006,0.274812251329422,0.31091248989105225
abu,0.14593538641929626,0.20178453624248505,1.0000001192092896,0.4245293438434601,0.4997480809688568,0.13619990646839142,0.12490478903055191,0.11771813780069351,0.1625722497701645,0.20178453624248505,0.23147358000278473,0.19101615250110626
hamza,0.15909643471240997,0.24177445471286774,0.5345191359519958,0.6869887113571167,0.59812992811203,0.08714836835861206,0.1256972998380661,0.11683991551399231,0.28218528628349304,0.24177445471286774,0.24273717403411865,0.23005178570747375
al-masri,0.20955021679401398,0.3112232983112335,0.4997480809688568,0.48487603664398193,1.0,0.1429029405117035,0.18746724724769592,0.1864318549633026,0.3238081932067871,0.3112232983112335,0.2583359181880951,0.20054195821285248
