,what,part,of,the,teaching,council,act,requires,registration,?
teachers,0.2526462972164154,0.1705612689256668,0.27737662196159363,0.22025763988494873,0.6562570333480835,0.217071071267128,0.18836207687854767,0.17777793109416962,0.2424958348274231,0.19522249698638916
are,0.29724663496017456,0.3086032569408417,0.39081433415412903,0.40399202704429626,0.23373855650424957,0.1583584100008011,0.22266654670238495,0.32677358388900757,0.20620733499526978,0.24591213464736938
required,0.2506856620311737,0.22498087584972382,0.26183071732521057,0.27848219871520996,0.18910564482212067,0.1782836765050888,0.2910161018371582,0.776898205280304,0.4012291431427002,0.24962718784809113
to,0.455847829580307,0.2875264883041382,0.41548454761505127,0.535392165184021,0.2762126624584198,0.23829470574855804,0.24833928048610687,0.2967781126499176,0.2763814330101013,0.29463258385658264
be,0.3929833769798279,0.24258971214294434,0.33904364705085754,0.4248143136501312,0.2096574753522873,0.1781650185585022,0.29223379492759705,0.34043407440185547,0.25392019748687744,0.3324260413646698
registered,0.18316222727298737,0.18298162519931793,0.17804858088493347,0.23383188247680664,0.18114711344242096,0.18228405714035034,0.23692305386066437,0.22267182171344757,0.6319898366928101,0.24155336618423462
with,0.2464839518070221,0.294111043214798,0.41827285289764404,0.4223487675189972,0.17801906168460846,0.10649243742227554,0.18591532111167908,0.29640448093414307,0.15833453834056854,0.2433311939239502
the,0.42745697498321533,0.527681291103363,0.733189046382904,1.0,0.2182690054178238,0.2829204201698303,0.28682878613471985,0.2693159878253937,0.2935751974582672,0.22068053483963013
teaching,0.27416905760765076,0.1866762638092041,0.2911611497402191,0.2182690054178238,1.0000001192092896,0.22161731123924255,0.19314156472682953,0.24756506085395813,0.23356154561042786,0.20424684882164001
council,0.16933071613311768,0.22673627734184265,0.2972237169742584,0.2829204201698303,0.22161731123924255,1.0,0.21388602256774902,0.15706565976142883,0.24433425068855286,0.1160062924027443
;,0.10986888408660889,0.17379768192768097,0.054534342139959335,0.09152708947658539,-0.03019263967871666,0.0617411732673645,0.10006994754076004,0.09807570278644562,-0.05252878740429878,0.10349778085947037
under,0.20154598355293274,0.21344450116157532,0.32766106724739075,0.3348022699356079,0.11727077513933182,0.1507444679737091,0.20642785727977753,0.24782824516296387,0.24127236008644104,0.18233340978622437
section,0.28602200746536255,0.312581866979599,0.21215301752090454,0.3365345895290375,0.10593091696500778,0.14237643778324127,0.2602912187576294,0.24549570679664612,0.2697710394859314,0.2733710706233978
30,-0.04443084076046944,0.0497199110686779,0.003304550424218178,0.0730796679854393,0.0399063304066658,0.0437394380569458,0.03475309908390045,-0.06603030115365982,0.03579622507095337,-0.08261742442846298
of,0.33290785551071167,0.452393114566803,1.0,0.733189046382904,0.2911611497402191,0.2972237169742584,0.2802577316761017,0.29617026448249817,0.23914486169815063,0.1826142966747284
the,0.42745697498321533,0.527681291103363,0.733189046382904,1.0,0.2182690054178238,0.2829204201698303,0.28682878613471985,0.2693159878253937,0.2935751974582672,0.22068053483963013
teaching,0.27416905760765076,0.1866762638092041,0.2911611497402191,0.2182690054178238,1.0000001192092896,0.22161731123924255,0.19314156472682953,0.24756506085395813,0.23356154561042786,0.20424684882164001
