,which,theory,of,einstein,'s,did,tesla,speak,critically,toward,?
:247,-0.10898344963788986,-0.12017025053501129,0.07474485039710999,0.002695458708330989,0.026493029668927193,-0.014929866418242455,0.0212144386023283,0.0004239085828885436,-0.03422407805919647,-0.13042142987251282,-0.0552370660007
he,0.3415409028530121,0.20341786742210388,0.38706058263778687,0.22053642570972443,0.024063590914011,0.3292143940925598,0.12373391538858414,0.2733922302722931,0.2099119871854782,0.20798923075199127,0.2089974731206894
was,0.2830964922904968,0.18278326094150543,0.4069072902202606,0.22364866733551025,0.008974763564765453,0.41399896144866943,0.16455206274986267,0.16471432149410248,0.3421337902545929,0.13196846842765808,0.18412111699581146
also,0.6566565632820129,0.27736079692840576,0.4924938678741455,0.23308496177196503,-0.0014726108638569713,0.39334940910339355,0.16213464736938477,0.2880311906337738,0.2937987446784973,0.2256629467010498,0.21848613023757935
critical,0.2824302613735199,0.3159821629524231,0.2872886061668396,0.18644386529922485,-0.041051238775253296,0.26059970259666443,0.1498425453901291,0.10593566298484802,0.7147789597511292,0.20191599428653717,0.2388133704662323
of,0.5011631846427917,0.23506702482700348,1.0,0.2119363248348236,-0.03817026689648628,0.2513895630836487,0.18837453424930573,0.2317851483821869,0.18378664553165436,0.25209522247314453,0.1826142966747284
einstein,0.22604550421237946,0.448373407125473,0.2119363248348236,1.0000001192092896,-0.05429532006382942,0.2035452127456665,0.33957377076148987,0.1743278056383133,0.1064237579703331,0.15378709137439728,0.2118137627840042
's,0.03856118768453598,-0.0025054612196981907,-0.03817026689648628,-0.05429532006382942,0.9999999403953552,0.05069678649306297,0.06449045985937119,0.06387770920991898,-0.028768321499228477,-0.009258270263671875,-0.023395681753754616
theory,0.3127335011959076,0.9999999403953552,0.23506702482700348,0.448373407125473,-0.0025054612196981907,0.20347590744495392,0.25004854798316956,0.13987261056900024,0.16263863444328308,0.23211714625358582,0.1387292891740799
of,0.5011631846427917,0.23506702482700348,1.0,0.2119363248348236,-0.03817026689648628,0.2513895630836487,0.18837453424930573,0.2317851483821869,0.18378664553165436,0.25209522247314453,0.1826142966747284
relativity,0.323112428188324,0.5565682053565979,0.22042350471019745,0.6180851459503174,-0.053421780467033386,0.23895786702632904,0.3734626770019531,0.14994056522846222,0.12945406138896942,0.2224675416946411,0.26250147819519043
",",0.3658004403114319,0.18095813691616058,0.4946078956127167,0.21419957280158997,-0.0016132977325469255,0.3015086054801941,0.20599327981472015,0.2902714014053345,0.22159625589847565,0.22729860246181488,0.31091248989105225
saying,0.3623576760292053,0.2057853490114212,0.2578328251838684,0.25553134083747864,0.04965807870030403,0.4131317138671875,0.14285065233707428,0.29146599769592285,0.30131471157073975,0.24184690415859222,0.36382168531417847
:,-0.11049769818782806,-0.05145213007926941,-0.08807745575904846,-0.03933260589838028,0.07621461898088455,-0.05305134505033493,0.0028187385760247707,0.0019923828076571226,-0.050302885472774506,-0.07424653321504593,-0.07156077772378922
