,which,branch,of,the,eu,has,had,the,most,influence,on,the,development,of,eu,law,?
the,0.6521818041801453,0.2630956768989563,0.733189046382904,1.0,0.14126400649547577,0.4177538752555847,0.3875846862792969,1.0,0.47635307908058167,0.3039984107017517,0.5107308030128479,1.0,0.3362044394016266,0.733189046382904,0.14126400649547577,0.24548950791358948,0.22068053483963013
judicial,0.23113827407360077,0.33991870284080505,0.2965162694454193,0.27282875776290894,0.21058975160121918,0.14285066723823547,0.1283438503742218,0.27282875776290894,0.16684287786483765,0.2418156862258911,0.20648770034313202,0.27282875776290894,0.27412986755371094,0.2965162694454193,0.21058975160121918,0.43910738825798035,0.1770997941493988
branch,0.22636312246322632,1.0,0.23972897231578827,0.2630956768989563,0.1294633448123932,0.13503094017505646,0.12754112482070923,0.2630956768989563,0.1960706263780594,0.15851102769374847,0.15029071271419525,0.2630956768989563,0.23434492945671082,0.23972897231578827,0.1294633448123932,0.21223905682563782,0.10474635660648346
of,0.5011631846427917,0.23972897231578827,1.0,0.733189046382904,0.1579294353723526,0.3909035325050354,0.37755560874938965,0.733189046382904,0.4178851246833801,0.3608979284763336,0.3966929316520691,0.733189046382904,0.28700894117355347,1.0,0.1579294353723526,0.2816956341266632,0.1826142966747284
the,0.6521818041801453,0.2630956768989563,0.733189046382904,1.0,0.14126400649547577,0.4177538752555847,0.3875846862792969,1.0,0.47635307908058167,0.3039984107017517,0.5107308030128479,1.0,0.3362044394016266,0.733189046382904,0.14126400649547577,0.24548950791358948,0.22068053483963013
eu,0.15620915591716766,0.1294633448123932,0.1579294353723526,0.14126400649547577,0.9999998807907104,0.13703566789627075,0.08442533016204834,0.14126400649547577,0.11768315732479095,0.1234910786151886,0.18063917756080627,0.14126400649547577,0.176733136177063,0.1579294353723526,0.9999998807907104,0.20359504222869873,0.21586786210536957
has,0.4350704550743103,0.13503094017505646,0.3909035325050354,0.4177538752555847,0.13703566789627075,1.0,0.5787927508354187,0.4177538752555847,0.3426419198513031,0.21886256337165833,0.34604379534721375,0.4177538752555847,0.26726067066192627,0.3909035325050354,0.13703566789627075,0.15925909578800201,0.15994466841220856
played,0.17687860131263733,0.10761702805757523,0.21120788156986237,0.2603478729724884,0.043606001883745193,0.28873568773269653,0.2842930257320404,0.2603478729724884,0.20543669164180756,0.20242512226104736,0.19030924141407013,0.2603478729724884,0.14197582006454468,0.21120788156986237,0.043606001883745193,0.12856265902519226,0.14096300303936005
an,0.3611921966075897,0.14347505569458008,0.32280945777893066,0.4207492768764496,0.10770508646965027,0.2991473078727722,0.22327841818332672,0.4207492768764496,0.2748267352581024,0.17206066846847534,0.3192969560623169,0.4207492768764496,0.199787899851799,0.32280945777893066,0.10770508646965027,0.17270056903362274,0.19793890416622162
important,0.37798872590065,0.2873744070529938,0.43301743268966675,0.39348116517066956,0.08478491753339767,0.2858242392539978,0.21008498966693878,0.39348116517066956,0.5079463124275208,0.37679898738861084,0.23164092004299164,0.39348116517066956,0.28208521008491516,0.43301743268966675,0.08478491753339767,0.13215887546539307,0.17812499403953552
