,who,was,rewarded,with,building,the,csm,?
north,0.11026738584041595,0.29020047187805176,0.11008895933628082,0.185934916138649,0.20425012707710266,0.36298373341560364,0.1296147108078003,0.11829731613397598
american,0.3093835413455963,0.31632548570632935,0.15185855329036713,0.20245933532714844,0.06657598912715912,0.24562937021255493,0.19526797533035278,0.18877598643302917
aviation,0.09883026033639908,0.18023724853992462,0.13704927265644073,0.12803377211093903,0.18197479844093323,0.2703816592693329,0.3583998382091522,0.1517462134361267
won,0.24654650688171387,0.35383549332618713,0.32791265845298767,0.24544957280158997,0.0871114581823349,0.29432493448257446,0.05385824665427208,0.17925700545310974
the,0.3733934462070465,0.48711544275283813,0.25468435883522034,0.4223487675189972,0.3159640431404114,1.0,0.15609420835971832,0.22068053483963013
contract,0.20966969430446625,0.23490020632743835,0.25334054231643677,0.2929249107837677,0.18959537148475647,0.23003633320331573,0.1774596869945526,0.12573233246803284
to,0.42656609416007996,0.3636345863342285,0.2792680859565735,0.4239959120750427,0.2658686637878418,0.535392165184021,0.11701257526874542,0.29463258385658264
build,0.1959037184715271,0.20898228883743286,0.2389189600944519,0.25872841477394104,0.5836763381958008,0.2602573335170746,0.10392733663320541,0.1704305112361908
the,0.3733934462070465,0.48711544275283813,0.25468435883522034,0.4223487675189972,0.3159640431404114,1.0,0.15609420835971832,0.22068053483963013
csm,0.07366051524877548,0.15221786499023438,0.002166627673432231,0.12583579123020172,0.1399947553873062,0.15609420835971832,0.9999998807907104,0.19925744831562042
",",0.3365725874900818,0.45456063747406006,0.2375245839357376,0.4120737314224243,0.2374238669872284,0.4933079481124878,0.20636554062366486,0.31091248989105225
and,0.41279885172843933,0.3740963041782379,0.2048105150461197,0.5477725267410278,0.2593274712562561,0.5171257257461548,0.15724779665470123,0.20544172823429108
also,0.47919341921806335,0.4032125174999237,0.22829414904117584,0.44397303462028503,0.21555371582508087,0.6021018624305725,0.13028749823570251,0.21848613023757935
the,0.3733934462070465,0.48711544275283813,0.25468435883522034,0.4223487675189972,0.3159640431404114,1.0,0.15609420835971832,0.22068053483963013
second,0.21920166909694672,0.3858029544353485,0.19037482142448425,0.272382527589798,0.14338581264019012,0.4620301127433777,0.17501580715179443,0.17239587008953094
stage,0.1983679085969925,0.2081151008605957,0.09138914197683334,0.1076672300696373,0.15646995604038239,0.22652170062065125,0.18900631368160248,0.14916576445102692
of,0.2827862501144409,0.4069072902202606,0.26320651173591614,0.41827285289764404,0.26200541853904724,0.733189046382904,0.15882812440395355,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,0.25468435883522034,0.4223487675189972,0.3159640431404114,1.0,0.15609420835971832,0.22068053483963013
saturn,0.145697683095932,0.24932558834552765,0.09797796607017517,0.15670639276504517,0.07397700101137161,0.24189656972885132,0.33487534523010254,0.1619711071252823
v,0.06742344051599503,0.16128918528556824,0.04512960463762283,0.14314915239810944,0.14624911546707153,0.18580520153045654,0.26196232438087463,0.28677162528038025
launch,0.09666242450475693,0.22367219626903534,0.19668243825435638,0.18849989771842957,0.2417440563440323,0.2628649175167084,0.3482094705104828,0.22009649872779846
vehicle,0.17691867053508759,0.18102683126926422,0.1305074244737625,0.17135851085186005,0.24445945024490356,0.20434843003749847,0.3703360855579376,0.16397647559642792
for,0.37110671401023865,0.3863949179649353,0.3018958866596222,0.39140474796295166,0.2644540071487427,0.4739971458911896,0.235806405544281,0.264628142118454
nasa,0.1536933034658432,0.19417528808116913,0.10754638910293579,0.12890534102916718,0.21068301796913147,0.19786997139453888,0.4124281108379364,0.1809994876384735
.,0.3541337847709656,0.40146201848983765,0.23058851063251495,0.4446153938770294,0.275610089302063,0.5934505462646484,0.23357412219047546,0.4130953550338745
