,what,did,iqbal,fear,would,weaken,the,spiritual,foundations,of,islam,and,muslim,society,?
iqbal,0.26565322279930115,0.2316603809595108,1.0000001192092896,0.15126562118530273,0.16778628528118134,0.10726527869701385,0.1828971952199936,0.39456459879875183,0.22997313737869263,0.17434294521808624,0.4368200898170471,0.26650312542915344,0.4648188054561615,0.16244101524353027,0.18507060408592224
expressed,0.20227427780628204,0.17606444656848907,0.15380631387233734,0.25662678480148315,0.30341774225234985,0.15312457084655762,0.25207287073135376,0.26140913367271423,0.1121925339102745,0.2687252461910248,0.21896624565124512,0.24103379249572754,0.23759697377681732,0.1660982370376587,0.17175263166427612
fears,0.2908751368522644,0.2878609895706177,0.16891317069530487,0.7241788506507874,0.34951692819595337,0.2862345278263092,0.2742179036140442,0.33515506982803345,0.15781797468662262,0.28485965728759766,0.23821425437927246,0.32989200949668884,0.2521377503871918,0.15845255553722382,0.18915265798568726
that,0.6297725439071655,0.47518548369407654,0.17375388741493225,0.3352656662464142,0.5895259380340576,0.2714628279209137,0.5473989248275757,0.2560626268386841,0.26003509759902954,0.41498205065727234,0.22824111580848694,0.4731321930885315,0.24297045171260834,0.23252169787883759,0.32716336846351624
not,0.5449194312095642,0.6481515765190125,0.17318782210350037,0.27942773699760437,0.5854519605636597,0.30614152550697327,0.4310511648654938,0.22991012036800385,0.17999106645584106,0.3307090103626251,0.2667055130004883,0.39099299907684326,0.24381160736083984,0.17279937863349915,0.41942933201789856
only,0.41415658593177795,0.4039593040943146,0.09887901693582535,0.23765546083450317,0.4579673111438751,0.21340245008468628,0.5497692227363586,0.13921909034252167,0.1720067262649536,0.49632513523101807,0.21712897717952728,0.4542345404624939,0.2344035506248474,0.2124868929386139,0.2767370045185089
would,0.45766422152519226,0.6268245577812195,0.16778628528118134,0.281614750623703,1.0000001192092896,0.2839360535144806,0.4133751392364502,0.21221786737442017,0.22637520730495453,0.3353942930698395,0.16905544698238373,0.34921059012413025,0.22541315853595734,0.16268430650234222,0.37178951501846313
secularism,0.268210232257843,0.24544702470302582,0.32680636644363403,0.2885357737541199,0.15915879607200623,0.2512507438659668,0.1979077011346817,0.46383628249168396,0.35207268595695496,0.2709844708442688,0.46542900800704956,0.22261887788772583,0.41515979170799255,0.31433236598968506,0.17426349222660065
and,0.31309178471565247,0.34479495882987976,0.26650312542915344,0.2854035496711731,0.34921059012413025,0.29098576307296753,0.5171257257461548,0.2498117983341217,0.24498789012432098,0.5116966962814331,0.25070106983184814,1.0,0.255716472864151,0.24110737442970276,0.20544172823429108
secular,0.26444122195243835,0.23305241763591766,0.35912689566612244,0.1639300435781479,0.1962616741657257,0.19054333865642548,0.24261851608753204,0.43193185329437256,0.312894731760025,0.28420427441596985,0.3986283242702484,0.24889163672924042,0.45201414823532104,0.2737308144569397,0.13290788233280182
