,for,what,railroad,did,stephenson,build,a,locomotive,in,1825,?
in,0.4322226941585541,0.30808621644973755,0.20349381864070892,0.2593238651752472,0.2820712625980377,0.26063278317451477,0.539380669593811,0.19649046659469604,1.0,0.20791828632354736,0.20430970191955566
1825,0.16693878173828125,0.17693786323070526,0.20225152373313904,0.2491384893655777,0.24844852089881897,0.19140754640102386,0.14131079614162445,0.23680666089057922,0.20791828632354736,1.0,0.17892885208129883
george,0.18388281762599945,0.22000353038311005,0.1733372062444687,0.238631471991539,0.33154505491256714,0.09557902067899704,0.19503153860569,0.2098781168460846,0.18167929351329803,0.1783021241426468,0.1479024887084961
stephenson,0.19155120849609375,0.23027537763118744,0.33389991521835327,0.14654384553432465,0.9999998807907104,0.18456369638442993,0.27750062942504883,0.30031314492225647,0.2820712625980377,0.24844852089881897,0.14790663123130798
built,0.19757427275180817,0.1554843783378601,0.32864516973495483,0.2079687863588333,0.2592582404613495,0.5833544731140137,0.23064446449279785,0.34810733795166016,0.25829681754112244,0.26417121291160583,0.09449632465839386
the,0.4739971458911896,0.42745697498321533,0.2709158957004547,0.34736719727516174,0.23680150508880615,0.2602573335170746,0.5829201340675354,0.22304096817970276,0.6662389636039734,0.183273583650589,0.22068053483963013
locomotion,0.22928257286548615,0.15539827942848206,0.32748258113861084,0.06766446679830551,0.24544364213943481,0.20837616920471191,0.21509739756584167,0.8413425087928772,0.16244952380657196,0.15469053387641907,0.15499655902385712
for,0.9999999403953552,0.3017193675041199,0.15076477825641632,0.318512886762619,0.19155120849609375,0.24264922738075256,0.44038116931915283,0.21255847811698914,0.4322226941585541,0.16693878173828125,0.264628142118454
the,0.4739971458911896,0.42745697498321533,0.2709158957004547,0.34736719727516174,0.23680150508880615,0.2602573335170746,0.5829201340675354,0.22304096817970276,0.6662389636039734,0.183273583650589,0.22068053483963013
stockton,0.1819515973329544,0.17755872011184692,0.3339252769947052,0.1876670867204666,0.49816715717315674,0.16525577008724213,0.24461884796619415,0.25886157155036926,0.28666186332702637,0.22912652790546417,0.1488894522190094
and,0.5064792633056641,0.31309178471565247,0.20893311500549316,0.34479495882987976,0.26722559332847595,0.27539998292922974,0.3739250600337982,0.19402746856212616,0.4954058527946472,0.22898615896701813,0.20544172823429108
darlington,0.21376517415046692,0.1646641194820404,0.26437994837760925,0.19709588587284088,0.394438236951828,0.14962205290794373,0.22906333208084106,0.24753528833389282,0.25412067770957947,0.232398122549057,0.1837279349565506
railway,0.16928666830062866,0.16704553365707397,0.6148050427436829,0.13646093010902405,0.2811104357242584,0.26022714376449585,0.23760579526424408,0.562675416469574,0.2326211929321289,0.21601566672325134,0.07994066178798676
.,0.4726039469242096,0.3567904531955719,0.22421196103096008,0.35288307070732117,0.2973974645137787,0.275961309671402,0.50484299659729,0.23093467950820923,0.5591574311256409,0.2078763097524643,0.4130953550338745
