,according,to,reduction,",",if,x,and,y,can,be,solved,by,the,same,algorithm,then,x,performs,what,function,in,relationship,to,y,?
for,0.1956551969051361,0.4451248347759247,0.2523634135723114,0.4464869201183319,0.3609124422073364,0.18337465822696686,0.5064792633056641,0.13851650059223175,0.35690054297447205,0.3801851272583008,0.18016043305397034,0.3248702883720398,0.4739971458911896,0.31941699981689453,0.22014065086841583,0.3392637073993683,0.18337465822696686,0.27192601561546326,0.3017193675041199,0.22728246450424194,0.4322226941585541,0.1835637241601944,0.4451248347759247,0.13851650059223175,0.264628142118454
instance,0.20297206938266754,0.3533851206302643,0.32252973318099976,0.3124626874923706,0.478522926568985,0.24193406105041504,0.34175774455070496,0.17879872024059296,0.46404144167900085,0.43630778789520264,0.30417802929878235,0.2297389805316925,0.3539782464504242,0.34104618430137634,0.2819921672344208,0.339373916387558,0.24193406105041504,0.18878455460071564,0.3862040638923645,0.326452374458313,0.23631897568702698,0.2644459307193756,0.3533851206302643,0.17879872024059296,0.30205854773521423
",",0.3107093870639801,0.44245919585227966,0.20516319572925568,1.0000001192092896,0.257730096578598,0.2696380019187927,0.6633074283599854,0.22943292558193207,0.3139454126358032,0.39254459738731384,0.25483599305152893,0.3680937886238098,0.4933079481124878,0.3207721710205078,0.19359813630580902,0.36768391728401184,0.2696380019187927,0.25913795828819275,0.3087472915649414,0.18487244844436646,0.5201468467712402,0.23936419188976288,0.44245919585227966,0.22943292558193207,0.31091248989105225
if,0.15097758173942566,0.4559597074985504,0.23576049506664276,0.257730096578598,1.0,0.2319261133670807,0.3498523235321045,0.21151725947856903,0.5903681516647339,0.5628611445426941,0.2864813804626465,0.2429230511188507,0.33724796772003174,0.37259185314178467,0.32577699422836304,0.5936081409454346,0.2319261133670807,0.17269296944141388,0.5277165174484253,0.4055565595626831,0.2589588761329651,0.20794260501861572,0.4559597074985504,0.21151725947856903,0.4441644251346588
a,0.239227756857872,0.45503583550453186,0.2845925986766815,0.427140474319458,0.41272827982902527,0.21952441334724426,0.3739250600337982,0.1800517588853836,0.3915780484676361,0.39883795380592346,0.18525584042072296,0.32094135880470276,0.5829201340675354,0.4048157036304474,0.20294487476348877,0.3970017731189728,0.21952441334724426,0.28983139991760254,0.3320399522781372,0.20934805274009705,0.539380669593811,0.25691166520118713,0.45503583550453186,0.1800517588853836,0.23916715383529663
problem,0.18892109394073486,0.2502208352088928,0.3494492769241333,0.23938199877738953,0.43518564105033875,0.17171038687229156,0.24328261613845825,0.1415937840938568,0.36370179057121277,0.347878634929657,0.5690774321556091,0.2011435180902481,0.24928659200668335,0.2894531488418579,0.39858657121658325,0.27799543738365173,0.17171038687229156,0.16140365600585938,0.42183366417884827,0.33479827642440796,0.16969570517539978,0.29996374249458313,0.2502208352088928,0.1415937840938568,0.3762950301170349
x,0.06935568898916245,0.21431612968444824,0.20341621339321136,0.2696380019187927,0.2319261133670807,0.9999999403953552,0.21577593684196472,0.4701380729675293,0.22120405733585358,0.22865693271160126,0.20542564988136292,0.14551936089992523,0.20980626344680786,0.21453455090522766,0.21643932163715363,0.25714871287345886,0.9999999403953552,0.15185071527957916,0.13783220946788788,0.2780509889125824,0.16749148070812225,0.1368633210659027,0.21431612968444824,0.4701380729675293,0.23304535448551178
can,0.1606743335723877,0.4979398250579834,0.30914753675460815,0.3139454126358032,0.5903681516647339,0.22120405733585358,0.3675691485404968,0.15719540417194366,1.0,0.5791122913360596,0.21544745564460754,0.29642900824546814,0.312528520822525,0.3393253982067108,0.29358604550361633,0.3455607295036316,0.22120405733585358,0.19077174365520477,0.34502777457237244,0.2664915919303894,0.26527702808380127,0.1539314240217209,0.4979398250579834,0.15719540417194366,0.3226337134838104
be,0.2703677713871002,0.4972836375236511,0.288789838552475,0.39254459738731384,0.5628611445426941,0.22865693271160126,0.41766801476478577,0.1817682832479477,0.5791122913360596,1.0,0.26658907532691956,0.43158695101737976,0.4248143136501312,0.3600577712059021,0.2830074727535248,0.38089728355407715,0.22865693271160126,0.18688207864761353,0.3929833769798279,0.23198768496513367,0.3481820821762085,0.22063963115215302,0.4972836375236511,0.1817682832479477,0.3324260413646698
solved,0.11737973242998123,0.1576203852891922,0.20467907190322876,0.25483599305152893,0.2864813804626465,0.20542564988136292,0.20209883153438568,0.19524481892585754,0.21544745564460754,0.26658907532691956,1.0,0.2421535849571228,0.21140827238559723,0.2863439619541168,0.36193591356277466,0.2700934410095215,0.20542564988136292,0.12166813015937805,0.247396320104599,0.3368438482284546,0.17707815766334534,0.30540159344673157,0.1576203852891922,0.19524481892585754,0.2692696750164032
