,most,of,the,objects,in,the,japanese,art,collection,is,dated,to,which,time,period,?
the,0.47635307908058167,0.733189046382904,1.0,0.24716724455356598,0.6662389636039734,1.0,0.21599429845809937,0.20297785103321075,0.25281965732574463,0.5823672413825989,0.2046709507703781,0.535392165184021,0.6521818041801453,0.43061500787734985,0.3125074505805969,0.22068053483963013
majority,0.3424006998538971,0.29706597328186035,0.28757327795028687,0.1428688019514084,0.2563854157924652,0.28757327795028687,0.0820767730474472,0.06997019797563553,0.14975570142269135,0.19749082624912262,0.10157327353954315,0.26316750049591064,0.2740524113178253,0.2282264679670334,0.14603681862354279,0.220119908452034
of,0.4178851246833801,1.0,0.733189046382904,0.23814009130001068,0.5696388483047485,0.733189046382904,0.2048201858997345,0.22648051381111145,0.2915455996990204,0.4854315221309662,0.210488960146904,0.41548454761505127,0.5011631846427917,0.35127586126327515,0.2698146104812622,0.1826142966747284
exhibits,0.22007253766059875,0.261615514755249,0.25230294466018677,0.353951096534729,0.24423272907733917,0.25230294466018677,0.1478070467710495,0.5035216212272644,0.3991338610649109,0.21850882470607758,0.118803471326828,0.17805634438991547,0.31910210847854614,0.14606966078281403,0.24889729917049408,0.10692782700061798
date,0.1141492947936058,0.19568462669849396,0.25333094596862793,0.11577914655208588,0.21362407505512238,0.25333094596862793,0.15097743272781372,0.16054406762123108,0.167538121342659,0.1887049674987793,0.5506651997566223,0.2530132532119751,0.198163703083992,0.30058029294013977,0.2626396715641022,0.2698357403278351
from,0.28580769896507263,0.4249346852302551,0.40150508284568787,0.22604778409004211,0.4274188280105591,0.40150508284568787,0.19824975728988647,0.2182932198047638,0.2754948139190674,0.27355384826660156,0.22167015075683594,0.4069952368736267,0.38755592703819275,0.2964353561401367,0.2558770775794983,0.19969791173934937
1550,0.10183645039796829,0.0005279211909510195,0.010021181777119637,0.1850697547197342,-0.022512810304760933,0.010021181777119637,-0.03273787721991539,-0.05401374772191048,-0.024873994290828705,0.0823095440864563,0.008412969298660755,0.05475794896483421,0.2093403935432434,0.0422552190721035,0.07142485678195953,-0.029320459812879562
to,0.321603000164032,0.41548454761505127,0.535392165184021,0.2695634961128235,0.45010748505592346,0.535392165184021,0.1551903486251831,0.22068513929843903,0.15417452156543732,0.42745086550712585,0.20172762870788574,1.0,0.5345056653022766,0.3679993152618408,0.24346192181110382,0.29463258385658264
1900,0.20149727165699005,0.0774914026260376,0.12699992954730988,0.10586654394865036,0.11635804176330566,0.12699992954730988,0.1940544992685318,0.10446526855230331,0.12581230700016022,0.16089509427547455,-0.08300253003835678,0.08356629312038422,0.18227529525756836,0.1372574269771576,0.03664332628250122,0.12663045525550842
",",0.3636029064655304,0.4946078956127167,0.4933079481124878,0.21213118731975555,0.5201468467712402,0.4933079481124878,0.18483802676200867,0.2700960636138916,0.2277175933122635,0.4691906273365021,0.2621086835861206,0.44245919585227966,0.3658004403114319,0.3029961884021759,0.25030651688575745,0.31091248989105225
but,0.45211657881736755,0.39942997694015503,0.4859698414802551,0.27292606234550476,0.48674455285072327,0.4859698414802551,0.1510426104068756,0.19559556245803833,0.16700702905654907,0.4106791317462921,0.167549729347229,0.5542377829551697,0.55336993932724,0.4371204376220703,0.24058657884597778,0.27921953797340393
one,0.5404669642448425,0.4999135136604309,0.5514441132545471,0.28688210248947144,0.4129433035850525,0.5514441132545471,0.2061820924282074,0.17770402133464813,0.29259923100471497,0.4544198513031006,0.17455975711345673,0.4025384783744812,0.510688066482544,0.4878559708595276,0.27993202209472656,0.2673267424106598
of,0.4178851246833801,1.0,0.733189046382904,0.23814009130001068,0.5696388483047485,0.733189046382904,0.2048201858997345,0.22648051381111145,0.2915455996990204,0.4854315221309662,0.210488960146904,0.41548454761505127,0.5011631846427917,0.35127586126327515,0.2698146104812622,0.1826142966747284
the,0.47635307908058167,0.733189046382904,1.0,0.24716724455356598,0.6662389636039734,1.0,0.21599429845809937,0.20297785103321075,0.25281965732574463,0.5823672413825989,0.2046709507703781,0.535392165184021,0.6521818041801453,0.43061500787734985,0.3125074505805969,0.22068053483963013
oldest,0.32232481241226196,0.33351290225982666,0.30836519598960876,0.10428913682699203,0.33251360058784485,0.30836519598960876,0.18857941031455994,0.1381353735923767,0.22153741121292114,0.3135911226272583,0.3514329493045807,0.16884976625442505,0.19479234516620636,0.16301970183849335,0.13734476268291473,0.14864160120487213
pieces,0.24152642488479614,0.2685854732990265,0.2676405906677246,0.40341925621032715,0.19380393624305725,0.2676405906677246,0.1956297755241394,0.234808549284935,0.3161017894744873,0.24471963942050934,0.14419229328632355,0.24752360582351685,0.3588203191757202,0.22787638008594513,0.1920691877603531,0.12758022546768188
displayed,0.18654483556747437,0.22871877253055573,0.2887660264968872,0.2659178674221039,0.22596381604671478,0.2887660264968872,0.07704617828130722,0.2466290146112442,0.23547086119651794,0.1811804473400116,0.23530320823192596,0.19166001677513123,0.2786124646663666,0.22346468269824982,0.16843754053115845,0.20322057604789734
is,0.41165053844451904,0.4854315221309662,0.5823672413825989,0.23756065964698792,0.5394441485404968,0.5823672413825989,0.20400524139404297,0.17386884987354279,0.21135231852531433,1.0,0.13580690324306488,0.42745086550712585,0.4457404911518097,0.25187405943870544,0.1838376820087433,0.22961433231830597
the,0.47635307908058167,0.733189046382904,1.0,0.24716724455356598,0.6662389636039734,1.0,0.21599429845809937,0.20297785103321075,0.25281965732574463,0.5823672413825989,0.2046709507703781,0.535392165184021,0.6521818041801453,0.43061500787734985,0.3125074505805969,0.22068053483963013
13th-century,0.3343181014060974,0.26545727252960205,0.32099464535713196,0.19538474082946777,0.29300054907798767,0.32099464535713196,0.12394875288009644,0.1858341544866562,0.26697686314582825,0.19174067676067352,0.27952244877815247,0.20061133801937103,0.21646204590797424,0.29557332396507263,0.3261612057685852,0.11644048988819122
sculpture,0.20820656418800354,0.2746802270412445,0.23690329492092133,0.3080253601074219,0.23036405444145203,0.23690329492092133,0.12420599162578583,0.4837363064289093,0.3205874264240265,0.20341666042804718,0.25370094180107117,0.23966236412525177,0.2241707295179367,0.1520780771970749,0.2683025896549225,0.1571214497089386
of,0.4178851246833801,1.0,0.733189046382904,0.23814009130001068,0.5696388483047485,0.733189046382904,0.2048201858997345,0.22648051381111145,0.2915455996990204,0.4854315221309662,0.210488960146904,0.41548454761505127,0.5011631846427917,0.35127586126327515,0.2698146104812622,0.1826142966747284
amida,0.20027686655521393,0.22407901287078857,0.2417602688074112,0.19578035175800323,0.18135406076908112,0.2417602688074112,0.28696227073669434,0.15689563751220703,0.1404106169939041,0.22831062972545624,0.16019417345523834,0.16069993376731873,0.2512444853782654,0.15097633004188538,0.2557595372200012,0.1716163605451584
nyorai,0.2208193689584732,0.2892971634864807,0.3486674726009369,0.15740980207920074,0.3216840624809265,0.3486674726009369,0.3727671504020691,0.29296424984931946,0.27316486835479736,0.26801806688308716,0.2157285511493683,0.24341781437397003,0.29178449511528015,0.24911867082118988,0.33599233627319336,0.25021007657051086
.,0.35404038429260254,0.5352458953857422,0.5934505462646484,0.23188386857509613,0.5591574311256409,0.5934505462646484,0.22132645547389984,0.21795564889907837,0.2516246736049652,0.4569662809371948,0.2194228619337082,0.4645031690597534,0.45942068099975586,0.371569961309433,0.2575049102306366,0.4130953550338745
