,what,did,tesla,claim,to,perfect,while,at,the,exchange,?
during,0.24137552082538605,0.30679523944854736,0.08954931050539017,0.13740764558315277,0.2828781306743622,0.11245328933000565,0.3849048316478729,0.372769296169281,0.4838213622570038,0.1731751710176468,0.1325719803571701
his,0.26976513862609863,0.3546801507472992,0.1580733060836792,0.24642159044742584,0.3715193271636963,0.16837908327579498,0.39785656332969666,0.27659502625465393,0.4394008219242096,0.11702585965394974,0.18075084686279297
employment,0.1882249116897583,0.17079593241214752,0.24078574776649475,0.22609007358551025,0.25674930214881897,0.27593499422073364,0.20442654192447662,0.20586377382278442,0.22877080738544464,0.2539960443973541,0.20128771662712097
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.2664267122745514,0.44245919585227966,0.2037888914346695,0.38232675194740295,0.38314947485923767,0.4933079481124878,0.2447657436132431,0.31091248989105225
tesla,0.23221199214458466,0.09757418930530548,0.9999999403953552,0.14329524338245392,0.17548894882202148,0.16272670030593872,0.15711884200572968,0.16552478075027466,0.1324402391910553,0.11101709306240082,0.10250775516033173
made,0.23419176042079926,0.3068731725215912,0.1893712431192398,0.16561207175254822,0.3377571105957031,0.2287072390317917,0.24911803007125854,0.20185844600200653,0.3885267674922943,0.08262217789888382,0.17218779027462006
many,0.36131182312965393,0.375588983297348,0.15282970666885376,0.23700721561908722,0.40243685245513916,0.20502552390098572,0.3748262822628021,0.2716965675354004,0.4335206151008606,0.1653306484222412,0.2124512493610382
improvements,0.29292213916778564,0.26624056696891785,0.2988685071468353,0.2174936681985855,0.320855051279068,0.19305451214313507,0.19764326512813568,0.17214374244213104,0.269887775182724,0.15025772154331207,0.26583096385002136
to,0.455847829580307,0.4452643394470215,0.17548894882202148,0.324158638715744,1.0,0.16786597669124603,0.43899232149124146,0.36524343490600586,0.535392165184021,0.20507046580314636,0.29463258385658264
the,0.42745697498321533,0.34736719727516174,0.1324402391910553,0.25873351097106934,0.535392165184021,0.24054312705993652,0.39804592728614807,0.457212895154953,1.0,0.2543705105781555,0.22068053483963013
central,0.17723965644836426,0.14962437748908997,0.12108288705348969,0.157711923122406,0.21511952579021454,0.11321640759706497,0.13853521645069122,0.22031977772712708,0.3417201042175293,0.14818553626537323,0.14787602424621582
station,0.1613752841949463,0.11704530566930771,0.21704843640327454,0.16413475573062897,0.21352042257785797,0.1214437335729599,0.19313332438468933,0.2690275013446808,0.23609806597232819,0.23017682135105133,0.12574981153011322
equipment,0.21531300246715546,0.22350327670574188,0.3259071707725525,0.17156901955604553,0.21870006620883942,0.1730506867170334,0.29516154527664185,0.15838950872421265,0.22635069489479065,0.158378005027771,0.0920877456665039
