,what,is,the,yearly,cost,of,some,notable,prep,schools,in,new,england,?
annual,0.14798973500728607,0.20538382232189178,0.2958983778953552,0.6693735718727112,0.2190229594707489,0.29535046219825745,0.1615464836359024,0.1528928428888321,0.21107518672943115,0.15127912163734436,0.2557781934738159,0.20122556388378143,0.1479518711566925,0.1083487942814827
tuition,0.2307644784450531,0.20473599433898926,0.22994613647460938,0.4020853638648987,0.4304608702659607,0.28940895199775696,0.2866898477077484,0.23913118243217468,0.3943438231945038,0.4599091112613678,0.24434132874011993,0.21103782951831818,0.19974005222320557,0.2023361474275589
fees,0.19752082228660583,0.12863782048225403,0.22297759354114532,0.354256808757782,0.43171364068984985,0.15170428156852722,0.24487270414829254,0.2214895635843277,0.3019607663154602,0.38298195600509644,0.17004510760307312,0.16119801998138428,0.26776328682899475,0.18385712802410126
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.31728535890579224,0.26695817708969116,0.42558613419532776,0.25582021474838257,0.15667329728603363,0.30432140827178955,0.21788150072097778,0.4374977946281433,0.1898733228445053,0.2433994561433792,0.21978627145290375
k-12,0.33679550886154175,0.4319603443145752,0.40333887934684753,0.23141340911388397,0.23622243106365204,0.35074689984321594,0.28826257586479187,0.31066757440567017,0.2581186592578888,0.19639074802398682,0.3011954128742218,0.268493115901947,0.19157427549362183,0.31244829297065735
schools,0.1820785105228424,0.2022145688533783,0.22905772924423218,0.21421706676483154,0.19791728258132935,0.265506386756897,0.3067633807659149,0.1942712515592575,0.3746900260448456,1.0,0.2632134258747101,0.13635335862636566,0.24660681188106537,0.18349280953407288
range,0.19613829255104065,0.2467041313648224,0.2311336100101471,0.14074766635894775,0.17068347334861755,0.234999418258667,0.3333519399166107,0.12703022360801697,0.11100565642118454,0.181489035487175,0.2084861844778061,0.18719550967216492,0.11437014490365982,0.1204894632101059
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.23060433566570282,0.12411961704492569,0.4249346852302551,0.35210713744163513,0.17248059809207916,0.18185879290103912,0.1357884258031845,0.4274188280105591,0.3360432982444763,0.2081233561038971,0.19969791173934937
nothing,0.5522216558456421,0.23023872077465057,0.29561489820480347,0.23925989866256714,0.22307799756526947,0.17905022203922272,0.40662962198257446,0.3616969585418701,0.19152288138866425,0.15613000094890594,0.24179935455322266,0.22891873121261597,0.26367536187171936,0.4541490972042084
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.31728535890579224,0.26695817708969116,0.42558613419532776,0.25582021474838257,0.15667329728603363,0.30432140827178955,0.21788150072097778,0.4374977946281433,0.1898733228445053,0.2433994561433792,0.21978627145290375
so,0.539469838142395,0.3153412640094757,0.4296516180038452,0.19263289868831635,0.22027412056922913,0.3184450566768646,0.5107848048210144,0.2575204372406006,0.20933058857917786,0.21603114902973175,0.31275880336761475,0.23517999053001404,0.24074791371822357,0.43163934350013733
called,0.3235960602760315,0.430266410112381,0.489897221326828,0.24947351217269897,0.21559269726276398,0.4222904443740845,0.4143916368484497,0.12903524935245514,0.2220899611711502,0.18615397810935974,0.40847352147102356,0.2586444020271301,0.22477780282497406,0.18963319063186646
'tuition-free,0.32718709111213684,0.252114474773407,0.2670072317123413,0.35382741689682007,0.42283496260643005,0.312361478805542,0.3502528667449951,0.25054052472114563,0.3679661154747009,0.4143352210521698,0.3134559988975525,0.27503207325935364,0.2422522008419037,0.3577888309955597
',0.3245812654495239,0.5508411526679993,0.474788099527359,0.22124090790748596,0.13521654903888702,0.39136970043182373,0.24786527454853058,0.29527005553245544,0.24484233558177948,0.18575283885002136,0.4158826768398285,0.23426499962806702,0.19773803651332855,0.330942302942276
schools,0.1820785105228424,0.2022145688533783,0.22905772924423218,0.21421706676483154,0.19791728258132935,0.265506386756897,0.3067633807659149,0.1942712515592575,0.3746900260448456,1.0,0.2632134258747101,0.13635335862636566,0.24660681188106537,0.18349280953407288
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.23069515824317932,0.2525014281272888,0.41548454761505127,0.4636894166469574,0.18140920996665955,0.25187423825263977,0.2362271547317505,0.45010748505592346,0.33159172534942627,0.27769553661346436,0.29463258385658264
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.20532621443271637,0.31201326847076416,0.30478984117507935,0.5524908900260925,0.25611886382102966,0.16829557716846466,0.16193780303001404,0.32563260197639465,0.3023035526275635,0.218344584107399,0.27894994616508484
than,0.29388150572776794,0.2839990258216858,0.3227543234825134,0.20232610404491425,0.34331220388412476,0.33036211133003235,0.46446433663368225,0.2449059784412384,0.13006053864955902,0.16902634501457214,0.3270052373409271,0.23244358599185944,0.15627270936965942,0.24917294085025787
$,0.24858909845352173,0.14577937126159668,0.23367542028427124,0.33497074246406555,0.5133980512619019,0.11268499493598938,0.17004361748695374,0.16107477247714996,0.25645124912261963,0.16753827035427094,0.21616753935813904,0.2071014642715454,0.18197835981845856,0.2786129117012024
"45,000",0.018050413578748703,0.06080969423055649,0.1375281810760498,0.05495799705386162,0.07390666753053665,0.14160442352294922,0.06002764776349068,0.08358258754014969,0.07248247414827347,-0.07583320140838623,0.15139035880565643,0.13553838431835175,0.06879062205553055,0.03222159296274185
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.31728535890579224,0.26695817708969116,0.42558613419532776,0.25582021474838257,0.15667329728603363,0.30432140827178955,0.21788150072097778,0.4374977946281433,0.1898733228445053,0.2433994561433792,0.21978627145290375
several,0.22446060180664062,0.20361857116222382,0.40559855103492737,0.22232389450073242,0.19292806088924408,0.3271615505218506,0.6083422303199768,0.23653845489025116,0.14787401258945465,0.25758257508277893,0.39405709505081177,0.299900621175766,0.2196768969297409,0.15595775842666626
new,0.2130378633737564,0.2208656519651413,0.3845241069793701,0.1464591771364212,0.2137160450220108,0.343457967042923,0.3095579743385315,0.16890791058540344,0.211836040019989,0.13635335862636566,0.3758552670478821,0.9999999403953552,0.30605512857437134,0.14782847464084625
england,0.21399550139904022,0.19271282851696014,0.28280043601989746,0.20037077367305756,0.17191073298454285,0.24624483287334442,0.2691797614097595,0.17922307550907135,0.21703849732875824,0.24660681188106537,0.33311840891838074,0.30605512857437134,0.9999998807907104,0.13436897099018097
preparatory,0.1975819319486618,0.1783856898546219,0.29037582874298096,0.21548737585544586,0.19392545521259308,0.3029009699821472,0.21023797988891602,0.16589313745498657,0.6262775659561157,0.4085295796394348,0.30538713932037354,0.2321920394897461,0.2634713649749756,0.10992063581943512
schools,0.1820785105228424,0.2022145688533783,0.22905772924423218,0.21421706676483154,0.19791728258132935,0.265506386756897,0.3067633807659149,0.1942712515592575,0.3746900260448456,1.0,0.2632134258747101,0.13635335862636566,0.24660681188106537,0.18349280953407288
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2410760521888733,0.26134178042411804,0.5352458953857422,0.40663889050483704,0.2256665676832199,0.2657183110713959,0.2752705216407776,0.5591574311256409,0.35031336545944214,0.31012484431266785,0.4130953550338745
