,which,examples,of,fashion,does,the,museum,continue,to,acquire,for,its,collection,?
the,0.6521818041801453,0.30092597007751465,0.733189046382904,0.20197291672229767,0.35928019881248474,1.0,0.24861779808998108,0.28966447710990906,0.535392165184021,0.19284681975841522,0.4739971458911896,0.559237003326416,0.25281965732574463,0.22068053483963013
museum,0.22731433808803558,0.21049046516418457,0.23314370214939117,0.11770188808441162,0.1064787358045578,0.24861779808998108,1.0000001192092896,0.12033168226480484,0.1640389859676361,0.2163400501012802,0.15718214213848114,0.18129056692123413,0.4441815912723541,0.14128351211547852
continues,0.29659315943717957,0.1533346325159073,0.2937655746936798,0.13407324254512787,0.37072330713272095,0.3452514410018921,0.16046912968158722,0.7180429697036743,0.363338828086853,0.12578022480010986,0.2022181898355484,0.2964733839035034,0.14195340871810913,0.13186512887477875
to,0.5345056653022766,0.23809245228767395,0.41548454761505127,0.17719420790672302,0.4391997456550598,0.535392165184021,0.1640389859676361,0.4441169500350952,1.0,0.19960732758045197,0.4451248347759247,0.3691340684890747,0.15417452156543732,0.29463258385658264
acquire,0.26090630888938904,0.207381010055542,0.19236667454242706,0.15641523897647858,0.15502162277698517,0.19284681975841522,0.2163400501012802,0.2087235152721405,0.19960732758045197,0.9999998807907104,0.18169787526130676,0.24440300464630127,0.32029029726982117,0.1228754073381424
examples,0.38271647691726685,0.9999999403953552,0.3054686188697815,0.12443136423826218,0.2701253294944763,0.30092597007751465,0.21049046516418457,0.19315125048160553,0.23809245228767395,0.207381010055542,0.3848060369491577,0.21673068404197693,0.25887519121170044,0.19976599514484406
of,0.5011631846427917,0.3054686188697815,1.0,0.21192987263202667,0.3119818866252899,0.733189046382904,0.23314370214939117,0.19578875601291656,0.41548454761505127,0.19236667454242706,0.4185989499092102,0.48690423369407654,0.2915455996990204,0.1826142966747284
modern,0.3329094350337982,0.24432151019573212,0.3482828736305237,0.25084176659584045,0.20442184805870056,0.3283970355987549,0.35813260078430176,0.12987855076789856,0.193939670920372,0.1430991142988205,0.22431503236293793,0.2969845235347748,0.2070229947566986,0.12475407868623734
fashion,0.20336061716079712,0.12443136423826218,0.21192987263202667,1.0,0.10639436542987823,0.20197291672229767,0.11770188808441162,0.1077973023056984,0.17719420790672302,0.15641523897647858,0.20982983708381653,0.15216171741485596,0.1854274868965149,0.11952155828475952
to,0.5345056653022766,0.23809245228767395,0.41548454761505127,0.17719420790672302,0.4391997456550598,0.535392165184021,0.1640389859676361,0.4441169500350952,1.0,0.19960732758045197,0.4451248347759247,0.3691340684890747,0.15417452156543732,0.29463258385658264
add,0.28465136885643005,0.3202683627605438,0.22190609574317932,0.14311251044273376,0.30696913599967957,0.22751019895076752,0.0727299153804779,0.3066297471523285,0.3365766704082489,0.16820409893989563,0.2750505208969116,0.21348966658115387,0.12590695917606354,0.37847816944122314
to,0.5345056653022766,0.23809245228767395,0.41548454761505127,0.17719420790672302,0.4391997456550598,0.535392165184021,0.1640389859676361,0.4441169500350952,1.0,0.19960732758045197,0.4451248347759247,0.3691340684890747,0.15417452156543732,0.29463258385658264
the,0.6521818041801453,0.30092597007751465,0.733189046382904,0.20197291672229767,0.35928019881248474,1.0,0.24861779808998108,0.28966447710990906,0.535392165184021,0.19284681975841522,0.4739971458911896,0.559237003326416,0.25281965732574463,0.22068053483963013
collection,0.30199134349823,0.25887519121170044,0.2915455996990204,0.1854274868965149,0.10356780141592026,0.25281965732574463,0.4441815912723541,0.11562996357679367,0.15417452156543732,0.32029029726982117,0.22454001009464264,0.17449750006198883,0.9999998807907104,0.20069393515586853
.,0.45942068099975586,0.28905922174453735,0.5352458953857422,0.20290514826774597,0.3022993505001068,0.5934505462646484,0.19497929513454437,0.2855175733566284,0.4645031690597534,0.15675117075443268,0.4726039469242096,0.3566088080406189,0.2516246736049652,0.4130953550338745
