,what,was,the,premise,of,woodrow,wilson,'s,inquiry,?
the,0.42745697498321533,0.48711544275283813,1.0,0.289422869682312,0.733189046382904,0.2778104841709137,0.20745839178562164,-0.01540423184633255,0.24161653220653534,0.22068053483963013
point,0.3286605179309845,0.17757032811641693,0.3084787130355835,0.2915153205394745,0.269877165555954,0.11731397360563278,0.13030356168746948,0.0017411779845133424,0.16827739775180817,0.19189560413360596
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.26090335845947266,1.0,0.2642464339733124,0.17700797319412231,-0.03817026689648628,0.23861491680145264,0.1826142966747284
this,0.5489566326141357,0.3638818562030792,0.6274310946464539,0.3378661572933197,0.45148900151252747,0.23447999358177185,0.16090628504753113,0.02106832154095173,0.21089041233062744,0.3155723512172699
inquiry,0.25839799642562866,0.2590499222278595,0.24161653220653534,0.32764700055122375,0.23861491680145264,0.3013535141944885,0.270449697971344,-0.0016987883718684316,1.0000001192092896,0.1689903736114502
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.2253240942955017,0.4069072902202606,0.2865031063556671,0.1931360512971878,0.008974763564765453,0.2590499222278595,0.18412111699581146
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.21967510879039764,0.41548454761505127,0.2564753293991089,0.1950661838054657,0.03782717138528824,0.24077343940734863,0.29463258385658264
build,0.27055490016937256,0.20898228883743286,0.2602573335170746,0.20174555480480194,0.22630037367343903,0.1463090181350708,0.09019100666046143,0.08569536358118057,0.15296165645122528,0.1704305112361908
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2745387554168701,0.5052502155303955,0.21244268119335175,0.18023544549942017,0.04866964742541313,0.20359961688518524,0.23916715383529663
premise,0.3353895843029022,0.2253240942955017,0.289422869682312,0.9999998807907104,0.26090335845947266,0.18398237228393555,0.13103187084197998,-0.026578636839985847,0.32764700055122375,0.21306073665618896
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.3977797329425812,0.41498205065727234,0.22517845034599304,0.13637486100196838,0.04397977516055107,0.24822184443473816,0.32716336846351624
would,0.45766422152519226,0.41663143038749695,0.4133751392364502,0.29027602076530457,0.3353942930698395,0.18150827288627625,0.12071634829044342,0.036968596279621124,0.20328699052333832,0.37178951501846313
allow,0.2883041203022003,0.17550189793109894,0.27822166681289673,0.20925384759902954,0.28057926893234253,0.17803426086902618,0.14088010787963867,0.02137329988181591,0.21108847856521606,0.2042745053768158
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.2015310376882553,0.4185989499092102,0.2503663897514343,0.19865725934505463,-0.07241261005401611,0.18944916129112244,0.264628142118454
u.s,-0.04298092797398567,0.12036829441785812,0.0010489047272130847,-0.09887345135211945,0.01289863046258688,0.13644203543663025,0.09330254048109055,-0.10096536576747894,-0.04213758930563927,-0.03245445340871811
authorship,0.2812509536743164,0.24585144221782684,0.2666182518005371,0.3514103293418884,0.2509104609489441,0.32075047492980957,0.15301620960235596,0.012873856350779533,0.3598828911781311,0.26067766547203064
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.26090335845947266,1.0,0.2642464339733124,0.17700797319412231,-0.03817026689648628,0.23861491680145264,0.1826142966747284
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2745387554168701,0.5052502155303955,0.21244268119335175,0.18023544549942017,0.04866964742541313,0.20359961688518524,0.23916715383529663
'new,0.3439287543296814,0.3025610148906708,0.3282446265220642,0.21358834207057953,0.2550208866596222,0.31602346897125244,0.16665424406528473,-0.012540742754936218,0.23540429770946503,0.2993984520435333
world,0.21669597923755646,0.3097524344921112,0.33604270219802856,0.13774336874485016,0.2828933000564575,0.2226991057395935,0.2196706384420395,0.11877062171697617,0.12394252419471741,0.17579582333564758
',0.3245812654495239,0.33675912022590637,0.474788099527359,0.21704407036304474,0.39136970043182373,0.19592802226543427,0.15110668540000916,0.07651367038488388,0.09339675307273865,0.330942302942276
which,0.5261979103088379,0.2830964922904968,0.6521818041801453,0.355297714471817,0.5011631846427917,0.18909670412540436,0.15928678214550018,0.03856118768453598,0.20843252539634705,0.25814583897590637
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.2253240942955017,0.4069072902202606,0.2865031063556671,0.1931360512971878,0.008974763564765453,0.2590499222278595,0.18412111699581146
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.21967510879039764,0.41548454761505127,0.2564753293991089,0.1950661838054657,0.03782717138528824,0.24077343940734863,0.29463258385658264
be,0.3929833769798279,0.42228707671165466,0.4248143136501312,0.2824452519416809,0.33904364705085754,0.2050122618675232,0.15072916448116302,0.025217169895768166,0.2092914581298828,0.3324260413646698
characterized,0.20582014322280884,0.2070060819387436,0.30089181661605835,0.26552873849868774,0.30984818935394287,0.13359588384628296,0.1523490995168686,-0.061116646975278854,0.22779183089733124,0.03949757292866707
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.18238016963005066,0.3646814823150635,0.23993469774723053,0.2165776640176773,-0.010884488001465797,0.16421090066432953,0.17966607213020325
geographical,0.2645968794822693,0.11450415849685669,0.3164447844028473,0.20158720016479492,0.3368765115737915,0.1568184345960617,0.14323845505714417,-0.026873378083109856,0.26162973046302795,0.1692802608013153
order,0.16634008288383484,0.16897162795066833,0.3284194767475128,0.24814622104167938,0.31287699937820435,0.15189801156520844,0.08571027219295502,-0.07080218195915222,0.20500192046165466,0.13725648820400238
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.18753452599048615,0.5352458953857422,0.2942434847354889,0.27294424176216125,-0.003708066651597619,0.15333840250968933,0.4130953550338745
