,how,long,was,the,first,audio,of,a,doctor,who,story,?
the,0.33890387415885925,0.3075225353240967,0.48711544275283813,1.0,0.49448907375335693,0.19614098966121674,0.733189046382904,0.5829201340675354,0.2820442318916321,0.3733934462070465,0.2915393114089966,0.22068053483963013
earliest,0.2034890204668045,0.18435178697109222,0.25501716136932373,0.32825469970703125,0.4127090871334076,0.10229645669460297,0.33267632126808167,0.21276333928108215,0.0661616250872612,0.19994589686393738,0.2952386140823364,0.139415442943573
doctor,0.2004029005765915,0.1046028733253479,0.19672659039497375,0.2820442318916321,0.27244147658348083,0.20159323513507843,0.16895952820777893,0.22883038222789764,0.9999999403953552,0.3504868149757385,0.24003900587558746,0.1462511420249939
who-related,0.3794746696949005,0.25811222195625305,0.15486572682857513,0.31703755259513855,0.19884443283081055,0.1905135065317154,0.3248978853225708,0.28255537152290344,0.18235275149345398,0.27516040205955505,0.19318434596061707,0.29006028175354004
audio,0.20687855780124664,0.13333094120025635,0.12714031338691711,0.19614098966121674,0.1623791754245758,1.0,0.17128776013851166,0.1758890151977539,0.20159323513507843,0.14178435504436493,0.2723100185394287,0.14977853000164032
release,0.18830232322216034,0.21490612626075745,0.21360014379024506,0.2814774513244629,0.2760980427265167,0.23395980894565582,0.1866096556186676,0.23991376161575317,0.1319592148065567,0.10399705171585083,0.19872736930847168,0.14489315450191498
was,0.16678167879581451,0.1968146562576294,1.0000001192092896,0.48711544275283813,0.5022147297859192,0.12714031338691711,0.4069072902202606,0.4508470594882965,0.19672659039497375,0.3318818509578705,0.2837624251842499,0.18412111699581146
a,0.29312583804130554,0.3795371353626251,0.4508470594882965,0.5829201340675354,0.4287874400615692,0.1758890151977539,0.5052502155303955,1.0,0.22883038222789764,0.36608949303627014,0.26679712533950806,0.23916715383529663
21-minute,0.24351876974105835,0.3768891990184784,0.21621665358543396,0.25456807017326355,0.308655709028244,0.2295871376991272,0.2153817117214203,0.2854001522064209,0.2495538294315338,0.20740126073360443,0.17692430317401886,0.13842162489891052
narrated,0.20850491523742676,0.1652594804763794,0.2773343622684479,0.25908055901527405,0.2487175166606903,0.299451619386673,0.18761737644672394,0.15879933536052704,0.21389919519424438,0.2399122267961502,0.49585452675819397,0.15957550704479218
abridgement,0.2963464558124542,0.23101122677326202,0.312818706035614,0.3661192059516907,0.23303553462028503,0.3646566867828369,0.3437550663948059,0.29952263832092285,0.21052654087543488,0.22784925997257233,0.2669900059700012,0.3550713360309601
of,0.2480744868516922,0.2567519545555115,0.4069072902202606,0.733189046382904,0.3536086082458496,0.17128776013851166,1.0,0.5052502155303955,0.16895952820777893,0.2827862501144409,0.2687002420425415,0.1826142966747284
the,0.33890387415885925,0.3075225353240967,0.48711544275283813,1.0,0.49448907375335693,0.19614098966121674,0.733189046382904,0.5829201340675354,0.2820442318916321,0.3733934462070465,0.2915393114089966,0.22068053483963013
first,0.27731001377105713,0.23231349885463715,0.5022147297859192,0.49448907375335693,1.0,0.1623791754245758,0.3536086082458496,0.4287874400615692,0.27244147658348083,0.39065709710121155,0.29524773359298706,0.18701928853988647
doctor,0.2004029005765915,0.1046028733253479,0.19672659039497375,0.2820442318916321,0.27244147658348083,0.20159323513507843,0.16895952820777893,0.22883038222789764,0.9999999403953552,0.3504868149757385,0.24003900587558746,0.1462511420249939
television,0.20427560806274414,0.16718794405460358,0.2516675293445587,0.24569597840309143,0.2787016034126282,0.3262268304824829,0.21995750069618225,0.22552843391895294,0.31410008668899536,0.2515988349914551,0.2502927780151367,0.16825827956199646
story,0.25330299139022827,0.18306809663772583,0.2837624251842499,0.2915393114089966,0.29524773359298706,0.2723100185394287,0.2687002420425415,0.26679712533950806,0.24003900587558746,0.3106299340724945,1.0,0.2304346114397049
the,0.33890387415885925,0.3075225353240967,0.48711544275283813,1.0,0.49448907375335693,0.19614098966121674,0.733189046382904,0.5829201340675354,0.2820442318916321,0.3733934462070465,0.2915393114089966,0.22068053483963013
chase,0.10959520936012268,0.17201708257198334,0.16574257612228394,0.22927841544151306,0.12673422694206238,0.08923552930355072,0.1675843894481659,0.1723039597272873,0.15138685703277588,0.25160419940948486,0.19667598605155945,0.13075774908065796
released,0.17113035917282104,0.1369767040014267,0.32720035314559937,0.24578391015529633,0.33788758516311646,0.24554280936717987,0.17721395194530487,0.23456448316574097,0.16010989248752594,0.15033993124961853,0.2649247944355011,0.20329579710960388
in,0.2601168751716614,0.2759332060813904,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.12252579629421234,0.5696388483047485,0.539380669593811,0.25567495822906494,0.2792111933231354,0.22475379705429077,0.20430970191955566
1966,0.0437101274728775,0.006385599263012409,-0.12360594421625137,-0.0162473414093256,0.001165196648798883,0.13978154957294464,-0.13182570040225983,0.06093672290444374,0.08411487191915512,0.008801804855465889,0.06910111010074615,0.08956238627433777
.,0.3287222981452942,0.3247973620891571,0.40146201848983765,0.5934505462646484,0.4345304071903229,0.16724947094917297,0.5352458953857422,0.50484299659729,0.22361043095588684,0.3541337847709656,0.24893946945667267,0.4130953550338745
