,in,the,united,states,the,umc,ranks,as,the,largest,what,?
in,1.0,0.6662389636039734,0.3938477039337158,0.3977442979812622,0.6662389636039734,0.15436193346977234,0.22087086737155914,0.3887844979763031,0.6662389636039734,0.3017216920852661,0.30808621644973755,0.20430970191955566
the,0.6662389636039734,1.0,0.34367692470550537,0.3463578522205353,1.0,0.21262750029563904,0.32440441846847534,0.48381632566452026,1.0,0.3757036626338959,0.42745697498321533,0.22068053483963013
united,0.3938477039337158,0.34367692470550537,1.0000001192092896,0.8952266573905945,0.34367692470550537,0.1928277611732483,0.24192728102207184,0.27979812026023865,0.34367692470550537,0.2719666361808777,0.20036718249320984,0.17266890406608582
states,0.3977442979812622,0.3463578522205353,0.8952266573905945,1.0,0.3463578522205353,0.19076497852802277,0.2578272521495819,0.26192235946655273,0.3463578522205353,0.23322616517543793,0.21526020765304565,0.16272737085819244
",",0.5201468467712402,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.4933079481124878,0.1953766793012619,0.23430244624614716,0.48816442489624023,0.4933079481124878,0.26626327633857727,0.3087472915649414,0.31091248989105225
the,0.6662389636039734,1.0,0.34367692470550537,0.3463578522205353,1.0,0.21262750029563904,0.32440441846847534,0.48381632566452026,1.0,0.3757036626338959,0.42745697498321533,0.22068053483963013
umc,0.15436193346977234,0.21262750029563904,0.1928277611732483,0.19076497852802277,0.21262750029563904,1.0,0.19741491973400116,0.24607859551906586,0.21262750029563904,0.1262800693511963,0.2557855546474457,0.2609967589378357
ranks,0.22087086737155914,0.32440441846847534,0.24192728102207184,0.2578272521495819,0.32440441846847534,0.19741491973400116,1.0,0.2631450593471527,0.32440441846847534,0.1820281445980072,0.14455966651439667,0.17047086358070374
as,0.3887844979763031,0.48381632566452026,0.27979812026023865,0.26192235946655273,0.48381632566452026,0.24607859551906586,0.2631450593471527,1.0,0.48381632566452026,0.1819920688867569,0.31749409437179565,0.27043893933296204
the,0.6662389636039734,1.0,0.34367692470550537,0.3463578522205353,1.0,0.21262750029563904,0.32440441846847534,0.48381632566452026,1.0,0.3757036626338959,0.42745697498321533,0.22068053483963013
largest,0.3017216920852661,0.3757036626338959,0.2719666361808777,0.23322616517543793,0.3757036626338959,0.1262800693511963,0.1820281445980072,0.1819920688867569,0.3757036626338959,0.9999999403953552,0.13463157415390015,0.12401245534420013
mainline,0.24104535579681396,0.3012564480304718,0.2773432731628418,0.20992682874202728,0.3012564480304718,0.22576044499874115,0.1716403365135193,0.19914574921131134,0.3012564480304718,0.2522643804550171,0.16564925014972687,0.18302324414253235
protestant,0.2637297511100769,0.2679212689399719,0.18336354196071625,0.17654994130134583,0.2679212689399719,0.22981512546539307,0.2324294000864029,0.19902361929416656,0.2679212689399719,0.08759951591491699,0.23531195521354675,0.14798137545585632
denomination,0.19585151970386505,0.26250898838043213,0.22201207280158997,0.2330540269613266,0.26250898838043213,0.3519315719604492,0.25005683302879333,0.23284825682640076,0.26250898838043213,0.2598181366920471,0.24481600522994995,0.2643771171569824
",",0.5201468467712402,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.4933079481124878,0.1953766793012619,0.23430244624614716,0.48816442489624023,0.4933079481124878,0.26626327633857727,0.3087472915649414,0.31091248989105225
the,0.6662389636039734,1.0,0.34367692470550537,0.3463578522205353,1.0,0.21262750029563904,0.32440441846847534,0.48381632566452026,1.0,0.3757036626338959,0.42745697498321533,0.22068053483963013
largest,0.3017216920852661,0.3757036626338959,0.2719666361808777,0.23322616517543793,0.3757036626338959,0.1262800693511963,0.1820281445980072,0.1819920688867569,0.3757036626338959,0.9999999403953552,0.13463157415390015,0.12401245534420013
protestant,0.2637297511100769,0.2679212689399719,0.18336354196071625,0.17654994130134583,0.2679212689399719,0.22981512546539307,0.2324294000864029,0.19902361929416656,0.2679212689399719,0.08759951591491699,0.23531195521354675,0.14798137545585632
church,0.2493300437927246,0.23846197128295898,0.19284281134605408,0.17393819987773895,0.23846197128295898,0.20494024455547333,0.1606559008359909,0.211966410279274,0.23846197128295898,0.1541421115398407,0.1944202184677124,0.18081501126289368
after,0.44050168991088867,0.4565047025680542,0.23208022117614746,0.20801226794719696,0.4565047025680542,0.15637607872486115,0.14983856678009033,0.3014480769634247,0.4565047025680542,0.2332882136106491,0.21973377466201782,0.16608688235282898
the,0.6662389636039734,1.0,0.34367692470550537,0.3463578522205353,1.0,0.21262750029563904,0.32440441846847534,0.48381632566452026,1.0,0.3757036626338959,0.42745697498321533,0.22068053483963013
