,in,which,season,did,the,abc,logo,first,appear,as,an,on-screen,bug,?
the,0.6662389636039734,0.6521818041801453,0.2507155239582062,0.34736719727516174,1.0,0.2068762183189392,0.2806010842323303,0.49448907375335693,0.3581200838088989,0.48381632566452026,0.4207492768764496,0.24245591461658478,0.2229783535003662,0.22068053483963013
abc,0.1697147786617279,0.1991286277770996,0.29887476563453674,0.13353709876537323,0.2068762183189392,1.0000001192092896,0.23574566841125488,0.2403600513935089,0.20413027703762054,0.2286096066236496,0.16561369597911835,0.22964154183864594,0.17026932537555695,0.19065172970294952
logo,0.1848117560148239,0.25611594319343567,0.17979180812835693,0.13651727139949799,0.2806010842323303,0.23574566841125488,1.0000001192092896,0.1942633092403412,0.24361225962638855,0.19516409933567047,0.1312703788280487,0.26557233929634094,0.27440088987350464,0.23347119987010956
first,0.4127444326877594,0.3828166127204895,0.26634398102760315,0.33691170811653137,0.49448907375335693,0.2403600513935089,0.1942633092403412,1.0,0.29639381170272827,0.33842000365257263,0.29757723212242126,0.270250529050827,0.15816447138786316,0.18701928853988647
appeared,0.31264984607696533,0.21686145663261414,0.22071000933647156,0.2999138832092285,0.30265679955482483,0.34155184030532837,0.1702168881893158,0.37911704182624817,0.5712411999702454,0.3160499334335327,0.18180061876773834,0.31919050216674805,0.15701843798160553,0.1384376585483551
as,0.3887844979763031,0.41006597876548767,0.22911055386066437,0.3596470057964325,0.48381632566452026,0.2286096066236496,0.19516409933567047,0.33842000365257263,0.32869234681129456,1.0,0.37218472361564636,0.2942819595336914,0.1295047104358673,0.27043893933296204
a,0.539380669593811,0.56894451379776,0.1855505406856537,0.2552328109741211,0.5829201340675354,0.21331243216991425,0.21248295903205872,0.4287874400615692,0.2526538372039795,0.39550232887268066,0.44552403688430786,0.24269871413707733,0.27200448513031006,0.23916715383529663
on-screen,0.18040308356285095,0.3184051215648651,0.12910687923431396,0.20218776166439056,0.24245591461658478,0.22964154183864594,0.26557233929634094,0.270250529050827,0.351356565952301,0.2942819595336914,0.27015215158462524,1.0000001192092896,0.29647982120513916,0.22305797040462494
bug,0.19665397703647614,0.24330776929855347,0.13888579607009888,0.173519104719162,0.2229783535003662,0.17026932537555695,0.27440088987350464,0.15816447138786316,0.19071413576602936,0.1295047104358673,0.16142672300338745,0.29647982120513916,1.0,0.27909624576568604
in,1.0,0.4840516746044159,0.2184021919965744,0.2593238651752472,0.6662389636039734,0.1697147786617279,0.1848117560148239,0.4127444326877594,0.2517908811569214,0.3887844979763031,0.2605783939361572,0.18040308356285095,0.19665397703647614,0.20430970191955566
