,what,was,the,boat,called,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.1934967190027237,0.40847352147102356,0.20430970191955566
1898,0.27383363246917725,-0.018546821549534798,-0.022823922336101532,0.12478993088006973,-0.03711424022912979,0.1948045939207077
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.21446914970874786,0.26549121737480164,0.31091248989105225
tesla,0.23221199214458466,0.16455206274986267,0.1324402391910553,0.11209569126367569,0.20324239134788513,0.10250775516033173
demonstrated,0.20940876007080078,0.21351228654384613,0.2412586510181427,0.0791049674153328,0.21923278272151947,0.1947716772556305
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.26391369104385376,0.4868806302547455,0.23916715383529663
radio-controlled,0.31165561079978943,0.26627612113952637,0.3496111035346985,0.21700245141983032,0.34558185935020447,0.18487884104251862
boat—which,0.3004089891910553,0.3802085518836975,0.4623936712741852,0.732565701007843,0.34787383675575256,0.2530039846897125
he,0.3114890456199646,0.5410010814666748,0.4571082592010498,0.2337060123682022,0.23139433562755585,0.2089974731206894
dubbed,0.07724779844284058,0.3000064492225647,0.2979377508163452,0.10136682540178299,0.32910144329071045,0.14647041261196136
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,-0.0019328135531395674,0.00907047651708126,0.0685480609536171
teleautomaton,0.3454027771949768,0.1665952354669571,0.2658497393131256,0.1617487668991089,0.2726207375526428,0.29741448163986206
'',0.08143015950918198,0.04456103965640068,0.041273195296525955,-0.10054222494363785,0.021102847531437874,0.018684765323996544
—to,0.28869226574897766,0.16239690780639648,0.20468340814113617,0.08405610918998718,0.19503028690814972,0.3152444362640381
the,0.42745697498321533,0.48711544275283813,1.0,0.2424127608537674,0.489897221326828,0.22068053483963013
public,0.1729622185230255,0.2513592839241028,0.22857438027858734,0.18656980991363525,0.15533289313316345,0.19872993230819702
during,0.24137552082538605,0.4470829963684082,0.4838213622570038,0.24480409920215607,0.354606956243515,0.1325719803571701
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.14891000092029572,0.2858632802963257,0.19793890416622162
electrical,0.19961315393447876,0.2032313495874405,0.2523402273654938,0.09086193144321442,0.23656359314918518,0.10923371464014053
exhibition,0.1526671200990677,0.24921445548534393,0.22614671289920807,0.17645755410194397,0.20562078058719635,0.11494685709476471
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.19056570529937744,0.23534239828586578,0.21978627145290375
madison,0.18737371265888214,0.2292308360338211,0.24276024103164673,0.08521805703639984,0.116485096514225,0.15323159098625183
square,0.12660330533981323,0.17827357351779938,0.2809545397758484,0.18520411849021912,0.21927514672279358,0.1201515942811966
garden,0.20641201734542847,0.2112511396408081,0.23359008133411407,0.2150377780199051,0.16298319399356842,0.16720405220985413
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2795538306236267,0.300344854593277,0.4130953550338745
