,who,did,webb,recruit,for,better,project,management,?
administrator,0.29738950729370117,0.22831325232982635,0.21940287947654724,0.21229107677936554,0.22280412912368774,0.23785626888275146,0.286875456571579,0.23745125532150269,0.2915230691432953
webb,0.27205929160118103,0.17462794482707977,0.9999999403953552,0.21799792349338531,0.24088044464588165,0.18719397485256195,0.17346110939979553,0.1497061401605606,0.11173157393932343
realized,0.34042346477508545,0.45471322536468506,0.17159554362297058,0.2815943658351898,0.21789492666721344,0.2936047911643982,0.17431078851222992,0.13367979228496552,0.15594157576560974
that,0.45444270968437195,0.47518548369407654,0.1467507779598236,0.27992069721221924,0.4137635827064514,0.3591441810131073,0.29938963055610657,0.22770491242408752,0.32716336846351624
in,0.2792111933231354,0.2593238651752472,0.19720931351184845,0.16612009704113007,0.4322226941585541,0.20443932712078094,0.16277937591075897,0.2783967852592468,0.20430970191955566
order,0.226639986038208,0.22891858220100403,0.11334912478923798,0.13001058995723724,0.16561681032180786,0.1758117526769638,0.07702955603599548,0.17203901708126068,0.13725648820400238
to,0.42656609416007996,0.4452643394470215,0.2667657732963562,0.28058016300201416,0.4451248347759247,0.29406851530075073,0.28750085830688477,0.23028287291526794,0.29463258385658264
keep,0.18928852677345276,0.23574070632457733,0.1416221261024475,0.22039079666137695,0.2518472671508789,0.29747405648231506,0.22043736279010773,0.12983770668506622,0.2537146508693695
apollo,0.19149452447891235,0.1976410299539566,0.2239077240228653,0.11665131896734238,0.18462510406970978,0.0907021313905716,0.27027878165245056,0.20002010464668274,0.191528782248497
costs,0.14388014376163483,0.2604030668735504,0.10746102035045624,0.2354370653629303,0.29340842366218567,0.20316781103610992,0.2864971160888672,0.2968977987766266,0.19150719046592712
under,0.2962189018726349,0.20815621316432953,0.13332922756671906,0.1652189940214157,0.2930702269077301,0.21998009085655212,0.19893698394298553,0.20279474556446075,0.18233340978622437
control,0.23970051109790802,0.22942528128623962,0.11606792360544205,0.22049416601657867,0.2014283388853073,0.204300194978714,0.15947583317756653,0.326288104057312,0.1620711386203766
",",0.3365725874900818,0.3015086054801941,0.2445290982723236,0.16720660030841827,0.4464869201183319,0.331943541765213,0.24875426292419434,0.24724458158016205,0.31091248989105225
he,0.5500732064247131,0.3292143940925598,0.3101024329662323,0.24398279190063477,0.4540175199508667,0.21895863115787506,0.17876175045967102,0.1625083088874817,0.2089974731206894
had,0.36173108220100403,0.540525496006012,0.24885377287864685,0.2322465181350708,0.3270139992237091,0.2658165991306305,0.17653261125087738,0.18737593293190002,0.20728366076946259
to,0.42656609416007996,0.4452643394470215,0.2667657732963562,0.28058016300201416,0.4451248347759247,0.29406851530075073,0.28750085830688477,0.23028287291526794,0.29463258385658264
develop,0.1715451180934906,0.21923236548900604,0.13237524032592773,0.22424004971981049,0.2540854215621948,0.2591671347618103,0.29703009128570557,0.28370770812034607,0.15784582495689392
greater,0.0999191403388977,0.12908196449279785,0.027942541986703873,0.008264103904366493,0.184608593583107,0.2311507761478424,0.09280003607273102,0.1842355579137802,0.09723397344350815
project,0.2255522608757019,0.18681181967258453,0.17346110939979553,0.28038322925567627,0.2228124439716339,0.2914460003376007,1.0,0.35612934827804565,0.30569031834602356
management,0.14967867732048035,0.116518035531044,0.1497061401605606,0.23579595983028412,0.25923067331314087,0.23100468516349792,0.35612934827804565,1.0,0.15866325795650482
skills,0.3790695369243622,0.28397253155708313,0.25879421830177307,0.37906739115715027,0.37810173630714417,0.34970909357070923,0.24943231046199799,0.32350417971611023,0.1864275485277176
in,0.2792111933231354,0.2593238651752472,0.19720931351184845,0.16612009704113007,0.4322226941585541,0.20443932712078094,0.16277937591075897,0.2783967852592468,0.20430970191955566
his,0.44966956973075867,0.3546801507472992,0.3422984182834625,0.2770959734916687,0.39312878251075745,0.2529103457927704,0.198722243309021,0.17830485105514526,0.18075084686279297
organization,0.2852892577648163,0.15187452733516693,0.199254110455513,0.30930498242378235,0.2952536344528198,0.17490597069263458,0.22679296135902405,0.31644174456596375,0.2069297879934311
",",0.3365725874900818,0.3015086054801941,0.2445290982723236,0.16720660030841827,0.4464869201183319,0.331943541765213,0.24875426292419434,0.24724458158016205,0.31091248989105225
so,0.39952170848846436,0.43696269392967224,0.147217258810997,0.3090895414352417,0.41512128710746765,0.42533162236213684,0.27720174193382263,0.1289827525615692,0.43163934350013733
he,0.5500732064247131,0.3292143940925598,0.3101024329662323,0.24398279190063477,0.4540175199508667,0.21895863115787506,0.17876175045967102,0.1625083088874817,0.2089974731206894
recruited,0.36745139956474304,0.2740274667739868,0.2956291437149048,0.8574665784835815,0.2868426740169525,0.1800622045993805,0.2042432427406311,0.18496406078338623,0.09634052217006683
dr.,0.20237460732460022,0.20467492938041687,0.06673039495944977,0.28598883748054504,0.15209181606769562,0.12173295766115189,0.11079216748476028,0.19448697566986084,0.14418397843837738
george,0.25805044174194336,0.238631471991539,0.30400410294532776,0.12439122796058655,0.18388281762599945,0.15421728789806366,0.15055182576179504,0.12863250076770782,0.1479024887084961
e.,-0.02677040547132492,-0.017962660640478134,-0.025958064943552017,0.0705747902393341,0.04695102199912071,-0.027721310034394264,0.08096476644277573,0.09417195618152618,0.04848470166325569
mueller,0.25541362166404724,0.1419845074415207,0.3302505910396576,0.16030026972293854,0.16679444909095764,0.24559277296066284,0.14319957792758942,0.18382570147514343,0.1575169712305069
for,0.37110671401023865,0.318512886762619,0.24088044464588165,0.29705899953842163,0.9999999403953552,0.3385646641254425,0.2228124439716339,0.25923067331314087,0.264628142118454
a,0.36608949303627014,0.2552328109741211,0.19704602658748627,0.2432267814874649,0.44038116931915283,0.2532222270965576,0.2328382134437561,0.2614014744758606,0.23916715383529663
high,0.14553065598011017,0.15957149863243103,0.14286793768405914,0.12223299592733383,0.1925620585680008,0.15722449123859406,0.2130991518497467,0.18779149651527405,0.11137914657592773
management,0.14967867732048035,0.116518035531044,0.1497061401605606,0.23579595983028412,0.25923067331314087,0.23100468516349792,0.35612934827804565,1.0,0.15866325795650482
job,0.3535488247871399,0.3175053298473358,0.17272917926311493,0.34462544322013855,0.3520078659057617,0.3117685616016388,0.24513015151023865,0.28958430886268616,0.22160480916500092
.,0.3541337847709656,0.35288307070732117,0.2620986998081207,0.21029594540596008,0.4726039469242096,0.2761487066745758,0.23938670754432678,0.20125426352024078,0.4130953550338745
