,what,kind,of,cell,did,cynaobacteria,enter,long,ago,?
somewhere,0.4753977358341217,0.2993556559085846,0.19648483395576477,0.14716486632823944,0.22525189816951752,0.1876155287027359,0.2637401223182678,0.24277763068675995,0.3325800597667694,0.4073143005371094
around,0.27475327253341675,0.18650077283382416,0.3296394646167755,0.1416337639093399,0.1658935695886612,0.2016778439283371,0.18483081459999084,0.30095621943473816,0.3867620825767517,0.14729668200016022
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.21525812149047852,0.2552328109741211,0.24736417829990387,0.2502499222755432,0.3795371353626251,0.2420414835214615,0.23916715383529663
billion,0.262668639421463,0.10191749036312103,0.19335569441318512,0.18678724765777588,0.1482735127210617,0.2655811607837677,0.19849322736263275,0.21594516932964325,0.4122296869754791,0.25791820883750916
years,0.1981470286846161,0.11223725974559784,0.2904134690761566,0.15066172182559967,0.2695724070072174,0.2753182351589203,0.18694090843200684,0.34739476442337036,0.5710245370864868,0.1914375126361847
ago,0.30667418241500854,0.21352243423461914,0.20083805918693542,0.10200532525777817,0.19972491264343262,0.2912713885307312,0.0769587904214859,0.3393833637237549,1.0000001192092896,0.2202194780111313
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.17534321546554565,0.3015086054801941,0.2951468527317047,0.20928232371807098,0.3431144952774048,0.26431804895401,0.31091248989105225
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.21525812149047852,0.2552328109741211,0.24736417829990387,0.2502499222755432,0.3795371353626251,0.2420414835214615,0.23916715383529663
free-living,0.3184700012207031,0.2850511968135834,0.3539227843284607,0.17975318431854248,0.26317551732063293,0.27337658405303955,0.21763120591640472,0.23347149789333344,0.2793121337890625,0.21305535733699799
cyanobacterium,0.241913303732872,0.27814188599586487,0.22479623556137085,0.42432311177253723,0.1813724935054779,0.8728126287460327,0.15695442259311676,0.2577616572380066,0.38272836804389954,0.20120567083358765
entered,0.14647741615772247,0.0773330107331276,0.2438427358865738,0.1429545283317566,0.24553436040878296,0.13245636224746704,0.6595630645751953,0.10486897826194763,0.08256708085536957,0.10335487127304077
an,0.2821882665157318,0.2510696351528168,0.32280945777893066,0.1520475447177887,0.22598257660865784,0.21375958621501923,0.18427564203739166,0.22368325293064117,0.19418419897556305,0.19793890416622162
early,0.2454567849636078,0.2119108885526657,0.30937549471855164,0.15503768622875214,0.32047218084335327,0.24817320704460144,0.1361742466688156,0.2295939028263092,0.36313942074775696,0.15272949635982513
eukaryotic,0.22978590428829193,0.28015783429145813,0.2760854661464691,0.5833380818367004,0.1543388068675995,0.6920650005340576,0.1569351702928543,0.2059352546930313,0.23977136611938477,0.1899385005235672
cell,0.19222842156887054,0.20075704157352448,0.18332023918628693,1.0000001192092896,0.13489265739917755,0.4420609176158905,0.19595098495483398,0.17212311923503876,0.10200532525777817,0.2058541625738144
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.17534321546554565,0.3015086054801941,0.2951468527317047,0.20928232371807098,0.3431144952774048,0.26431804895401,0.31091248989105225
either,0.3851809501647949,0.32395800948143005,0.24225673079490662,0.2364380806684494,0.27443668246269226,0.28975412249565125,0.276201456785202,0.29464659094810486,0.23855677247047424,0.31498292088508606
