,when,was,the,military-political,complex,reflected,upon,within,the,scope,of,understanding,imperialism,?
their,0.3682888448238373,0.2396296262741089,0.516537070274353,0.24165914952754974,0.23153485357761383,0.28491324186325073,0.26562634110450745,0.2749227285385132,0.516537070274353,0.11014426499605179,0.4329940676689148,0.29997289180755615,0.19113652408123016,0.1898253709077835
combined,0.2209634631872177,0.23431967198848724,0.3713363707065582,0.18219733238220215,0.2621118128299713,0.2676890194416046,0.1778232902288437,0.24910277128219604,0.3713363707065582,0.06318996101617813,0.399336040019989,0.21665672957897186,0.20219041407108307,0.17985320091247559
work,0.2500542998313904,0.24745555222034454,0.2704800069332123,0.2271193116903305,0.2902926802635193,0.22164268791675568,0.1198166087269783,0.1872113049030304,0.2704800069332123,0.15088492631912231,0.23473061621189117,0.408843457698822,0.24147330224514008,0.2621155381202698
informed,0.27032244205474854,0.31833651661872864,0.25312116742134094,0.30433952808380127,0.15632957220077515,0.22794348001480103,0.27140653133392334,0.25186076760292053,0.25312116742134094,0.22308839857578278,0.2258213460445404,0.3504279851913452,0.222764790058136,0.24280300736427307
the,0.5091903209686279,0.48711544275283813,1.0,0.24605801701545715,0.25326284766197205,0.3111802637577057,0.28184252977371216,0.39827480912208557,1.0,0.19500651955604553,0.733189046382904,0.3089916408061981,0.2716025412082672,0.22068053483963013
study,0.2670287787914276,0.18420368432998657,0.2533665597438812,0.22846224904060364,0.26982250809669495,0.2625865638256073,0.11661820858716965,0.21997681260108948,0.2533665597438812,0.20255734026432037,0.29377859830856323,0.4502938389778137,0.2505245506763458,0.15902167558670044
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.3249916732311249,0.24271073937416077,0.2816413640975952,0.3224298357963562,0.39594778418540955,0.733189046382904,0.14044347405433655,1.0,0.31433331966400146,0.29240643978118896,0.1826142966747284
imperialism,0.18709999322891235,0.2349989414215088,0.2716025412082672,0.45392248034477234,0.10853773355484009,0.2886817753314972,0.18223267793655396,0.19579589366912842,0.2716025412082672,0.1655474752187729,0.29240643978118896,0.33957144618034363,1.0,0.14998586475849152
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.3374781906604767,0.2597591280937195,0.2680339217185974,0.2482176125049591,0.35049548745155334,0.5171257257461548,0.15992888808250427,0.5116966962814331,0.34223711490631104,0.19073538482189178,0.20544172823429108
it,0.4775012135505676,0.4577186405658722,0.6251175999641418,0.16993166506290436,0.30943289399147034,0.21738629043102264,0.2216275930404663,0.31596240401268005,0.6251175999641418,0.22927115857601166,0.38761502504348755,0.28101518750190735,0.1997520625591278,0.25732165575027466
's,-0.03368149697780609,0.008974763564765453,-0.01540423184633255,0.04531402513384819,-0.03034111298620701,-0.035999491810798645,-0.10459267348051071,-0.01527355331927538,-0.01540423184633255,-0.015586982481181622,-0.03817026689648628,-0.04039124771952629,0.00493214325979352,-0.023395681753754616
impact,0.1764514297246933,0.23431995511054993,0.22336715459823608,0.21051163971424103,0.23517641425132751,0.2847917377948761,0.23847641050815582,0.21346233785152435,0.22336715459823608,0.24173295497894287,0.21139270067214966,0.2901484966278076,0.20037105679512024,0.18429921567440033
