,what,pope,as,a,native,of,poland,?
john,0.18237407505512238,0.3403037488460541,0.1664888858795166,0.20638683438301086,0.20526620745658875,0.2407056987285614,0.15826362371444702,0.13162356615066528
paul,0.11217030137777328,0.38006865978240967,0.18547500669956207,0.13667120039463043,0.1025228276848793,0.14511796832084656,0.14003609120845795,0.16611461341381073
ii,0.13866674900054932,0.32252994179725647,0.19201211631298065,0.2111874669790268,0.11271893233060837,0.2844806909561157,0.21988123655319214,0.11928234249353409
's,0.02692362666130066,-0.04202478379011154,-0.05775856226682663,0.04866964742541313,0.0551753006875515,-0.03817026689648628,0.010900946334004402,-0.023395681753754616
visits,0.22003546357154846,0.2544599175453186,0.2525905966758728,0.15008759498596191,0.20794808864593506,0.27913424372673035,0.21023039519786835,0.07980519533157349
to,0.455847829580307,0.25680112838745117,0.42092081904411316,0.45503583550453186,0.2832638621330261,0.41548454761505127,0.18661348521709442,0.29463258385658264
his,0.26976513862609863,0.27638018131256104,0.3146366477012634,0.3497250974178314,0.13685289025306702,0.38364991545677185,0.20170632004737854,0.18075084686279297
native,0.19453833997249603,0.12192104756832123,0.22190400958061218,0.22733892500400543,1.0,0.2524676024913788,0.18072780966758728,0.1457047313451767
country,0.22705033421516418,0.18052691221237183,0.2241005152463913,0.20991116762161255,0.29464036226272583,0.28866857290267944,0.2631857395172119,0.12647280097007751
in,0.30808621644973755,0.19509877264499664,0.3887844979763031,0.539380669593811,0.24378694593906403,0.5696388483047485,0.2887791395187378,0.20430970191955566
1979,0.17707666754722595,0.110531285405159,0.24919165670871735,0.18405361473560333,0.3537660539150238,0.2645907700061798,0.10443423688411713,0.09159877151250839
and,0.31309178471565247,0.19122052192687988,0.49487000703811646,0.3739250600337982,0.26731550693511963,0.5116966962814331,0.2642565965652466,0.20544172823429108
1983,0.025786560028791428,0.008182176388800144,0.01639425940811634,0.005996976047754288,0.12277300655841827,0.0639224499464035,0.03871309384703636,0.09926492720842361
brought,0.26212388277053833,0.190264031291008,0.2719915211200714,0.2422461211681366,0.20425072312355042,0.3339962065219879,0.0790099948644638,0.2339296191930771
support,0.2797985076904297,0.18200549483299255,0.2501060962677002,0.2484646886587143,0.17175444960594177,0.2307697981595993,0.15773992240428925,0.22626608610153198
to,0.455847829580307,0.25680112838745117,0.42092081904411316,0.45503583550453186,0.2832638621330261,0.41548454761505127,0.18661348521709442,0.29463258385658264
the,0.42745697498321533,0.2285010814666748,0.48381632566452026,0.5829201340675354,0.24374492466449738,0.733189046382904,0.24871079623699188,0.22068053483963013
budding,0.26056715846061707,0.2026514708995819,0.28856581449508667,0.2959803342819214,0.1370970904827118,0.2513444125652313,0.007542783860117197,0.19821655750274658
solidarity,0.21004708111286163,0.2333546280860901,0.1662449687719345,0.27160510420799255,0.14689499139785767,0.28507116436958313,0.41258999705314636,0.21046410501003265
movement,0.23934946954250336,0.1741570085287094,0.22513282299041748,0.23380696773529053,0.14975757896900177,0.2662941515445709,0.11113455146551132,0.1423349231481552
and,0.31309178471565247,0.19122052192687988,0.49487000703811646,0.3739250600337982,0.26731550693511963,0.5116966962814331,0.2642565965652466,0.20544172823429108
encouraged,0.23193751275539398,0.24571536481380463,0.23695008456707,0.1961051970720291,0.25488656759262085,0.23735111951828003,0.1955430507659912,0.2192683219909668
the,0.42745697498321533,0.2285010814666748,0.48381632566452026,0.5829201340675354,0.24374492466449738,0.733189046382904,0.24871079623699188,0.22068053483963013
growing,0.20045997202396393,0.12651251256465912,0.21813169121742249,0.26935911178588867,0.22849449515342712,0.3095463812351227,0.12423038482666016,0.10178618133068085
anti-communist,0.1593143343925476,0.35587039589881897,0.19400949776172638,0.2361295074224472,0.18237124383449554,0.2620459794998169,0.333809494972229,0.17045876383781433
fervor,0.35266974568367004,0.12807418406009674,0.28216397762298584,0.24965707957744598,0.1253734529018402,0.21602937579154968,0.14768831431865692,0.21508917212486267
there,0.35085538029670715,0.18109939992427826,0.33535557985305786,0.4214206337928772,0.2220035195350647,0.44397735595703125,0.17934498190879822,0.29405656456947327
.,0.3567904531955719,0.20701080560684204,0.515582263469696,0.50484299659729,0.28723880648612976,0.5352458953857422,0.2872875928878784,0.4130953550338745
