,on,what,date,did,the,first,railway,trip,in,the,world,occur,?
the,0.5107308030128479,0.42745697498321533,0.25333094596862793,0.34736719727516174,1.0,0.49448907375335693,0.2692219316959381,0.2299763560295105,0.6662389636039734,1.0,0.33604270219802856,0.26611819863319397,0.22068053483963013
first,0.3120559751987457,0.28086137771606445,0.2779913544654846,0.33691170811653137,0.49448907375335693,1.0,0.17453445494174957,0.28243494033813477,0.4127444326877594,0.49448907375335693,0.31190985441207886,0.16797398030757904,0.18701928853988647
full-scale,0.2163616120815277,0.26528653502464294,0.25395792722702026,0.1689728945493698,0.25189071893692017,0.2325461208820343,0.26333269476890564,0.12000097334384918,0.25651243329048157,0.25189071893692017,0.2005138248205185,0.22997529804706573,0.24412725865840912
working,0.2811677157878876,0.2846863269805908,0.1029551699757576,0.2788783311843872,0.25857484340667725,0.22763168811798096,0.24390365183353424,0.1770196408033371,0.3062970042228699,0.25857484340667725,0.2526952922344208,0.1262807995080948,0.17154020071029663
railway,0.1921648234128952,0.16704553365707397,0.1448681503534317,0.13646093010902405,0.2692219316959381,0.17453445494174957,1.0,0.147661954164505,0.2326211929321289,0.2692219316959381,0.15220041573047638,0.1293022483587265,0.07994066178798676
steam,0.1939276158809662,0.15672586858272552,0.14747579395771027,0.19902050495147705,0.23105813562870026,0.2210129350423813,0.4340377151966095,0.19086062908172607,0.19852672517299652,0.23105813562870026,0.14963915944099426,0.19261027872562408,0.113324373960495
locomotive,0.1268535554409027,0.13605007529258728,0.13992005586624146,0.07816889882087708,0.22304096817970276,0.16801829636096954,0.562675416469574,0.13217981159687042,0.19649046659469604,0.22304096817970276,0.09237456321716309,0.1224176436662674,0.10199091583490372
was,0.3909217119216919,0.22111038863658905,0.23531168699264526,0.41399896144866943,0.48711544275283813,0.5022147297859192,0.20427824556827545,0.2776995003223419,0.45514053106307983,0.48711544275283813,0.3097524344921112,0.0945671796798706,0.18412111699581146
built,0.1758279800415039,0.1554843783378601,0.16053517162799835,0.2079687863588333,0.2950156033039093,0.28534698486328125,0.33443552255630493,0.1680348515510559,0.25829681754112244,0.2950156033039093,0.25674813985824585,0.10510019212961197,0.09449632465839386
by,0.33887791633605957,0.2455483376979828,0.1930214762687683,0.18574509024620056,0.4408751428127289,0.3877052962779999,0.1736236810684204,0.271188348531723,0.370934396982193,0.4408751428127289,0.22306372225284576,0.10774006694555283,0.17966607213020325
richard,0.20763179659843445,0.19329693913459778,0.11039349436759949,0.17407897114753723,0.2087954580783844,0.21793003380298615,0.17900104820728302,0.2358655333518982,0.23321768641471863,0.2087954580783844,0.24842329323291779,0.12347150593996048,0.15003317594528198
trevithick,0.26824334263801575,0.19898971915245056,0.19755405187606812,0.17673523724079132,0.31533631682395935,0.32800382375717163,0.3499394357204437,0.2557852566242218,0.3304753005504608,0.31533631682395935,0.26725339889526367,0.10348684340715408,0.2125524878501892
in,0.46853652596473694,0.30808621644973755,0.21362407505512238,0.2593238651752472,0.6662389636039734,0.4127444326877594,0.2326211929321289,0.2560811936855316,1.0,0.6662389636039734,0.3038199245929718,0.26916563510894775,0.20430970191955566
the,0.5107308030128479,0.42745697498321533,0.25333094596862793,0.34736719727516174,1.0,0.49448907375335693,0.2692219316959381,0.2299763560295105,0.6662389636039734,1.0,0.33604270219802856,0.26611819863319397,0.22068053483963013
united,0.2703288793563843,0.20036718249320984,0.20559462904930115,0.21137088537216187,0.34367692470550537,0.37439173460006714,0.19810497760772705,0.19105878472328186,0.3938477039337158,0.34367692470550537,0.3110230267047882,0.15641939640045166,0.17266890406608582
kingdom,0.19400489330291748,0.17826133966445923,0.18722014129161835,0.15448923408985138,0.3143408000469208,0.26541364192962646,0.23908944427967072,0.15036360919475555,0.28265801072120667,0.3143408000469208,0.26738956570625305,0.12684616446495056,0.12927088141441345
and,0.4077630043029785,0.31309178471565247,0.21585220098495483,0.34479495882987976,0.5171257257461548,0.3167642652988434,0.19695477187633514,0.28617945313453674,0.4954058527946472,0.5171257257461548,0.3246132433414459,0.2570546269416809,0.20544172823429108
",",0.49057599902153015,0.3087472915649414,0.2279704213142395,0.3015086054801941,0.4933079481124878,0.34503069519996643,0.21531596779823303,0.23607087135314941,0.5201468467712402,0.4933079481124878,0.26091980934143066,0.28566715121269226,0.31091248989105225
on,0.9999999403953552,0.34226128458976746,0.21806180477142334,0.2670976221561432,0.5107308030128479,0.3120559751987457,0.1921648234128952,0.289264440536499,0.46853652596473694,0.5107308030128479,0.22789059579372406,0.21015475690364838,0.2714994251728058
21,-0.02347504533827305,-0.09070611000061035,0.0034489918034523726,-0.051883723586797714,-0.05849577113986015,0.10486142337322235,0.1217486709356308,0.08023624867200851,0.09147433191537857,-0.05849577113986015,0.07056166231632233,-0.07803954184055328,-0.01186173316091299
