,what,is,one,of,the,most,dangerous,occupations,in,the,world,?
construction,0.20329850912094116,0.2135658711194992,0.19456154108047485,0.2815735340118408,0.2671978175640106,0.1613602638244629,0.07622390240430832,0.186648428440094,0.3031303882598877,0.2671978175640106,0.20556379854679108,0.13494056463241577
is,0.28837618231773376,1.0,0.4544198513031006,0.4854315221309662,0.5823672413825989,0.41165053844451904,0.20405203104019165,0.12258727103471756,0.5394441485404968,0.5823672413825989,0.24458536505699158,0.22961433231830597
one,0.376489520072937,0.4544198513031006,1.0000001192092896,0.4999135136604309,0.5514441132545471,0.5404669642448425,0.29388242959976196,0.17221210896968842,0.4129433035850525,0.5514441132545471,0.36872437596321106,0.2673267424106598
of,0.33290785551071167,0.4854315221309662,0.4999135136604309,1.0,0.733189046382904,0.4178851246833801,0.2242710292339325,0.24227683246135712,0.5696388483047485,0.733189046382904,0.2828933000564575,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.733189046382904,1.0,0.47635307908058167,0.22045794129371643,0.2159346491098404,0.6662389636039734,1.0,0.33604270219802856,0.22068053483963013
most,0.3219912350177765,0.41165053844451904,0.5404669642448425,0.4178851246833801,0.47635307908058167,1.0,0.3688642978668213,0.21625588834285736,0.41416558623313904,0.47635307908058167,0.33157554268836975,0.2107497900724411
dangerous,0.26611804962158203,0.20405203104019165,0.29388242959976196,0.2242710292339325,0.22045794129371643,0.3688642978668213,1.0,0.14449435472488403,0.22730807960033417,0.22045794129371643,0.2640964984893799,0.18417835235595703
occupations,0.18904337286949158,0.12258727103471756,0.17221210896968842,0.24227683246135712,0.2159346491098404,0.21625588834285736,0.14449435472488403,1.0,0.18554280698299408,0.2159346491098404,0.25047263503074646,0.13543857634067535
in,0.30808621644973755,0.5394441485404968,0.4129433035850525,0.5696388483047485,0.6662389636039734,0.41416558623313904,0.22730807960033417,0.18554280698299408,1.0,0.6662389636039734,0.3038199245929718,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.733189046382904,1.0,0.47635307908058167,0.22045794129371643,0.2159346491098404,0.6662389636039734,1.0,0.33604270219802856,0.22068053483963013
world,0.21669597923755646,0.24458536505699158,0.36872437596321106,0.2828933000564575,0.33604270219802856,0.33157554268836975,0.2640964984893799,0.25047263503074646,0.3038199245929718,0.33604270219802856,1.0000001192092896,0.17579582333564758
",",0.3087472915649414,0.4691906273365021,0.3696635365486145,0.4946078956127167,0.4933079481124878,0.3636029064655304,0.2654121220111847,0.26938554644584656,0.5201468467712402,0.4933079481124878,0.26091980934143066,0.31091248989105225
incurring,0.2780252695083618,0.18840110301971436,0.27155011892318726,0.323620080947876,0.3305490016937256,0.25334152579307556,0.31172975897789,0.257296621799469,0.3365251123905182,0.3305490016937256,0.18467864394187927,0.1817210167646408
more,0.3484537899494171,0.2946030795574188,0.42017561197280884,0.30478984117507935,0.39758381247520447,0.5395737886428833,0.33645549416542053,0.1532139629125595,0.32563260197639465,0.39758381247520447,0.2228250652551651,0.27894994616508484
occupational,0.19267335534095764,0.1432134360074997,0.16255630552768707,0.26960793137550354,0.1973530650138855,0.18950176239013672,0.14838026463985443,0.9268108606338501,0.20106375217437744,0.1973530650138855,0.23310381174087524,0.12401652336120605
fatalities,0.15725281834602356,0.12247009575366974,0.25272178649902344,0.20603641867637634,0.23251937329769135,0.20099028944969177,0.25710946321487427,0.2565823793411255,0.20886746048927307,0.23251937329769135,0.1684333235025406,0.15340906381607056
than,0.29388150572776794,0.2839990258216858,0.43810948729515076,0.33036211133003235,0.3227543234825134,0.42108985781669617,0.260864794254303,0.17693796753883362,0.3270052373409271,0.3227543234825134,0.19279077649116516,0.24917294085025787
any,0.43670421838760376,0.35691767930984497,0.47406086325645447,0.3769088089466095,0.4525727927684784,0.3733811676502228,0.31034374237060547,0.27986863255500793,0.3135753571987152,0.4525727927684784,0.2628823220729828,0.4113408327102661
other,0.341873437166214,0.25895947217941284,0.45956575870513916,0.38583824038505554,0.44152235984802246,0.4585079252719879,0.26822105050086975,0.27815431356430054,0.39989137649536133,0.44152235984802246,0.2941931188106537,0.24682199954986572
sector,0.18244388699531555,0.22561627626419067,0.2231963872909546,0.23412683606147766,0.27798449993133545,0.20027098059654236,0.09578031301498413,0.3012049198150635,0.2731133699417114,0.27798449993133545,0.2611820101737976,0.06294605135917664
in,0.30808621644973755,0.5394441485404968,0.4129433035850525,0.5696388483047485,0.6662389636039734,0.41416558623313904,0.22730807960033417,0.18554280698299408,1.0,0.6662389636039734,0.3038199245929718,0.20430970191955566
both,0.3361809551715851,0.31409940123558044,0.4734871983528137,0.3565710783004761,0.4931981563568115,0.4521110951900482,0.20266999304294586,0.16653913259506226,0.3960166871547699,0.4931981563568115,0.26140326261520386,0.19455738365650177
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.733189046382904,1.0,0.47635307908058167,0.22045794129371643,0.2159346491098404,0.6662389636039734,1.0,0.33604270219802856,0.22068053483963013
