,who,lives,no,longer,on,average,than,greeks,and,new,zealanders,?
this,0.3345087468624115,0.15256580710411072,0.47783583402633667,0.45648688077926636,0.4193967580795288,0.25635799765586853,0.42539164423942566,0.22674590349197388,0.42353692650794983,0.3234144449234009,0.20434996485710144,0.3155723512172699
pattern,0.16572581231594086,0.10636773705482483,0.168787881731987,0.22676420211791992,0.15766438841819763,0.20664645731449127,0.1712728887796402,0.12161064893007278,0.18427002429962158,0.16597244143486023,0.07381156086921692,0.20064511895179749
of,0.2827862501144409,0.28370368480682373,0.24809792637825012,0.2788179814815521,0.3966929316520691,0.23717734217643738,0.33036211133003235,0.22066986560821533,0.5116966962814331,0.343457967042923,0.19627799093723297,0.1826142966747284
higher,0.20071525871753693,0.15355445444583893,0.24088822305202484,0.36080700159072876,0.22620901465415955,0.3193044662475586,0.4844343364238739,0.09068544209003448,0.3147866129875183,0.19019809365272522,0.09567483514547348,0.15679465234279633
incomes-longer,0.2968146502971649,0.17618048191070557,0.36183446645736694,0.5881618857383728,0.2757650911808014,0.44884344935417175,0.4467247724533081,0.22888857126235962,0.36834704875946045,0.21563342213630676,0.2010568231344223,0.29923033714294434
lives,0.29557937383651733,0.9999998807907104,0.11293428391218185,0.11663652211427689,0.20901191234588623,0.18764188885688782,0.2369082272052765,0.18227528035640717,0.27047020196914673,0.207248255610466,0.2364129275083542,0.15810374915599823
still,0.3870375156402588,0.19123150408267975,0.3473815619945526,0.4857809841632843,0.317820280790329,0.16324885189533234,0.32367661595344543,0.21490515768527985,0.37647393345832825,0.19897222518920898,0.1835855096578598,0.3039587736129761
holds,0.15431830286979675,0.2049078792333603,0.15739402174949646,0.17113828659057617,0.20371639728546143,0.1806335300207138,0.21714429557323456,0.11620628833770752,0.2242596447467804,0.12125631421804428,0.17155185341835022,0.11379207670688629
among,0.32480236887931824,0.14503440260887146,0.16469359397888184,0.1973550021648407,0.2041729986667633,0.20357969403266907,0.2639242112636566,0.17824207246303558,0.39211368560791016,0.1640370488166809,0.19296325743198395,0.14343059062957764
poorer,0.35233423113822937,0.23256118595600128,0.16789954900741577,0.31180018186569214,0.13320448994636536,0.28687191009521484,0.3480372130870819,0.1924784779548645,0.3194812536239624,0.15515510737895966,0.21308302879333496,0.14399310946464539
countries,0.3002627491950989,0.1680593341588974,0.16044752299785614,0.19737066328525543,0.2938643991947174,0.1647624522447586,0.28124192357063293,0.24395771324634552,0.37200918793678284,0.1453324258327484,0.28551071882247925,0.15128466486930847
",",0.3365725874900818,0.32538965344429016,0.29972612857818604,0.2897856831550598,0.49057599902153015,0.23098047077655792,0.3371901512145996,0.21010330319404602,0.6633074283599854,0.36073189973831177,0.2592828869819641,0.31091248989105225
where,0.41804537177085876,0.27085697650909424,0.26967066526412964,0.2740904986858368,0.37630224227905273,0.15665778517723083,0.2726525366306305,0.23585297167301178,0.43859338760375977,0.26026442646980286,0.20493528246879578,0.24793872237205505
life,0.2577245533466339,0.4799027144908905,0.138033926486969,0.23092731833457947,0.19639495015144348,0.24333685636520386,0.2590208947658539,0.15778838098049164,0.26095253229141235,0.20839716494083405,0.1881505846977234,0.21677987277507782
expectancy,0.20800960063934326,0.27110305428504944,0.23752948641777039,0.32751038670539856,0.18660597503185272,0.44118526577949524,0.3990919888019562,0.16422291100025177,0.2797418236732483,0.14481998980045319,0.1550138294696808,0.1959744244813919
