,which,major,cities,in,eastern,europe,were,not,destroyed,by,the,mongol,invasion,?
over,0.4256240129470825,0.20897988975048065,0.19113869965076447,0.3605569899082184,0.25646400451660156,0.3086998760700226,0.30589473247528076,0.2890527844429016,0.2909649908542633,0.29360154271125793,0.39856547117233276,0.20371398329734802,0.26314446330070496,0.25742942094802856
the,0.6521818041801453,0.31775903701782227,0.2621172070503235,0.6662389636039734,0.3928247392177582,0.34463706612586975,0.3906462490558624,0.4310511648654938,0.3403017520904541,0.4408751428127289,1.0,0.2924198508262634,0.32296645641326904,0.22068053483963013
course,0.34200045466423035,0.23554056882858276,0.12794052064418793,0.27132725715637207,0.15788722038269043,0.15840421617031097,0.16469509899616241,0.35158511996269226,0.16934393346309662,0.22359874844551086,0.32268625497817993,0.19850146770477295,0.2288162261247635,0.28826573491096497
of,0.5011631846427917,0.2641255557537079,0.29528072476387024,0.5696388483047485,0.33281487226486206,0.29299741983413696,0.34038281440734863,0.3307090103626251,0.27498680353164673,0.3646814823150635,0.733189046382904,0.22712039947509766,0.256956547498703,0.1826142966747284
three,0.40919098258018494,0.2582734227180481,0.20731064677238464,0.34828072786331177,0.21739931404590607,0.19768020510673523,0.38429051637649536,0.24090014398097992,0.21112746000289917,0.28754812479019165,0.43452659249305725,0.11317836493253708,0.18636685609817505,0.20928427577018738
years,0.23232990503311157,0.18502649664878845,0.1702466607093811,0.33554986119270325,0.16101300716400146,0.26117831468582153,0.3048669695854187,0.2464347630739212,0.21992817521095276,0.19883383810520172,0.2912273406982422,0.1286134570837021,0.17435744404792786,0.1914375126361847
",",0.3658004403114319,0.29355156421661377,0.31927579641342163,0.5201468467712402,0.3081906735897064,0.2542513906955719,0.36755475401878357,0.3769696354866028,0.26472628116607666,0.3680937886238098,0.4933079481124878,0.2229510098695755,0.19455376267433167,0.31091248989105225
the,0.6521818041801453,0.31775903701782227,0.2621172070503235,0.6662389636039734,0.3928247392177582,0.34463706612586975,0.3906462490558624,0.4310511648654938,0.3403017520904541,0.4408751428127289,1.0,0.2924198508262634,0.32296645641326904,0.22068053483963013
mongols,0.23739531636238098,0.2030678391456604,0.28111764788627625,0.22694018483161926,0.27526065707206726,0.266564279794693,0.3104121685028076,0.16677899658679962,0.3753162920475006,0.233955517411232,0.310281366109848,0.905461847782135,0.41816478967666626,0.11517509818077087
destroyed,0.3071635365486145,0.18259195983409882,0.2104371041059494,0.3248254656791687,0.25906041264533997,0.21508140861988068,0.3411653935909271,0.2088412195444107,1.0,0.3162408173084259,0.3403017520904541,0.2934064269065857,0.35282042622566223,0.10318030416965485
and,0.506277859210968,0.29795366525650024,0.292957067489624,0.4954058527946472,0.22891712188720703,0.3463572859764099,0.42175528407096863,0.39099299907684326,0.2592630386352539,0.4289871156215668,0.5171257257461548,0.21553155779838562,0.2170204222202301,0.20544172823429108
annihilated,0.3600389361381531,0.13234904408454895,0.17066065967082977,0.22453902661800385,0.15062572062015533,0.1635180562734604,0.28125,0.2656621038913727,0.2932300865650177,0.2777024507522583,0.29267963767051697,0.22571709752082825,0.26525864005088806,0.09973606467247009
