,what,is,the,largest,stadium,in,australia,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.21145665645599365,0.6662389636039734,0.26828548312187195,0.22068053483963013
melbourne,0.10823550075292587,0.14877618849277496,0.2464369535446167,0.17848065495491028,0.2558762729167938,0.21059004962444305,0.6183432340621948,0.09101688116788864
cricket,0.16916127502918243,0.18039685487747192,0.20877817273139954,0.14629237353801727,0.2903859615325928,0.18341192603111267,0.3204813003540039,0.1368326097726822
ground,0.20688746869564056,0.2406253069639206,0.25776049494743347,0.2399158924818039,0.39165353775024414,0.20377106964588165,0.18260130286216736,0.11401822417974472
is,0.28837618231773376,1.0,0.5823672413825989,0.3413417339324951,0.18311816453933716,0.5394441485404968,0.1734699010848999,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.21145665645599365,0.6662389636039734,0.26828548312187195,0.22068053483963013
largest,0.13463157415390015,0.3413417339324951,0.3757036626338959,0.9999999403953552,0.2649334967136383,0.3017216920852661,0.23721256852149963,0.12401245534420013
stadium,0.12456028908491135,0.18311816453933716,0.21145665645599365,0.2649334967136383,1.0,0.21361783146858215,0.14926154911518097,0.07579939067363739
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.3017216920852661,0.21361783146858215,1.0,0.2697675824165344,0.20430970191955566
australia,0.1913539320230484,0.1734699010848999,0.26828548312187195,0.23721256852149963,0.14926154911518097,0.2697675824165344,1.0,0.15702682733535767
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.26626327633857727,0.2056228220462799,0.5201468467712402,0.22314006090164185,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.24602696299552917,0.11777293682098389,0.4954058527946472,0.2804507613182068,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.21145665645599365,0.6662389636039734,0.26828548312187195,0.22068053483963013
host,0.12779991328716278,0.18300022184848785,0.26909032464027405,0.20007222890853882,0.24011856317520142,0.21661671996116638,0.1397964358329773,0.1021634042263031
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.36650770902633667,0.17126937210559845,0.5696388483047485,0.2669609785079956,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.21145665645599365,0.6662389636039734,0.26828548312187195,0.22068053483963013
1956,0.1479085087776184,0.05727637931704521,0.0733926072716713,-0.04619905352592468,0.004209507256746292,0.09307657182216644,0.06586690247058868,0.12402702867984772
summer,0.16213102638721466,0.17436888813972473,0.2685571610927582,0.14914460480213165,0.23680490255355835,0.31081318855285645,0.19226795434951782,0.11625723540782928
olympics,0.16770169138908386,0.12306572496891022,0.22065100073814392,0.13902491331100464,0.2828500270843506,0.25125735998153687,0.1642191857099533,0.14495649933815002
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.24602696299552917,0.11777293682098389,0.4954058527946472,0.2804507613182068,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.21145665645599365,0.6662389636039734,0.26828548312187195,0.22068053483963013
2006,-0.0008085015579126775,0.07398132234811783,0.11294147372245789,0.07802020758390427,-0.08549642562866211,-0.04600946605205536,-0.050280459225177765,-0.1194092258810997
commonwealth,0.1751948744058609,0.1592666506767273,0.3297852873802185,0.238133504986763,0.23584190011024475,0.2471591830253601,0.31561052799224854,0.13252873718738556
games,0.1820194572210312,0.17599987983703613,0.2676136791706085,0.1670483648777008,0.3625812530517578,0.24802106618881226,0.12335414439439774,0.1360001415014267
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18871670961380005,0.1958179920911789,0.5591574311256409,0.2899940609931946,0.4130953550338745
,what,is,the,largest,stadium,in,australia,?
culturally,0.25300973653793335,0.21864451467990875,0.2812896966934204,0.22569219768047333,0.15011827647686005,0.23738472163677216,0.19931349158287048,0.13023632764816284
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.26626327633857727,0.2056228220462799,0.5201468467712402,0.22314006090164185,0.31091248989105225
melbourne,0.10823550075292587,0.14877618849277496,0.2464369535446167,0.17848065495491028,0.2558762729167938,0.21059004962444305,0.6183432340621948,0.09101688116788864
is,0.28837618231773376,1.0,0.5823672413825989,0.3413417339324951,0.18311816453933716,0.5394441485404968,0.1734699010848999,0.22961433231830597
home,0.1608789712190628,0.22316986322402954,0.28978195786476135,0.22477854788303375,0.38122737407684326,0.30467477440834045,0.1754150688648224,0.0757145956158638
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.18687231838703156,0.2075904905796051,0.45010748505592346,0.24799345433712006,0.29463258385658264
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.24042341113090515,0.14596018195152283,0.539380669593811,0.17524918913841248,0.23916715383529663
number,0.23046229779720306,0.22390379011631012,0.35145696997642517,0.2101866453886032,0.08947306126356125,0.3024539053440094,0.21465371549129486,0.19256845116615295
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.36650770902633667,0.17126937210559845,0.5696388483047485,0.2669609785079956,0.1826142966747284
