,who,made,ralph,earl,?
even,0.33644744753837585,0.28518611192703247,0.13044311106204987,0.2162940949201584,0.30082517862319946
before,0.31244513392448425,0.26538217067718506,0.07655056565999985,0.22487567365169525,0.2507109045982361
the,0.3733934462070465,0.3885267674922943,0.1921381652355194,0.19712300598621368,0.22068053483963013
norman,0.18241798877716064,0.14440153539180756,0.2986169457435608,0.3106183409690857,0.12243545055389404
conquest,0.17077717185020447,0.15072500705718994,0.12122765183448792,0.23505878448486328,0.12928934395313263
of,0.2827862501144409,0.33167365193367004,0.20447495579719543,0.21531644463539124,0.1826142966747284
england,0.23733465373516083,0.1994142383337021,0.20130781829357147,0.3284997045993805,0.13436897099018097
",",0.3365725874900818,0.32507219910621643,0.23141761124134064,0.2696986794471741,0.31091248989105225
the,0.3733934462070465,0.3885267674922943,0.1921381652355194,0.19712300598621368,0.22068053483963013
normans,0.20534200966358185,0.20673061907291412,0.18068577349185944,0.27889305353164673,0.12354589998722076
had,0.36173108220100403,0.3391602039337158,0.16406579315662384,0.1943148374557495,0.20728366076946259
come,0.2822050154209137,0.29641416668891907,0.15118828415870667,0.17527271807193756,0.22318024933338165
into,0.16956904530525208,0.30376607179641724,0.10291395336389542,0.12135624140501022,0.15662476420402527
contact,0.2814873456954956,0.2097882181406021,0.11600127071142197,0.02845495566725731,0.2231319397687912
with,0.3282766342163086,0.3459964990615845,0.16342200338840485,0.15285050868988037,0.2433311939239502
wales,0.21292947232723236,0.2037380486726761,0.18128210306167603,0.21556469798088074,0.15627945959568024
.,0.3541337847709656,0.4032190144062042,0.2132580727338791,0.2329305112361908,0.4130953550338745
