,what,kind,of,death,did,luther,say,the,revolting,peasants,deserve,?
second,0.19948028028011322,0.15169115364551544,0.353416383266449,0.1861574500799179,0.20727969706058502,0.094020314514637,0.18038687109947205,0.4620301127433777,0.14562390744686127,0.17027652263641357,0.13622567057609558,0.17239587008953094
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.2070959210395813,0.3015086054801941,0.23255878686904907,0.35129812359809875,0.4933079481124878,0.21471624076366425,0.23394730687141418,0.25263288617134094,0.31091248989105225
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.21438048779964447,0.34736719727516174,0.1759674996137619,0.3200206458568573,1.0,0.2655515968799591,0.29513445496559143,0.22725093364715576,0.22068053483963013
violent,0.20861265063285828,0.18254347145557404,0.23184357583522797,0.23115405440330505,0.19326645135879517,0.17912812530994415,0.22102712094783783,0.24589063227176666,0.3899751305580139,0.30052992701530457,0.22885121405124664,0.1652229279279709
actions,0.39243605732917786,0.2480732500553131,0.27202147245407104,0.21681815385818481,0.25228872895240784,0.14489246904850006,0.2598494291305542,0.297427237033844,0.2916695475578308,0.2400602400302887,0.36222606897354126,0.2841099798679352
of,0.33290785551071167,0.2285657674074173,1.0,0.23778599500656128,0.2513895630836487,0.1719115972518921,0.30290520191192627,0.733189046382904,0.24284951388835907,0.23470257222652435,0.21395038068294525,0.1826142966747284
rebelling,0.27883273363113403,0.21598678827285767,0.28106942772865295,0.26089560985565186,0.2723926603794098,0.16394570469856262,0.2024517059326172,0.3282667100429535,0.5498160719871521,0.45436784625053406,0.20784030854701996,0.11376654356718063
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.2070959210395813,0.3015086054801941,0.23255878686904907,0.35129812359809875,0.4933079481124878,0.21471624076366425,0.23394730687141418,0.25263288617134094,0.31091248989105225
robbing,0.17817208170890808,0.2077101469039917,0.1812426894903183,0.1974474936723709,0.2238362431526184,0.19484588503837585,0.2120499610900879,0.22424116730690002,0.3417956531047821,0.21354983747005463,0.1976102888584137,0.18433897197246552
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.2070959210395813,0.3015086054801941,0.23255878686904907,0.35129812359809875,0.4933079481124878,0.21471624076366425,0.23394730687141418,0.25263288617134094,0.31091248989105225
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.1816639006137848,0.34479495882987976,0.20796556770801544,0.3314565122127533,0.5171257257461548,0.205049067735672,0.25373342633247375,0.25460484623908997,0.20544172823429108
