,what,body,of,water,sat,to,the,west,of,the,mongol,empire,when,genghis,khan,died,?
at,0.2838611304759979,0.13802476227283478,0.42558613419532776,0.14569826424121857,0.24354471266269684,0.36524343490600586,0.457212895154953,0.24495752155780792,0.42558613419532776,0.457212895154953,0.1027381643652916,0.18196320533752441,0.38876327872276306,0.17962470650672913,0.15931449830532074,0.27932441234588623,0.21978627145290375
the,0.42745697498321533,0.31682634353637695,0.733189046382904,0.297396719455719,0.190852552652359,0.535392165184021,1.0,0.32918402552604675,0.733189046382904,1.0,0.2924198508262634,0.32532164454460144,0.5091903209686279,0.3448939025402069,0.21067845821380615,0.18710990250110626,0.22068053483963013
time,0.36319252848625183,0.22374941408634186,0.35127586126327515,0.17461134493350983,0.20354466140270233,0.3679993152618408,0.43061500787734985,0.1527537703514099,0.35127586126327515,0.43061500787734985,0.20482605695724487,0.2678830027580261,0.4363728165626526,0.2322276532649994,0.15561453998088837,0.22270911931991577,0.27391523122787476
of,0.33290785551071167,0.25063133239746094,1.0,0.2741255462169647,0.161526158452034,0.41548454761505127,0.733189046382904,0.2891985774040222,1.0,0.733189046382904,0.22712039947509766,0.30522286891937256,0.3757161796092987,0.2938849925994873,0.17124508321285248,0.25637882947921753,0.1826142966747284
his,0.26976513862609863,0.2533397674560547,0.38364991545677185,0.1462479829788208,0.1932549774646759,0.3715193271636963,0.4394008219242096,0.21003775298595428,0.38364991545677185,0.4394008219242096,0.22059163451194763,0.22914105653762817,0.37120407819747925,0.3744826912879944,0.26570460200309753,0.38025936484336853,0.18075084686279297
death,0.2267695665359497,0.21721474826335907,0.23778599500656128,0.1371174156665802,0.20847737789154053,0.19568277895450592,0.21438048779964447,0.10020266473293304,0.23778599500656128,0.21438048779964447,0.13959760963916779,0.15863066911697388,0.21254116296768188,0.28730303049087524,0.14168724417686462,0.49539607763290405,0.21149799227714539
",",0.3087472915649414,0.22437527775764465,0.4946078956127167,0.26706066727638245,0.13988181948661804,0.44245919585227966,0.4933079481124878,0.28857502341270447,0.4946078956127167,0.4933079481124878,0.2229510098695755,0.27646857500076294,0.36674630641937256,0.2891939878463745,0.19700400531291962,0.36026471853256226,0.31091248989105225
the,0.42745697498321533,0.31682634353637695,0.733189046382904,0.297396719455719,0.190852552652359,0.535392165184021,1.0,0.32918402552604675,0.733189046382904,1.0,0.2924198508262634,0.32532164454460144,0.5091903209686279,0.3448939025402069,0.21067845821380615,0.18710990250110626,0.22068053483963013
mongol,0.15870186686515808,0.10533343255519867,0.22712039947509766,0.13671711087226868,0.14021669328212738,0.2125127911567688,0.2924198508262634,0.16340303421020508,0.22712039947509766,0.2924198508262634,1.0000001192092896,0.45230501890182495,0.17596986889839172,0.6244974732398987,0.5576101541519165,0.22795066237449646,0.12849251925945282
empire,0.21723191440105438,0.11914103478193283,0.30522286891937256,0.11108239740133286,0.0926225408911705,0.21448755264282227,0.32532164454460144,0.2464679777622223,0.30522286891937256,0.32532164454460144,0.45230501890182495,1.0000001192092896,0.18422111868858337,0.42237505316734314,0.38083162903785706,0.19949258863925934,0.14909450709819794
stretched,0.2521561086177826,0.28229254484176636,0.29634585976600647,0.2838580012321472,0.20878547430038452,0.27465128898620605,0.3302689790725708,0.23767060041427612,0.29634585976600647,0.3302689790725708,0.1651298850774765,0.2798643410205841,0.31579330563545227,0.19547493755817413,0.08600542694330215,0.1904889941215515,0.13039647042751312
from,0.2737620174884796,0.16964858770370483,0.4249346852302551,0.197988361120224,0.13451768457889557,0.4069952368736267,0.40150508284568787,0.2389117330312729,0.4249346852302551,0.40150508284568787,0.2123146951198578,0.19878821074962616,0.405669629573822,0.19071364402770996,0.10581372678279877,0.2637850046157837,0.19969791173934937
the,0.42745697498321533,0.31682634353637695,0.733189046382904,0.297396719455719,0.190852552652359,0.535392165184021,1.0,0.32918402552604675,0.733189046382904,1.0,0.2924198508262634,0.32532164454460144,0.5091903209686279,0.3448939025402069,0.21067845821380615,0.18710990250110626,0.22068053483963013
caspian,0.13380584120750427,0.18799740076065063,0.23781856894493103,0.3017701804637909,0.20628614723682404,0.2237672507762909,0.30350741744041443,0.31234967708587646,0.23781856894493103,0.30350741744041443,0.4398603141307831,0.26964113116264343,0.1873561590909958,0.4340914487838745,0.3444531559944153,0.18319281935691833,0.10965590178966522
sea,0.19525039196014404,0.19253990054130554,0.2707739472389221,0.38078996539115906,0.20470976829528809,0.2749888300895691,0.30363768339157104,0.2768797278404236,0.2707739472389221,0.30363768339157104,0.19492629170417786,0.2750125825405121,0.20553374290466309,0.24159927666187286,0.14943081140518188,0.17289069294929504,0.15551945567131042
to,0.455847829580307,0.307265043258667,0.41548454761505127,0.27858173847198486,0.19980303943157196,1.0,0.535392165184021,0.24611181020736694,0.41548454761505127,0.535392165184021,0.2125127911567688,0.21448755264282227,0.5423505902290344,0.2294713407754898,0.18221943080425262,0.15773509442806244,0.29463258385658264
the,0.42745697498321533,0.31682634353637695,0.733189046382904,0.297396719455719,0.190852552652359,0.535392165184021,1.0,0.32918402552604675,0.733189046382904,1.0,0.2924198508262634,0.32532164454460144,0.5091903209686279,0.3448939025402069,0.21067845821380615,0.18710990250110626,0.22068053483963013
sea,0.19525039196014404,0.19253990054130554,0.2707739472389221,0.38078996539115906,0.20470976829528809,0.2749888300895691,0.30363768339157104,0.2768797278404236,0.2707739472389221,0.30363768339157104,0.19492629170417786,0.2750125825405121,0.20553374290466309,0.24159927666187286,0.14943081140518188,0.17289069294929504,0.15551945567131042
of,0.33290785551071167,0.25063133239746094,1.0,0.2741255462169647,0.161526158452034,0.41548454761505127,0.733189046382904,0.2891985774040222,1.0,0.733189046382904,0.22712039947509766,0.30522286891937256,0.3757161796092987,0.2938849925994873,0.17124508321285248,0.25637882947921753,0.1826142966747284
japan,0.1865565925836563,0.12732897698879242,0.2358245700597763,0.15715950727462769,0.12297150492668152,0.24116237461566925,0.22735914587974548,0.16390475630760193,0.2358245700597763,0.22735914587974548,0.31163135170936584,0.25211048126220703,0.16531987488269806,0.29811251163482666,0.2093915492296219,0.1615956872701645,0.1312343180179596
.,0.3567904531955719,0.29751062393188477,0.5352458953857422,0.26634910702705383,0.18873609602451324,0.4645031690597534,0.5934505462646484,0.2804967761039734,0.5352458953857422,0.5934505462646484,0.16751837730407715,0.2811720371246338,0.475719153881073,0.25373268127441406,0.19819748401641846,0.24093139171600342,0.4130953550338745
