,the,issues,of,what,era,did,tesla,'s,article,talk,about,?
tesla,0.1324402391910553,0.14424321055412292,0.18837453424930573,0.23221199214458466,0.18346242606639862,0.09757418930530548,0.9999999403953552,0.06449045985937119,0.14590303599834442,0.1718684434890747,0.16756023466587067,0.10250775516033173
made,0.3885267674922943,0.1733473390340805,0.33167365193367004,0.23419176042079926,0.17925412952899933,0.3068731725215912,0.1893712431192398,0.08483956009149551,0.180598646402359,0.19286857545375824,0.28390374779701233,0.17218779027462006
predictions,0.20457418262958527,0.29880040884017944,0.19317744672298431,0.3314186632633209,0.09797464311122894,0.30961158871650696,0.1469275802373886,0.014378700405359268,0.25807663798332214,0.24472996592521667,0.2302611917257309,0.2019030749797821
about,0.37995871901512146,0.2578675150871277,0.40939709544181824,0.47976887226104736,0.14576132595539093,0.28723078966140747,0.16756023466587067,-0.020936643704771996,0.34003353118896484,0.29165613651275635,1.0,0.302409827709198
the,1.0,0.2638932764530182,0.733189046382904,0.42745697498321533,0.266272634267807,0.34736719727516174,0.1324402391910553,-0.01540423184633255,0.3329811692237854,0.2565208673477173,0.37995871901512146,0.22068053483963013
relevant,0.3216378390789032,0.3972325921058655,0.27652084827423096,0.41105255484580994,0.14049115777015686,0.22136782109737396,0.19439545273780823,0.029982518404722214,0.5769712328910828,0.46745359897613525,0.31930094957351685,0.37889617681503296
issues,0.2638932764530182,1.0,0.2288406491279602,0.33279702067375183,0.14295226335525513,0.22840259969234467,0.14424321055412292,-0.05637482926249504,0.43865376710891724,0.399120032787323,0.2578675150871277,0.320565789937973
of,0.733189046382904,0.2288406491279602,1.0,0.33290785551071167,0.20396220684051514,0.2513895630836487,0.18837453424930573,-0.03817026689648628,0.25720444321632385,0.15524029731750488,0.40939709544181824,0.1826142966747284
a,0.5829201340675354,0.24391965568065643,0.5052502155303955,0.3320399522781372,0.1276342272758484,0.2552328109741211,0.2211925983428955,0.04866964742541313,0.30913418531417847,0.23299653828144073,0.34171196818351746,0.23916715383529663
post-world,0.3463971018791199,0.23097048699855804,0.30483901500701904,0.24623875319957733,0.32221949100494385,0.20459261536598206,0.2564150393009186,0.09929411858320236,0.2777712643146515,0.27089908719062805,0.22650596499443054,0.26380255818367004
war,0.366199791431427,0.24186737835407257,0.31680163741111755,0.22516006231307983,0.2639199495315552,0.27422013878822327,0.15806899964809418,0.06856801360845566,0.1842338740825653,0.15442252159118652,0.19373086094856262,0.15510529279708862
i,0.26687872409820557,0.3648567795753479,0.25849398970603943,0.4411132335662842,0.12004292011260986,0.32301032543182373,0.21594347059726715,0.09143294394016266,0.4937412440776825,0.4188828766345978,0.2983403205871582,0.4695145785808563
environment,0.25819888710975647,0.2446272075176239,0.2659151554107666,0.213022843003273,0.13402192294597626,0.10747723281383514,0.12933023273944855,0.00273244665004313,0.17377544939517975,0.2131134271621704,0.2525140345096588,0.19478057324886322
in,0.6662389636039734,0.17748555541038513,0.5696388483047485,0.30808621644973755,0.19679902493953705,0.2593238651752472,0.17097744345664978,-0.037580832839012146,0.26153311133384705,0.18162277340888977,0.39797019958496094,0.20430970191955566
a,0.5829201340675354,0.24391965568065643,0.5052502155303955,0.3320399522781372,0.1276342272758484,0.2552328109741211,0.2211925983428955,0.04866964742541313,0.30913418531417847,0.23299653828144073,0.34171196818351746,0.23916715383529663
printed,0.25742077827453613,0.19832120835781097,0.21046876907348633,0.2500266134738922,0.12271861732006073,0.2187381237745285,0.22856250405311584,0.05069957301020622,0.22684140503406525,0.17041589319705963,0.19425731897354126,0.1726173758506775
article,0.3329811692237854,0.43865376710891724,0.25720444321632385,0.40514686703681946,0.14837601780891418,0.27629354596138,0.14590303599834442,-0.02360285259783268,0.9999999403953552,0.5616883635520935,0.34003353118896484,0.4948462247848511
",",0.4933079481124878,0.2560703754425049,0.4946078956127167,0.3087472915649414,0.19162635505199432,0.3015086054801941,0.20599327981472015,-0.0016132977325469255,0.28605279326438904,0.29342958331108093,0.3877100944519043,0.31091248989105225
``,0.029072100296616554,0.07185427844524384,0.06780257821083069,0.008517155423760414,0.04220643267035484,-0.029888948425650597,0.04274534806609154,-0.03416389226913452,0.025853512808680534,0.07602991163730621,0.008102871477603912,0.0685480609536171
science,0.24037593603134155,0.25750136375427246,0.2616958022117615,0.2612018585205078,0.1732613742351532,0.14819081127643585,0.217654287815094,0.03909866884350777,0.22676078975200653,0.2580063045024872,0.2836332619190216,0.17974960803985596
