,what,has,a,classification,system,for,construction,companies,?
the,0.42745697498321533,0.4177538752555847,0.5829201340675354,0.24193404614925385,0.3233085572719574,0.4739971458911896,0.2671978175640106,0.26917189359664917,0.22068053483963013
standard,0.22809998691082,0.12612733244895935,0.2876655161380768,0.28840309381484985,0.26294171810150146,0.3173719346523285,0.13010965287685394,0.2560451030731201,0.17029257118701935
industrial,0.16054853796958923,0.24484694004058838,0.26465731859207153,0.12584221363067627,0.16573113203048706,0.2770422399044037,0.3859542906284332,0.4027310311794281,0.08039500564336777
classification,0.21176548302173615,0.19395223259925842,0.22508536279201508,0.9999999403953552,0.32720381021499634,0.176555797457695,0.1382022649049759,0.1314646601676941,0.18204113841056824
and,0.31309178471565247,0.43716782331466675,0.3739250600337982,0.19051122665405273,0.231138214468956,0.5064792633056641,0.22762417793273926,0.2527635991573334,0.20544172823429108
the,0.42745697498321533,0.4177538752555847,0.5829201340675354,0.24193404614925385,0.3233085572719574,0.4739971458911896,0.2671978175640106,0.26917189359664917,0.22068053483963013
newer,0.2718621790409088,0.26728153228759766,0.25137609243392944,0.22971680760383606,0.3208046555519104,0.23432250320911407,0.20455224812030792,0.24323871731758118,0.15615598857402802
north,0.18673177063465118,0.21093007922172546,0.25008413195610046,0.11720578372478485,0.17298194766044617,0.17560088634490967,0.2254931777715683,0.1660468727350235,0.11829731613397598
american,0.1909721940755844,0.15494826436042786,0.22026167809963226,0.1498253494501114,0.07066620141267776,0.2306184321641922,0.09638221561908722,0.1615752875804901,0.18877598643302917
industry,0.1966298520565033,0.2697780430316925,0.27788880467414856,0.13154670596122742,0.13111788034439087,0.29360833764076233,0.3407537043094635,0.502448320388794,0.11813290417194366
classification,0.21176548302173615,0.19395223259925842,0.22508536279201508,0.9999999403953552,0.32720381021499634,0.176555797457695,0.1382022649049759,0.1314646601676941,0.18204113841056824
system,0.23557309806346893,0.17706717550754547,0.2589043080806732,0.32720381021499634,1.0000001192092896,0.2630598843097687,0.19686928391456604,0.22963885962963104,0.15556083619594574
have,0.39808809757232666,0.6353569626808167,0.338716596364975,0.25296491384506226,0.27033093571662903,0.41175219416618347,0.1892077475786209,0.21211259067058563,0.32991164922714233
a,0.3320399522781372,0.4670248031616211,1.0,0.22508536279201508,0.2589043080806732,0.44038116931915283,0.25036895275115967,0.24875247478485107,0.23916715383529663
classification,0.21176548302173615,0.19395223259925842,0.22508536279201508,0.9999999403953552,0.32720381021499634,0.176555797457695,0.1382022649049759,0.1314646601676941,0.18204113841056824
system,0.23557309806346893,0.17706717550754547,0.2589043080806732,0.32720381021499634,1.0000001192092896,0.2630598843097687,0.19686928391456604,0.22963885962963104,0.15556083619594574
for,0.3017193675041199,0.450642853975296,0.44038116931915283,0.176555797457695,0.2630598843097687,0.9999999403953552,0.2193669229745865,0.2787042260169983,0.264628142118454
companies,0.20801754295825958,0.1980898678302765,0.24875247478485107,0.1314646601676941,0.22963885962963104,0.2787042260169983,0.25014862418174744,1.0000001192092896,0.14365637302398682
that,0.6297725439071655,0.41272613406181335,0.47537946701049805,0.19437119364738464,0.3088737428188324,0.4137635827064514,0.2251325249671936,0.24354611337184906,0.32716336846351624
perform,0.22104133665561676,0.17958155274391174,0.219420924782753,0.11580026149749756,0.15522229671478271,0.3027825951576233,0.17235895991325378,0.18556183576583862,0.13460582494735718
or,0.33867141604423523,0.316264808177948,0.48853766918182373,0.25513362884521484,0.32710888981819153,0.4111599624156952,0.20974527299404144,0.25491949915885925,0.32389625906944275
otherwise,0.39239436388015747,0.2553754150867462,0.3438074290752411,0.19754406809806824,0.21194733679294586,0.3145095705986023,0.20742931962013245,0.13450919091701508,0.29367905855178833
engage,0.22919274866580963,0.1602802276611328,0.22857552766799927,0.16774876415729523,0.16885611414909363,0.2249573916196823,0.171815425157547,0.18748144805431366,0.1593245565891266
in,0.30808621644973755,0.4173259735107422,0.539380669593811,0.2025376260280609,0.21978288888931274,0.4322226941585541,0.3031303882598877,0.2321794629096985,0.20430970191955566
construction,0.20329850912094116,0.15867465734481812,0.25036895275115967,0.1382022649049759,0.19686928391456604,0.2193669229745865,1.0,0.25014862418174744,0.13494056463241577
.,0.3567904531955719,0.4105546176433563,0.50484299659729,0.2091323882341385,0.2277725487947464,0.4726039469242096,0.23682771623134613,0.20400826632976532,0.4130953550338745
