,where,might,committees,meet,outside,of,parliament,?
committees,0.19598813354969025,0.22118715941905975,1.0,0.22720842063426971,0.18694795668125153,0.34709328413009644,0.4124729335308075,0.1382787674665451
can,0.3773181736469269,0.6426551342010498,0.15422788262367249,0.17423748970031738,0.28508907556533813,0.2603091299533844,0.1599172055721283,0.3226337134838104
also,0.5413004159927368,0.46752241253852844,0.23372280597686768,0.23644086718559265,0.33962929248809814,0.4924938678741455,0.22454090416431427,0.21848613023757935
meet,0.3075947165489197,0.16696862876415253,0.22720842063426971,0.9999998807907104,0.18274015188217163,0.25706547498703003,0.24234940111637115,0.1658235788345337
at,0.4402937591075897,0.23020967841148376,0.22772769629955292,0.2383149415254593,0.29160594940185547,0.42558613419532776,0.17480722069740295,0.21978627145290375
other,0.3730994164943695,0.4252184331417084,0.2986913323402405,0.3147229552268982,0.3508033752441406,0.38583824038505554,0.14233070611953735,0.24682199954986572
locations,0.4026567041873932,0.2548240125179291,0.2877826690673828,0.28601810336112976,0.3774840235710144,0.2825617790222168,0.11685734987258911,0.14570996165275574
throughout,0.34492164850234985,0.17490075528621674,0.16269448399543762,0.18562597036361694,0.3709125518798828,0.35374847054481506,0.1311212182044983,0.12665234506130219
scotland,0.2062309980392456,0.17090320587158203,0.18376003205776215,0.12371953576803207,0.18884232640266418,0.2208399921655655,0.33239492774009705,0.09160218387842178
.,0.41390106081962585,0.27493223547935486,0.22547543048858643,0.26616400480270386,0.28971612453460693,0.5352458953857422,0.23747818171977997,0.4130953550338745
