,what,devices,have,been,credited,as,the,moving,force,of,the,industrial,revolution,?
steam,0.15672586858272552,0.36500999331474304,0.15978071093559265,0.175981804728508,0.17954789102077484,0.20776431262493134,0.23105813562870026,0.2609701454639435,0.19658277928829193,0.20239725708961487,0.23105813562870026,0.31459638476371765,0.22190643846988678,0.113324373960495
engines,0.1634974628686905,0.36427655816078186,0.2422233670949936,0.19427621364593506,0.12238450348377228,0.17400804162025452,0.2245008647441864,0.2415752410888672,0.22987504303455353,0.17593856155872345,0.2245008647441864,0.3049415349960327,0.17242112755775452,0.18940703570842743
can,0.34502777457237244,0.42616787552833557,0.5489245653152466,0.3498430848121643,0.06506576389074326,0.3245031237602234,0.312528520822525,0.28819364309310913,0.18594154715538025,0.2603091299533844,0.312528520822525,0.1515394002199173,0.10136424750089645,0.3226337134838104
be,0.3929833769798279,0.3439714312553406,0.5760743618011475,0.5304332375526428,0.1253012865781784,0.5230465531349182,0.4248143136501312,0.25729453563690186,0.16664405167102814,0.33904364705085754,0.4248143136501312,0.15788275003433228,0.2064557820558548,0.3324260413646698
said,0.3951668441295624,0.1560150682926178,0.3617204427719116,0.32838234305381775,0.28562235832214355,0.3216577470302582,0.3024602234363556,0.16288037598133087,0.2186553031206131,0.29014745354652405,0.3024602234363556,0.10973799228668213,0.21592405438423157,0.28991883993148804
to,0.455847829580307,0.30548763275146484,0.4544740617275238,0.34945759177207947,0.0971369668841362,0.42092081904411316,0.535392165184021,0.33396485447883606,0.24496492743492126,0.41548454761505127,0.535392165184021,0.23145946860313416,0.18777814507484436,0.29463258385658264
have,0.39808809757232666,0.29740944504737854,0.9999999403953552,0.6493861675262451,0.10523773729801178,0.37788212299346924,0.40389683842658997,0.25705936551094055,0.17953111231327057,0.3802283704280853,0.40389683842658997,0.16391263902187347,0.17049159109592438,0.32991164922714233
been,0.2567804455757141,0.24757440388202667,0.6493861675262451,0.9999998807907104,0.22522911429405212,0.3975982367992401,0.3563927710056305,0.179409459233284,0.13239213824272156,0.31685134768486023,0.3563927710056305,0.15432368218898773,0.1759459227323532,0.24354910850524902
the,0.42745697498321533,0.2281099557876587,0.40389683842658997,0.3563927710056305,0.19653713703155518,0.48381632566452026,1.0,0.34510132670402527,0.2800885736942291,0.733189046382904,1.0,0.30435431003570557,0.276140034198761,0.22068053483963013
moving,0.3154623508453369,0.2573232650756836,0.25705936551094055,0.179409459233284,0.13944023847579956,0.2739008069038391,0.34510132670402527,1.0,0.2562520503997803,0.24795499444007874,0.34510132670402527,0.14958199858665466,0.1548299342393875,0.21667467057704926
