,what,type,of,musical,instruments,did,the,yuan,bring,to,china,?
western,0.2454150915145874,0.10790728777647018,0.32974064350128174,0.21886825561523438,0.1945372074842453,0.15773870050907135,0.37920868396759033,0.18844951689243317,0.08699719607830048,0.18838192522525787,0.3416065573692322,0.17439141869544983
musical,0.22908931970596313,0.09681759774684906,0.2380346953868866,1.0,0.515166699886322,0.16869671642780304,0.2295164167881012,0.13191558420658112,0.13021978735923767,0.21814438700675964,0.1236591786146164,0.187048077583313
instruments,0.2494814395904541,0.20506878197193146,0.24177105724811554,0.515166699886322,0.9999999403953552,0.23381318151950836,0.21890103816986084,0.23739947378635406,0.17853297293186188,0.2603708803653717,0.22273042798042297,0.14437328279018402
were,0.22298263013362885,0.09534358233213425,0.34038281440734863,0.19588713347911835,0.248578742146492,0.4162326455116272,0.3906462490558624,0.19657303392887115,0.2380591183900833,0.31913647055625916,0.2312094271183014,0.17890112102031708
introduced,0.09417270123958588,0.1235562413930893,0.23328952491283417,0.09849603474140167,0.152435302734375,0.17650672793388367,0.242969810962677,0.17915938794612885,0.21327926218509674,0.22615164518356323,0.1889219433069229,0.16386865079402924
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.21814438700675964,0.2603708803653717,0.4452643394470215,0.535392165184021,0.1499021351337433,0.4213464558124542,1.0,0.1938052773475647,0.29463258385658264
enrich,0.1968395709991455,0.15481726825237274,0.2037193477153778,0.17394693195819855,0.17337210476398468,0.11706850677728653,0.19581155478954315,0.14855605363845825,0.23123770952224731,0.22090350091457367,0.1372051239013672,0.11947839707136154
chinese,0.11643128097057343,0.15781651437282562,0.24275560677051544,0.1838531792163849,0.20579181611537933,0.19065357744693756,0.2785343527793884,0.5665212273597717,0.1426101177930832,0.17416036128997803,0.6621482372283936,0.20843194425106049
performing,0.17896074056625366,0.11903562396764755,0.26357749104499817,0.3413332998752594,0.2721184492111206,0.24906736612319946,0.299594521522522,0.10662607848644257,0.23119889199733734,0.2703278064727783,0.150634765625,0.14028958976268768
arts,0.15975245833396912,0.11199616640806198,0.29211288690567017,0.3008459210395813,0.2165926843881607,0.17368055880069733,0.23374557495117188,0.1424955427646637,0.1549156755208969,0.2388276606798172,0.18541227281093597,0.09471383690834045
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.19384656846523285,0.21892498433589935,0.35288307070732117,0.5934505462646484,0.17233723402023315,0.2875753343105316,0.4645031690597534,0.2979343831539154,0.4130953550338745
