,how,many,ministries,of,the,scottish,government,does,a,committee,typically,correspond,to,?
typically,0.2931802272796631,0.3612805902957916,0.11459874361753464,0.28964799642562866,0.33345210552215576,0.14309445023536682,0.13976189494132996,0.31322675943374634,0.37909039855003357,0.1350039392709732,1.0,0.35130783915519714,0.3589242696762085,0.14485043287277222
each,0.4183253347873688,0.35348209738731384,0.14965307712554932,0.38460010290145874,0.470844566822052,0.13657651841640472,0.2280043512582779,0.31699198484420776,0.434999018907547,0.1953696608543396,0.42758575081825256,0.3853355944156647,0.3941934108734131,0.21173812448978424
committee,0.14701566100120544,0.1689344346523285,0.3319837152957916,0.2920650243759155,0.24322165548801422,0.17743992805480957,0.3908291459083557,0.1383638083934784,0.1903151571750641,1.0,0.1350039392709732,0.22438251972198486,0.24979650974273682,0.12144632637500763
corresponds,0.2374027818441391,0.16865280270576477,0.1264491081237793,0.35868147015571594,0.38103723526000977,0.18237227201461792,0.12152612209320068,0.2820543050765991,0.30412039160728455,0.2001592218875885,0.3474845886230469,0.9180055260658264,0.2851172089576721,0.10960221290588379
with,0.3525622487068176,0.35744401812553406,0.16352008283138275,0.41827285289764404,0.4223487675189972,0.20394033193588257,0.2035938799381256,0.26186925172805786,0.3783375024795532,0.14769598841667175,0.3270100951194763,0.28137508034706116,0.4239959120750427,0.2433311939239502
one,0.3213292360305786,0.4223630726337433,0.12859351933002472,0.4999135136604309,0.5514441132545471,0.1910877674818039,0.22701126337051392,0.2924913763999939,0.4910551905632019,0.13989375531673431,0.330648809671402,0.30380746722221375,0.4025384783744812,0.2673267424106598
(,0.1676948219537735,0.1455259770154953,0.1969609558582306,0.35032153129577637,0.33289089798927307,0.1946880966424942,0.14655277132987976,0.2728188931941986,0.3206180930137634,0.16935284435749054,0.11914245039224625,0.26838839054107666,0.30882009863853455,0.40561532974243164
or,0.3378981947898865,0.36905089020729065,0.21311135590076447,0.3792596757411957,0.4174870550632477,0.18833233416080475,0.2456667572259903,0.4248845875263214,0.48853766918182373,0.219742551445961,0.558444619178772,0.34399932622909546,0.38921234011650085,0.32389625906944275
more,0.4319567084312439,0.48608261346817017,0.19723863899707794,0.30478984117507935,0.39758381247520447,0.11858867853879929,0.22208929061889648,0.2897747755050659,0.3452818691730499,0.11982055008411407,0.3908897936344147,0.31699711084365845,0.47084665298461914,0.27894994616508484
),0.17939934134483337,0.16602720320224762,0.18815165758132935,0.3680361211299896,0.3456730246543884,0.17440292239189148,0.15263929963111877,0.2575884759426117,0.3640355169773102,0.16436767578125,0.14504045248031616,0.23749148845672607,0.31236231327056885,0.42300865054130554
