,by,1897,",",how,much,had,tesla,",",brown,",",and,peck,received,in,royalties,and,licenses,over,the,patents,?
to,0.33534231781959534,-0.1238127127289772,0.44245919585227966,0.44169697165489197,0.40610215067863464,0.37984350323677063,0.17548894882202148,0.44245919585227966,0.20498941838741302,0.44245919585227966,0.48971283435821533,0.19434410333633423,0.18226240575313568,0.45010748505592346,0.2555391192436218,0.48971283435821533,0.27215200662612915,0.38635820150375366,0.535392165184021,0.2135588526725769,0.29463258385658264
secure,0.16046591103076935,-0.0553150549530983,0.14117449522018433,0.13497932255268097,0.22136448323726654,0.2419574111700058,0.09469346702098846,0.14117449522018433,0.10360834747552872,0.14117449522018433,0.23631824553012848,0.1524534970521927,0.1916094720363617,0.1867481768131256,0.23828580975532532,0.23631824553012848,0.20033009350299835,0.254745751619339,0.2569228410720825,0.25037747621536255,0.1604752093553543
further,0.2836849093437195,0.03450438007712364,0.2694096863269806,0.3163740038871765,0.32079142332077026,0.24274107813835144,0.12437186390161514,0.2694096863269806,0.13035708665847778,0.2694096863269806,0.3426179587841034,0.08801863342523575,0.1300191879272461,0.233941450715065,0.2008906900882721,0.3426179587841034,0.20213153958320618,0.2895897626876831,0.32531118392944336,0.11506800353527069,0.20960763096809387
loans,0.14408190548419952,-0.0693364068865776,0.1990378201007843,0.1786792278289795,0.30969342589378357,0.2044299840927124,0.17635414004325867,0.1990378201007843,0.0907888188958168,0.1990378201007843,0.2448335736989975,0.02672550641000271,0.20536960661411285,0.1964113414287567,0.3590717017650604,0.2448335736989975,0.272268146276474,0.16892090439796448,0.2122887223958969,0.2889678478240967,0.17645451426506042
",",0.3680937886238098,-0.029812507331371307,1.0000001192092896,0.22659391164779663,0.36182254552841187,0.35487717390060425,0.20599327981472015,1.0000001192092896,0.2983597218990326,1.0000001192092896,0.6633074283599854,0.26360607147216797,0.2926693558692932,0.5201468467712402,0.26653391122817993,0.6633074283599854,0.2226131111383438,0.3301127254962921,0.4933079481124878,0.22191748023033142,0.31091248989105225
westinghouse,0.2823614776134491,-0.005094869527965784,0.277236670255661,0.1836739182472229,0.1912594586610794,0.2198336273431778,0.35764777660369873,0.277236670255661,0.23409830033779144,0.277236670255661,0.2865493595600128,0.29347383975982666,0.21756529808044434,0.2579890191555023,0.2417360246181488,0.2865493595600128,0.3033861517906189,0.19553717970848083,0.3101098835468292,0.39605584740638733,0.17307911813259125
was,0.4752357602119446,0.000576548685785383,0.45456063747406006,0.16678167879581451,0.2580166161060333,0.5927209258079529,0.16455206274986267,0.45456063747406006,0.1727168709039688,0.45456063747406006,0.3740963041782379,0.2587347626686096,0.3745744526386261,0.45514053106307983,0.22238308191299438,0.3740963041782379,0.16480103135108948,0.24486446380615234,0.48711544275283813,0.15588046610355377,0.18412111699581146
forced,0.24928836524486542,-0.13892364501953125,0.2527396082878113,0.23831938207149506,0.231364443898201,0.3529525697231293,0.07736244797706604,0.2527396082878113,0.09767819941043854,0.2527396082878113,0.28385210037231445,0.1731726974248886,0.21115082502365112,0.2043643444776535,0.2843061089515686,0.28385210037231445,0.2182391732931137,0.24236835539340973,0.2571122944355011,0.13643406331539154,0.17547516524791718
to,0.33534231781959534,-0.1238127127289772,0.44245919585227966,0.44169697165489197,0.40610215067863464,0.37984350323677063,0.17548894882202148,0.44245919585227966,0.20498941838741302,0.44245919585227966,0.48971283435821533,0.19434410333633423,0.18226240575313568,0.45010748505592346,0.2555391192436218,0.48971283435821533,0.27215200662612915,0.38635820150375366,0.535392165184021,0.2135588526725769,0.29463258385658264
revisit,0.13899005949497223,-0.09306249767541885,0.22629523277282715,0.25605812668800354,0.28518369793891907,0.20232537388801575,0.11230204254388809,0.22629523277282715,0.1174929216504097,0.22629523277282715,0.18031473457813263,0.2088518589735031,0.15155836939811707,0.11801956593990326,0.18763701617717743,0.18031473457813263,0.268167108297348,0.20379215478897095,0.24001240730285645,0.2468724399805069,0.308557391166687
