,what,directly,correlates,with,the,country,'s,economic,performance,and,wealth,distribution,?
diseases,0.276649534702301,0.24013619124889374,0.36425039172172546,0.21208177506923676,0.2655201852321625,0.18157322704792023,-0.08770915865898132,0.23219554126262665,0.14654041826725006,0.2582131624221802,0.2609880268573761,0.19267739355564117,0.1916700154542923
of,0.33290785551071167,0.2998887896537781,0.2669772207736969,0.41827285289764404,0.733189046382904,0.28866857290267944,-0.03817026689648628,0.3030148148536682,0.18957610428333282,0.5116966962814331,0.27235376834869385,0.254255473613739,0.1826142966747284
poverty,0.20925714075565338,0.08826886117458344,0.1865638643503189,0.20893360674381256,0.20494918525218964,0.23682786524295807,0.006857520900666714,0.4142974317073822,0.1572924554347992,0.27911514043807983,0.473904013633728,0.22697457671165466,0.16537553071975708
directly,0.3618607521057129,1.0,0.3344574272632599,0.23776929080486298,0.4502958655357361,0.22289112210273743,-0.014331134036183357,0.21299538016319275,0.15857362747192383,0.2772105038166046,0.16089583933353424,0.21472860872745514,0.2187996357679367
correlate,0.3224903345108032,0.3236716389656067,0.9136025309562683,0.25494152307510376,0.24036549031734467,0.11177397519350052,-0.02259363979101181,0.19443248212337494,0.17777077853679657,0.21058343350887299,0.16139838099479675,0.27910321950912476,0.27275848388671875
with,0.2464839518070221,0.23776929080486298,0.26928943395614624,0.9999999403953552,0.4223487675189972,0.24760155379772186,-0.04624466598033905,0.21086382865905762,0.18899750709533691,0.5477725267410278,0.177688866853714,0.17537137866020203,0.2433311939239502
a,0.3320399522781372,0.27976194024086,0.25669190287590027,0.3783375024795532,0.5829201340675354,0.20991116762161255,0.04866964742541313,0.2234611213207245,0.25398191809654236,0.3739250600337982,0.20101723074913025,0.21514776349067688,0.23916715383529663
country,0.22705033421516418,0.22289112210273743,0.09701726585626602,0.24760155379772186,0.30432501435279846,1.0000001192092896,0.0747150406241417,0.28465786576271057,0.17066998779773712,0.30884742736816406,0.29220977425575256,0.19314011931419373,0.12647280097007751
's,0.02692362666130066,-0.014331134036183357,-0.03710208833217621,-0.04624466598033905,-0.01540423184633255,0.0747150406241417,0.9999999403953552,0.0034841743763536215,0.05389726907014847,0.06895173341035843,0.1138739213347435,0.049042776226997375,-0.023395681753754616
economic,0.18082544207572937,0.21299538016319275,0.18560397624969482,0.21086382865905762,0.282455176115036,0.28465786576271057,0.0034841743763536215,0.9999999403953552,0.2030201256275177,0.2707010805606842,0.4711625576019287,0.2468237280845642,0.1206481084227562
performance,0.1804763227701187,0.15857362747192383,0.16939875483512878,0.18899750709533691,0.260756254196167,0.17066998779773712,0.05389726907014847,0.2030201256275177,1.0000001192092896,0.25085049867630005,0.18899214267730713,0.18318331241607666,0.1587955504655838
and,0.31309178471565247,0.2772105038166046,0.21914172172546387,0.5477725267410278,0.5171257257461548,0.30884742736816406,0.06895173341035843,0.2707010805606842,0.25085049867630005,1.0,0.29316192865371704,0.24142658710479736,0.20544172823429108
wealth,0.2415573000907898,0.16089583933353424,0.15567775070667267,0.177688866853714,0.24999672174453735,0.29220977425575256,0.1138739213347435,0.4711625576019287,0.18899214267730713,0.29316192865371704,0.9999998807907104,0.23516376316547394,0.1624586433172226
distribution,0.17429208755493164,0.21472860872745514,0.31265610456466675,0.17537137866020203,0.27569329738616943,0.19314011931419373,0.049042776226997375,0.2468237280845642,0.18318331241607666,0.24142658710479736,0.23516376316547394,1.0,0.0929616317152977
:,-0.12022944539785385,-0.1144752949476242,-0.10519115626811981,0.039687950164079666,-0.03403344005346298,0.03858891502022743,0.07621461898088455,0.03368309140205383,0.04282273352146149,-0.04625999182462692,-0.010982527397572994,-0.09284848719835281,-0.07156077772378922
half,0.13016436994075775,0.13107436895370483,0.1871929168701172,0.2849871516227722,0.3189295828342438,0.17626480758190155,-0.0026473274920135736,0.08303933590650558,0.14867931604385376,0.2865435779094696,0.14941507577896118,0.11717565357685089,0.07471233606338501
of,0.33290785551071167,0.2998887896537781,0.2669772207736969,0.41827285289764404,0.733189046382904,0.28866857290267944,-0.03817026689648628,0.3030148148536682,0.18957610428333282,0.5116966962814331,0.27235376834869385,0.254255473613739,0.1826142966747284
kenyans,0.20263339579105377,0.1901744157075882,0.19771692156791687,0.16039079427719116,0.24414950609207153,0.29501262307167053,0.01805003173649311,0.3299708366394043,0.1296662986278534,0.27143463492393494,0.21368925273418427,0.14653760194778442,0.18293815851211548
live,0.20532001554965973,0.14204959571361542,0.02657807245850563,0.19521716237068176,0.2995128035545349,0.23626649379730225,0.0809648334980011,0.1106576919555664,0.2584276795387268,0.29040172696113586,0.12255802750587463,0.2784603536128998,0.19481121003627777
below,0.23541416227817535,0.2679581046104431,0.3071615695953369,0.2136729657649994,0.2930138111114502,0.11345677822828293,-0.03860562667250633,0.1251993477344513,0.07692990452051163,0.2736442983150482,0.1406983733177185,0.15799446403980255,0.17692236602306366
