,what,is,the,term,for,the,original,aboriginal,people,of,victoria,?
prior,0.2537507116794586,0.14228065311908722,0.33782097697257996,0.17873701453208923,0.31561535596847534,0.33782097697257996,0.20831629633903503,0.12619078159332275,0.16449236869812012,0.3183474540710449,0.1666279137134552,0.16978254914283752
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.3310292959213257,0.4451248347759247,0.535392165184021,0.30182456970214844,0.2682943642139435,0.37275731563568115,0.41548454761505127,0.18328198790550232,0.29463258385658264
european,0.15324164927005768,0.16083641350269318,0.3423081040382385,0.16323907673358917,0.2838500738143921,0.3423081040382385,0.15318572521209717,0.32186436653137207,0.17784909904003143,0.2507138252258301,0.20255336165428162,0.14560863375663757
settlement,0.2558431327342987,0.24221304059028625,0.2599570155143738,0.14477349817752838,0.199878990650177,0.2599570155143738,0.13209082186222076,0.2929246723651886,0.2999527156352997,0.25982165336608887,0.2094486653804779,0.12535437941551208
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21599270403385162,0.4464869201183319,0.4933079481124878,0.23508994281291962,0.1683250367641449,0.36644625663757324,0.4946078956127167,0.2279360294342041,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.2740369141101837,0.4739971458911896,1.0,0.4037000238895416,0.25004225969314575,0.36838498711586,0.733189046382904,0.2204313427209854,0.22068053483963013
area,0.21965408325195312,0.29283958673477173,0.37834644317626953,0.17102010548114777,0.20941852033138275,0.37834644317626953,0.13011188805103302,0.2603781819343567,0.37957796454429626,0.3409860134124756,0.21797068417072296,0.12640461325645447
now,0.4903225302696228,0.39589470624923706,0.38266420364379883,0.17830851674079895,0.3636377453804016,0.38266420364379883,0.2546344995498657,0.172125443816185,0.25494474172592163,0.29182544350624084,0.18537774682044983,0.29641881585121155
constituting,0.2804068326950073,0.23866479098796844,0.350497305393219,0.25415438413619995,0.20843735337257385,0.350497305393219,0.1926855891942978,0.1696130782365799,0.2081499695777893,0.3787837326526642,0.11530951410531998,0.22663916647434235
victoria,0.1194850504398346,0.1633591204881668,0.2204313427209854,0.0871436819434166,0.18287640810012817,0.2204313427209854,0.1579301506280899,0.3665080964565277,0.16539546847343445,0.2505437433719635,1.0,0.12246892601251602
was,0.22111038863658905,0.5810302495956421,0.48711544275283813,0.21378034353256226,0.3863949179649353,0.48711544275283813,0.32203906774520874,0.2204342782497406,0.2518421411514282,0.4069072902202606,0.2550773620605469,0.18412111699581146
inhabited,0.176266148686409,0.2244061976671219,0.2579440772533417,0.21240317821502686,0.12310535460710526,0.2579440772533417,0.18895816802978516,0.28075143694877625,0.23305754363536835,0.2573133707046509,0.08876735717058182,0.12792479991912842
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.1564474254846573,0.3248702883720398,0.4408751428127289,0.2557625472545624,0.23083503544330597,0.20350977778434753,0.3646814823150635,0.17471559345722198,0.17966607213020325
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3080509603023529,0.44038116931915283,0.5829201340675354,0.25438275933265686,0.16997040808200836,0.3483705520629883,0.5052502155303955,0.15216270089149475,0.23916715383529663
large,0.2017821967601776,0.2971126437187195,0.3828733265399933,0.21219713985919952,0.22967137396335602,0.3828733265399933,0.12321855872869492,0.1813187599182129,0.26447445154190063,0.3569655418395996,0.18550468981266022,0.1355665624141693
number,0.23046229779720306,0.22390379011631012,0.35145696997642517,0.16280588507652283,0.2861633002758026,0.35145696997642517,0.13741828501224518,0.13853853940963745,0.14050929248332977,0.2778518795967102,0.16931062936782837,0.19256845116615295
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.26047757267951965,0.4185989499092102,0.733189046382904,0.30228546261787415,0.23755814135074615,0.3251037895679474,1.0,0.2505437433719635,0.1826142966747284
aboriginal,0.2035500854253769,0.18043188750743866,0.25004225969314575,0.16062267124652863,0.2403455525636673,0.25004225969314575,0.35262688994407654,0.9999999403953552,0.28132137656211853,0.23755814135074615,0.3665080964565277,0.1477614790201187
peoples,0.26138749718666077,0.21010412275791168,0.3388310670852661,0.18800607323646545,0.21658408641815186,0.3388310670852661,0.15063822269439697,0.4354253113269806,0.5597565174102783,0.2785113751888275,0.15382611751556396,0.2085462063550949
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21599270403385162,0.4464869201183319,0.4933079481124878,0.23508994281291962,0.1683250367641449,0.36644625663757324,0.4946078956127167,0.2279360294342041,0.31091248989105225
collectively,0.25480562448501587,0.2689826488494873,0.3632560670375824,0.31055906414985657,0.24719981849193573,0.3632560670375824,0.2389996498823166,0.1941053718328476,0.18541334569454193,0.33971667289733887,0.101938396692276,0.16343672573566437
known,0.20381177961826324,0.41921812295913696,0.3624623417854309,0.25956669449806213,0.363901823759079,0.3624623417854309,0.297905832529068,0.20174072682857513,0.13246847689151764,0.35814476013183594,0.18462607264518738,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.3224089443683624,0.44774648547172546,0.48381632566452026,0.2790030837059021,0.19436754286289215,0.15704652667045593,0.3886612355709076,0.19515912234783173,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,1.0,0.2740369141101837,0.4739971458911896,1.0,0.4037000238895416,0.25004225969314575,0.36838498711586,0.733189046382904,0.2204313427209854,0.22068053483963013
koori,0.16857808828353882,0.17194680869579315,0.2146790623664856,0.16493567824363708,0.20613804459571838,0.2146790623664856,0.184322789311409,0.30122482776641846,0.08653870970010757,0.19815178215503693,0.22371315956115723,0.13770951330661774
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18456575274467468,0.4726039469242096,0.5934505462646484,0.275844931602478,0.17243555188179016,0.33118996024131775,0.5352458953857422,0.23069117963314056,0.4130953550338745
