,what,does,increased,oxygen,concentrations,in,the,patient,'s,lungs,displace,?
increased,0.1599731743335724,0.20158657431602478,1.0000001192092896,0.2390647679567337,0.40574583411216736,0.244624063372612,0.3188653886318207,0.19573116302490234,-0.021304117515683174,0.22836408019065857,0.34875521063804626,0.09587585180997849
o,0.1489914506673813,0.1532406359910965,0.06867942959070206,0.2476140707731247,0.17502142488956451,0.17052006721496582,0.19071193039417267,0.14830593764781952,0.10208595544099808,0.1563061624765396,0.08175286650657654,0.23868927359580994
2,-0.049862053245306015,-0.06106966361403465,-0.055758774280548096,0.04063820466399193,-0.014624511823058128,0.01447046548128128,-0.019434669986367226,0.03125237300992012,0.10492397099733353,0.04728857800364494,-0.04261549189686775,0.001977203879505396
concentration,0.2389112114906311,0.15179796516895294,0.37317532300949097,0.3523607850074768,0.9552719593048096,0.2709709107875824,0.2617439329624176,0.22068718075752258,0.05788514018058777,0.25020626187324524,0.31593888998031616,0.1292840540409088
in,0.30808621644973755,0.214483380317688,0.244624063372612,0.1672476977109909,0.26854315400123596,1.0,0.6662389636039734,0.18493591248989105,-0.037580832839012146,0.18644560873508453,0.28053218126296997,0.20430970191955566
the,0.42745697498321533,0.35928019881248474,0.3188653886318207,0.20428593456745148,0.24966663122177124,0.6662389636039734,1.0,0.2195289433002472,-0.01540423184633255,0.26414886116981506,0.339105486869812,0.22068053483963013
lungs,0.2058555632829666,0.26238924264907837,0.22836408019065857,0.6122196912765503,0.2678099274635315,0.18644560873508453,0.26414886116981506,0.46167850494384766,-0.03529161214828491,1.0,0.189242422580719,0.19047874212265015
helps,0.2570236623287201,0.41174858808517456,0.264534056186676,0.268240362405777,0.21833264827728271,0.19714516401290894,0.28157877922058105,0.2880558967590332,-0.03383466601371765,0.35480284690856934,0.11671490967273712,0.20885655283927917
to,0.455847829580307,0.4391997456550598,0.2690577805042267,0.24193501472473145,0.2643222510814667,0.45010748505592346,0.535392165184021,0.2912805676460266,0.03782717138528824,0.2864147424697876,0.2869333326816559,0.29463258385658264
displace,0.25660938024520874,0.15256966650485992,0.34875521063804626,0.20089492201805115,0.30503344535827637,0.28053218126296997,0.339105486869812,0.14247111976146698,-0.046914275735616684,0.189242422580719,0.9999998807907104,0.1321750432252884
carbon,0.22238978743553162,0.24737589061260223,0.23493821918964386,0.6396464109420776,0.4032810926437378,0.1857566386461258,0.23183570802211761,0.27205541729927063,0.027439022436738014,0.44774845242500305,0.24672335386276245,0.19040444493293762
monoxide,0.25207534432411194,0.2491319477558136,0.2587029039859772,0.6416319012641907,0.4422067403793335,0.1703910380601883,0.18023236095905304,0.31292060017585754,-0.03899792581796646,0.47199806571006775,0.2806670069694519,0.20410999655723572
from,0.2737620174884796,0.1777622550725937,0.2075282633304596,0.23457925021648407,0.19506429135799408,0.4274188280105591,0.40150508284568787,0.11603536456823349,-0.01936490088701248,0.22235430777072906,0.2408471405506134,0.19969791173934937
the,0.42745697498321533,0.35928019881248474,0.3188653886318207,0.20428593456745148,0.24966663122177124,0.6662389636039734,1.0,0.2195289433002472,-0.01540423184633255,0.26414886116981506,0.339105486869812,0.22068053483963013
heme,0.12436074763536453,0.14609088003635406,0.12904995679855347,0.3403567373752594,0.20494529604911804,0.2011653631925583,0.204995796084404,0.18260951340198517,-0.0938042625784874,0.2752259075641632,0.0988975390791893,0.18103154003620148
group,0.2114069163799286,0.12092027813196182,0.17435093224048615,0.22228002548217773,0.25453272461891174,0.2304753065109253,0.30795547366142273,0.12988270819187164,-0.01093533169478178,0.220129132270813,0.18063464760780334,0.13827809691429138
of,0.33290785551071167,0.3119818866252899,0.3371390700340271,0.16848602890968323,0.2697436809539795,0.5696388483047485,0.733189046382904,0.1500403732061386,-0.03817026689648628,0.14182540774345398,0.3216833174228668,0.1826142966747284
hemoglobin,0.17140164971351624,0.229854553937912,0.33517223596572876,0.6250880360603333,0.407287061214447,0.2655159831047058,0.2741483747959137,0.3381871283054352,-0.08272319287061691,0.49666714668273926,0.1951950341463089,0.20741964876651764
.,0.3567904531955719,0.3022993505001068,0.21367591619491577,0.2554275095462799,0.24612410366535187,0.5591574311256409,0.5934505462646484,0.22164101898670197,-0.003708066651597619,0.21882636845111847,0.2324381321668625,0.4130953550338745
