,why,is,jochi,'s,reported,alliance,with,the,muslims,historically,suspect,?
juzjani,0.1510583907365799,0.17519904673099518,0.39917877316474915,0.05803241208195686,0.13893498480319977,0.08709004521369934,0.10751865059137344,0.17320215702056885,0.26184535026550293,0.11441358923912048,0.21760348975658417,0.2084774672985077
claims,0.2540956735610962,0.18619538843631744,0.15346458554267883,0.0369621105492115,0.37601926922798157,0.20830188691616058,0.16637255251407623,0.24698559939861298,0.273615300655365,0.20543500781059265,0.3047996461391449,0.18741291761398315
that,0.5601457357406616,0.3995479643344879,0.11676155030727386,0.04397977516055107,0.2721617817878723,0.20163051784038544,0.4154358208179474,0.5473989248275757,0.2854565978050232,0.2917071282863617,0.38222694396972656,0.32716336846351624
it,0.376611590385437,0.6328473687171936,0.14126458764076233,0.06608816236257553,0.16811372339725494,0.20488306879997253,0.3369046747684479,0.6251175999641418,0.22133225202560425,0.3716437518596649,0.22551794350147247,0.25732165575027466
was,0.23341619968414307,0.5810302495956421,0.22727705538272858,0.008974763564765453,0.2993243634700775,0.22298447787761688,0.27411898970603943,0.48711544275283813,0.18350748717784882,0.2532992362976074,0.1914251148700714,0.18412111699581146
in,0.23227278888225555,0.5394441485404968,0.20567668974399567,-0.037580832839012146,0.25024300813674927,0.1712876558303833,0.4080928862094879,0.6662389636039734,0.18662098050117493,0.30565258860588074,0.1799444556236267,0.20430970191955566
response,0.28092360496520996,0.21022158861160278,0.06991086155176163,-0.01666334457695484,0.23252642154693604,0.13063542544841766,0.19723214209079742,0.28909924626350403,0.21244248747825623,0.16607466340065002,0.26075053215026855,0.2007838636636734
to,0.4100138247013092,0.42745086550712585,0.1702822893857956,0.03782717138528824,0.20339804887771606,0.1834360659122467,0.4239959120750427,0.535392165184021,0.2779776453971863,0.29155364632606506,0.23814554512500763,0.29463258385658264
hearing,0.22860871255397797,0.14262065291404724,0.08922666311264038,0.044985927641391754,0.2609918713569641,0.09299150854349136,0.2582569718360901,0.22072359919548035,0.11828217655420303,0.10635477304458618,0.37830299139022827,0.19994913041591644
of,0.28464117646217346,0.4854315221309662,0.15254677832126617,-0.03817026689648628,0.23745855689048767,0.23659467697143555,0.41827285289764404,0.733189046382904,0.22355489432811737,0.30144402384757996,0.21128375828266144,0.1826142966747284
these,0.38858214020729065,0.2498808652162552,0.08858945220708847,0.026068098843097687,0.2445632666349411,0.16403675079345703,0.37595367431640625,0.49086877703666687,0.26422223448753357,0.34279707074165344,0.24884386360645294,0.2571668326854706
plans,0.2050687074661255,0.15414121747016907,0.18011970818042755,0.036409471184015274,0.2179555892944336,0.3232617974281311,0.23306719958782196,0.30240729451179504,0.1957334578037262,0.10503046214580536,0.20739434659481049,0.13513131439685822
that,0.5601457357406616,0.3995479643344879,0.11676155030727386,0.04397977516055107,0.2721617817878723,0.20163051784038544,0.4154358208179474,0.5473989248275757,0.2854565978050232,0.2917071282863617,0.38222694396972656,0.32716336846351624
genghis,0.16505268216133118,0.1866190880537033,0.4016976058483124,0.031423866748809814,0.18908794224262238,0.2352345734834671,0.18149495124816895,0.3448939025402069,0.37180790305137634,0.26111674308776855,0.18608728051185608,0.18813461065292358
khan,0.11447106301784515,0.20103248953819275,0.30853474140167236,0.05307086929678917,0.09538117051124573,0.2084381878376007,0.12498863786458969,0.21067845821380615,0.33156993985176086,0.1430578976869583,0.13514943420886993,0.12862591445446014
ordered,0.12464097887277603,0.09726785123348236,0.13040071725845337,-0.06286894530057907,0.2730724513530731,0.14379242062568665,0.21896079182624817,0.2839050590991974,0.1722746193408966,0.14789237082004547,0.18357208371162415,0.11423391848802567
his,0.19196097552776337,0.24372583627700806,0.22831186652183533,0.047556519508361816,0.2133711874485016,0.16836421191692352,0.33836179971694946,0.4394008219242096,0.18752595782279968,0.21604274213314056,0.23724572360515594,0.18075084686279297
