,what,type,of,rail,line,is,pacific,national,?
major,0.21026742458343506,0.12121699005365372,0.2641255557537079,0.16314925253391266,0.12594392895698547,0.19079607725143433,0.19550131261348724,0.2638278603553772,0.19788557291030884
operators,0.24600493907928467,0.19546207785606384,0.20075355470180511,0.35225605964660645,0.23089979588985443,0.18070605397224426,0.13781680166721344,0.13152657449245453,0.15860143303871155
include,0.1535889357328415,0.20810997486114502,0.37431180477142334,0.13569973409175873,0.12167780101299286,0.28863582015037537,0.14173580706119537,0.15173164010047913,0.14925788342952728
:,-0.12022944539785385,-0.051249612122774124,-0.08807745575904846,-0.05367104336619377,-0.08119840174913406,-0.07222653180360794,-0.07657666504383087,0.06308767944574356,-0.07156077772378922
metro,0.11200546473264694,0.09422964602708817,0.1791107952594757,0.39465299248695374,0.3311462104320526,0.14491155743598938,0.22607368230819702,0.16597063839435577,0.15922676026821136
trains,0.17798206210136414,0.20545436441898346,0.16788527369499207,0.612637460231781,0.4701511859893799,0.1842682957649231,0.1459534764289856,0.12563131749629974,0.12280461937189102
melbourne,0.10823550075292587,0.18240995705127716,0.1963735967874527,0.24754998087882996,0.1766190379858017,0.14877618849277496,0.25227710604667664,0.18997915089130402,0.09101688116788864
which,0.5261979103088379,0.31462597846984863,0.5011631846427917,0.22425106167793274,0.2508549988269806,0.4457404911518097,0.2135714292526245,0.28337109088897705,0.25814583897590637
runs,0.17057748138904572,0.04432639479637146,0.22292760014533997,0.17973370850086212,0.24659687280654907,0.30176323652267456,0.19392885267734528,0.18028892576694489,0.08094297349452972
an,0.2821882665157318,0.21485474705696106,0.32280945777893066,0.10804139822721481,0.14570118486881256,0.4654068350791931,0.12328090518712997,0.1631900668144226,0.19793890416622162
extensive,0.24088335037231445,0.1336275190114975,0.2948661148548126,0.19845932722091675,0.23859520256519318,0.23508477210998535,0.15488402545452118,0.19661402702331543,0.16032595932483673
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.19919529557228088,0.22637072205543518,0.4691906273365021,0.2034771740436554,0.23933029174804688,0.31091248989105225
electrified,0.1661221832036972,0.151548370718956,0.24406905472278595,0.5436329245567322,0.3639374375343323,0.17683619260787964,0.2525959014892578,0.12624727189540863,0.15530817210674286
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.19919529557228088,0.22637072205543518,0.4691906273365021,0.2034771740436554,0.23933029174804688,0.31091248989105225
passenger,0.1339142620563507,0.12128935754299164,0.19113630056381226,0.5087403655052185,0.27079376578330994,0.19047372043132782,0.1950281858444214,0.13254626095294952,0.13056927919387817
system,0.23557309806346893,0.24706636369228363,0.25597915053367615,0.20231299102306366,0.1988029032945633,0.2282046526670456,0.16574932634830475,0.18558050692081451,0.15556083619594574
throughout,0.2130906730890274,0.14910730719566345,0.35374847054481506,0.18617643415927887,0.1058211550116539,0.2639545500278473,0.2099999040365219,0.1973034292459488,0.12665234506130219
melbourne,0.10823550075292587,0.18240995705127716,0.1963735967874527,0.24754998087882996,0.1766190379858017,0.14877618849277496,0.25227710604667664,0.18997915089130402,0.09101688116788864
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2157215178012848,0.24584348499774933,0.3859752118587494,0.19360679388046265,0.2608908712863922,0.20544172823429108
suburbs,0.14620864391326904,0.09981954097747803,0.2319147288799286,0.3083769679069519,0.2287452220916748,0.18339255452156067,0.19026651978492737,0.1271200031042099,0.07569191604852676
;,0.10986888408660889,-0.004756918177008629,0.054534342139959335,0.04088904708623886,0.01159252692013979,0.05324986204504967,0.11810373514890671,0.027917055413126945,0.10349778085947037
v/line,0.233231782913208,0.1930735856294632,0.23649781942367554,0.5037920475006104,0.5725774168968201,0.250563383102417,0.3516656756401062,0.30567795038223267,0.20426958799362183
which,0.5261979103088379,0.31462597846984863,0.5011631846427917,0.22425106167793274,0.2508549988269806,0.4457404911518097,0.2135714292526245,0.28337109088897705,0.25814583897590637
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.20201268792152405,0.19879867136478424,1.0,0.1590694636106491,0.23413582146167755,0.22961433231830597
